;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
31;Ведущий инженер/системный программист;Тюмень;30000.0;60000.0;ГАУ ТО ЦЗН города Тюмени и Тюменского района;2019-10-11T06:55:28+0300;0;0;Полный день;Полная занятость;"Обязанности:  Оформление задачи в бланке заявки на разработку/доработку Интернет-ресурса, экстренное устранение проблем в работе ресурсов АГТ, срочное устранение сбоев в работе сайтов, а также корректировка информации; разработка новых модулей, доработка и исправление модулей на официальном портале Администрации города Тюмени, муниципальных Интернет-ресурсах; разработка новых муниципальных Интернет-ресурсов; доработка скриптов для муниципальных Интернет-ресурсов; разработка скриптов для автоматизации обновления различных баз данных на официальном портале Администрации города Тюмени, муниципальных Интернет-ресурсах; разработка и согласование технических заданий; консультации по работе систем администрирования муниципальных Интернет-ресурсов.  Требования:   нет требований к стажу Стрессоустойчивость,Ответственность,Уверенный пользователь компьютера,Умение работать в команде   Высшее образование   знание: основ форматирования с использованием HTML, CSS, управление контентом с помощью XML, WEB-технологий; графических редакторов необходимых для верстки дизайна и макета (Adobe Photoshop); языков программирования (PHP, SQL, JavaScript). стандарты HTTP, сервер БД (MySQL), основ обеспечения комплексной безопасности веб-сервера.   Условия:   официальное трудоустройство, полный соц пакет   офис в центре города   все подробности по вакансии обсуждаются при собеседовании   адрес рабочего места, офис: г. Тюмень, ул. Первомайская   своевременная выплата заработной платы   стабильный доход, бюджетная организация   оклад  хороший, дружный коллектив ждем Ваши резюме ";   официальное трудоустройство, полный соц пакет   офис в центре города   все подробности по вакансии обсуждаются при собеседовании   адрес рабочего места, офис: г. Тюмень, ул. Первомайская   своевременная выплата заработной платы   стабильный доход, бюджетная организация   оклад  хороший, дружный коллектив ждем Ваши резюме ;Нет требований к стажу. Стрессоустойчивость,Ответственность,Уверенный пользователь компьютера,Умение работать в команде. Высшее образование. Знание: основ форматирования с использованием...;Оформление задачи в бланке заявки на разработку/доработку Интернет-ресурса, экстренное устранение проблем в работе ресурсов АГТ, срочное устранение сбоев...;
78;Unity Developer;Тюмень;35000.0;60000.0;Ключевой фактор;2019-10-03T10:59:06+0300;1;3;Полный день;Полная занятость;Обязанности:  разработка проектов с с AR и VR технологиями  Требования:   C#   опыт разработки на Unity/Unreal от 1 года   навыки работы в Substance Designer, Substance Painter   опыт создания мультиплеерных игр (Photon Network/Unet)   умение профайлить и оптимизировать   Условия:  работа в скрам-команде полный рабочий день офис в бизнес-центре ЕрмакВы можете более подробно ознакомиться с нашими проектами на сайте компании: http://kfactor.ru/ ;  работа в скрам-команде полный рабочий день офис в бизнес-центре ЕрмакВы можете более подробно ознакомиться с нашими проектами на сайте компании: http://kfactor.ru/ ;C#. Опыт разработки на Unity/Unreal от 1 года. Навыки работы в Substance Designer, Substance Painter. Опыт создания мультиплеерных игр...;Разработка проектов с с AR и VR технологиями.;"Unity; C#"
6;PHP-программист;Ижевск;40000.0;60000.0;Гром-Ит;2019-10-11T19:14:29+0300;1;3;Полный день;Полная занятость;Мы открываем Ижевский офис веб-разработки, в связи с чем в нашей команде открыта вакансия PHP – программиста. Зона ответственности:  Разработка новых проектов на фреймворках (Laravel/OctoberCMS) Поддержка и доработка существующих проектов Взаимодействие с командой разработчиков (GIT) Оценка задач и участие в планировании работ  Мы уважаем вашу специализацию - не требуем верстать, рисовать макеты и писать тексты - этим занимаются другие люди. Требования:  Отличное знание PHP, понимание и использование в работе принципов ООП и основных паттернов проектирования Знание СУБД (MySQL) Опыт работы со сторонними API Умение работать с системой контроля версий GIT Опыт работы с фреймворком Laravel (или подобным) Аналитический ум и внимание к деталям  Будет плюсом:  Знание Linux (Ubuntu, CentOS, etc) Опыт работы с OctoberCms  Условия:  Удобный офис в центре Ижевска Команда специалистов, готовая обучать и быть наставниками Трудоустройство по ТК РФ, конкурентоспособная белая заработная плата График работы: 5/2, с 9:00 до 18:00 либо с 10:00 до 19:00 ;  Удобный офис в центре Ижевска Команда специалистов, готовая обучать и быть наставниками Трудоустройство по ТК РФ, конкурентоспособная белая заработная плата График работы: 5/2, с 9:00 до 18:00 либо с 10:00 до 19:00 ;Отличное знание PHP, понимание и использование в работе принципов ООП и основных паттернов проектирования. Знание СУБД (MySQL). Опыт работы со...;Разработка новых проектов на фреймворках (Laravel/OctoberCMS). Поддержка и доработка существующих проектов. Взаимодействие с командой <highlighttext>разработчиков</highlighttext> (GIT). Оценка задач и...;"ООП; MySQL; Git; Laravel; PHP"
12;Программист 1С;Ижевск;40000.0;60000.0;Восточный;2019-10-10T06:35:37+0300;3;6;Полный день;Полная занятость;Обязанности:  Поддержка пользователей по работе с 1С Доработка печатных форм, отчетов  Требования:  Высшее образование Знание предметных областей бух. учета, торгово-производственной деятельности  Условия:  Рабочий график 5/2, с 8-00 до 17-00 Официальное трудоустройство Полный соц. пакет Окончательный уровень з/п формируется по результатам собеседования Доставка до места работы служебным транспортом ;  Рабочий график 5/2, с 8-00 до 17-00 Официальное трудоустройство Полный соц. пакет Окончательный уровень з/п формируется по результатам собеседования Доставка до места работы служебным транспортом ;Высшее образование. Знание предметных областей бух. учета, торгово-производственной деятельности.;Поддержка пользователей по работе с 1С. Доработка печатных форм, отчетов.;"Инициативность; Ответственность; самостоятельность; высокая обучаемость"
21;Программист 1С;Ижевск;40000.0;60000.0;Торговая компания Русь-Матушка;2019-09-28T15:09:02+0300;1;3;Полный день;Полная занятость;Обязанности: Программирование по ТЗ. Поддержка существующих конфигурация 1С Требования: Программирование в 1С от двух лет Желательно знание бухгалтерского и производственного учета Условия:  официальное трудоустройство, график работы 5/2, с 8.00 до 17.00 з/пл зависит от квалификации ;  официальное трудоустройство, график работы 5/2, с 8.00 до 17.00 з/пл зависит от квалификации ;Программирование в 1С от двух лет. Желательно знание бухгалтерского и производственного учета.;Программирование по ТЗ. Поддержка существующих конфигурация 1С.;
23;Программист-разработчик;Ижевск;50000.0;60000.0;Фирма Стандарт-н;2019-09-13T08:03:51+0300;1;3;Полный день;Полная занятость;Обязанности:  Требуется программист - разработчик. Разработка и поддержка прикладных программ, среда разработки - Delphi  Требования:   - Высшее техническое образование, - Знание языков программирования - Аккуратность, коммуникабельность, умение достигать своей цели.   Условия:   Начальная з/п по итогам собеседования Перспективы роста Полный рабочий день На территории работодателя  ;   Начальная з/п по итогам собеседования Перспективы роста Полный рабочий день На территории работодателя  ;Высшее техническое образование. - Знание языков программирования. - Аккуратность, коммуникабельность, умение достигать своей цели.;;
51;Ведущий инженер-программист (сопровождение 1С:8.x);Тюмень;60000.0;60000.0;Запсибгазпром-Газификация;2019-10-08T07:29:43+0300;6;0;Полный день;Полная занятость;Обязанности: - выявление, сбор, анализ, уточнение и формирование потребностей сопровождаемых клиентов при работе с корпоративной системой на базе 1С различных конфигураций- сопровождение клиентов в системе, консультации по вопросам работы программы. Выезд в офис клиента (при личной договоренности)- самостоятельные мелкие изменения в системе, доработки. Инсталляция в системе произведенных изменений- постановка задач (формирование ТЗ) программисту на значительные доработки в 1С- обучение сотрудников клиента. Составление рабочих инструкций для пользователей.- отчет по выполненной работе.- взаимодействие с бизнес-консультантами по развитию системы Профессиональные навыки: - развитые коммуникативные навыки- владение техниками работы с возражениями- профессиональное знание 1С:УПП (Управление продажами, Управление закупом, Управление производством, Управление запасами - на уровне продвинутого пользователя)- приветствуется знание 1С:Бухгалтерия, Зарплата и управление персоналом, Управление торговлей Требования:   опыт работы от 5 лет высшее профессиональное образование - специальное, по профилю дополнительное образование  Условия:  официальное трудоустройство, официальная заработная плата отпуск, больничный лист, согласно ТК РФ безлимитный полис ДМС  Приглашаем на работу в крупную строительную организацию. Просим направлять резюме на указанную почту в данной вакансии.;  официальное трудоустройство, официальная заработная плата отпуск, больничный лист, согласно ТК РФ безлимитный полис ДМС  Приглашаем на работу в крупную строительную организацию. Просим направлять резюме на указанную почту в данной вакансии.;Профессиональные навыки: - развитые коммуникативные навыки. - владение техниками работы с возражениями. - профессиональное знание 1С:УПП (Управление продажами, Управление закупом, Управление...;Инсталляция в системе произведенных изменений. - постановка задач (формирование ТЗ) <highlighttext>программисту</highlighttext> на значительные доработки в 1С. - обучение сотрудников клиента. ;
5;Laravel-разработчик;Ижевск;;60000.0;WM Studio;2019-10-12T09:02:47+0300;1;3;Удаленная работа;Полная занятость;Требования:  Уверенное знание PHP, LARAVEL, MySQL. Опыт работы с фреймворком laravel. Наличие завершенных проектов.  Чем предстоит заниматься:  ​Разработка и поддержка проектов на laravel.  Условия:  Удалённая работа. Молодой и дружный коллектив. Много интересных задач, никакого конвейера. Работа с крупными российскими и иностранными проектами. Официальное оформление после испытательного срока (по желанию). Корпоративные мероприятия. Возможен плавающий график начала и окончания рабочего дня.  Собеседование будет проводиться в Skype, а также включать в себя тестовое задание и решение задач на знание php и laravel.;  Удалённая работа. Молодой и дружный коллектив. Много интересных задач, никакого конвейера. Работа с крупными российскими и иностранными проектами. Официальное оформление после испытательного срока (по желанию). Корпоративные мероприятия. Возможен плавающий график начала и окончания рабочего дня.  Собеседование будет проводиться в Skype, а также включать в себя тестовое задание и решение задач на знание php и laravel.;Уверенное знание PHP, LARAVEL, MySQL. Опыт работы с фреймворком laravel. Наличие завершенных проектов.;Разработка и поддержка проектов на laravel.;"JavaScript; Ajax; PHP; laravel; MySQL; SQL; jQuery; Redis"
33;Программист;Тюмень;40000.0;55000.0;ГАУ ТО ЦЗН города Тюмени и Тюменского района;2019-10-11T06:55:39+0300;0;0;Полный день;Полная занятость;"Обязанности:   Ваша работа будет заключаться в ... - Консультации пользователей по вопросам работы в программных продуктах 1С (УПП, Бухгалтерия, ЗУП); - Программировании и доработке конфигураций 1С в соответствии с техническими заданиями; - Мониторинге выхода новых типовых конфигураций необходимых для обновления программ на базе 1С, контроль изменений в новых конфигурациях; - Разработке конфигурации в 1С по представленным техническим заданиям других отделов и подразделений предприятия.  Требования:   нет требований к стажу Работа с компьютером на профессиональном уровне Эта работа для Вас если… - Вы имеете высшее техническое образование; - Умеете проектировать информационные системы и базы данных, владеть встроенным языком программирования 1С, имеете опыт программирования в иных формализованных языках программирования; - Ориентируетесь в основных конфигурациях 1С связанных с функционированием средних и крупных предприятий; - Знаете устройство и принципы работы операционных систем и компьютерной техники; - Умеете работать в режиме многозадачности.   Условия:   Пятидневная рабочая неделя с 8-00 до 17-00   оформление в рамках трудового законодательства   Повременно-премиальная оплата труда  Адрес рабочего места: рп Винзили, р-н Тюменский, ул Вокзальная развозка людей питание в столовой обучение за счет работодателя вакансия рассматривается по результатам изучения резюме ";   Пятидневная рабочая неделя с 8-00 до 17-00   оформление в рамках трудового законодательства   Повременно-премиальная оплата труда  Адрес рабочего места: рп Винзили, р-н Тюменский, ул Вокзальная развозка людей питание в столовой обучение за счет работодателя вакансия рассматривается по результатам изучения резюме ;Нет требований к стажу. Работа с компьютером на профессиональном уровне. Эта работа для Вас если…. - Вы имеете высшее техническое образование. - ;Ваша работа будет заключаться в ... - Консультации пользователей по вопросам работы в программных продуктах 1С (УПП, Бухгалтерия, ЗУП). - ;
9;Frontend-разработчик;Тюмень;30000.0;50000.0;АЙТИ АРХИТЕКТОР;2019-10-11T18:03:43+0300;1;3;Полный день;Полная занятость;"Обязанности:  Верстка сайтов, landing page, интернет магазинов, взаимодействие по макету с дизайнером; Верстка интерфейсов, модулей внутренних систем; Разработка / модернизация JS / VUE / JQuery скриптов; Оптимизация верстки.  Требования:  Отличное знание HTML5 / CSS3; Уверенное знание JS / JQuery / VUE; Знание одного из UI фреймворков: Vuetify, ElementIO, IView; Кроссбраузерная и адаптивная мобильная верстка; Опыт работы с Git; Четкое понимание юзабилити интерфейса; Умение разбираться в чужом коде; Умение выполнять задачу в заданный срок; Ответственность, умение работать самостоятельно и относиться к задаче внимательно; Знание основ ООП; Знание основ PHP; Понимание как работает бэкенд.  Условия:  Пятидневная рабочая неделя с 08:30 до 17:30 Официальное трудоустройство Центр, район дома Печати Молодой, активный коллектив Возможность совершенствовать навыки и развиваться Отличный офис в тихом месте, нет проблем с парковкой, кафе на территории, чай-кофе-печеньки в офисе Кандидатуры freelance не рассматриваем! Вместе с резюме отправьте ссылки на выполненные вами работы для оценки верстки и клиентского кода ";  Пятидневная рабочая неделя с 08:30 до 17:30 Официальное трудоустройство Центр, район дома Печати Молодой, активный коллектив Возможность совершенствовать навыки и развиваться Отличный офис в тихом месте, нет проблем с парковкой, кафе на территории, чай-кофе-печеньки в офисе Кандидатуры freelance не рассматриваем! Вместе с резюме отправьте ссылки на выполненные вами работы для оценки верстки и клиентского кода ;Отличное знание HTML5 / CSS3. Уверенное знание JS / JQuery / VUE. Знание одного из UI фреймворков: Vuetify, ElementIO, IView. ;Верстка сайтов, landing page, интернет магазинов, взаимодействие по макету с дизайнером. Верстка интерфейсов, модулей внутренних систем. Разработка / модернизация JS / VUE...;"Веб-программирование; HTML5; jQuery; CSS3; Ajax; Git; JavaScript; Кроссбраузерная верстка; Валидная верстка; Sass; JSON API; VUE"
