;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
93;33932267;PHP-программист;Тюмень;80000.0;140000.0;Egamings, филиал г. Псков;2019-10-04T17:48:13+0300;От 3 до 6 лет;Полный день;Полная занятость;"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Тюмень. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Тюмени. Требования:  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis;    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;    Условия:    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 80`000 до 140000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";"    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 80`000 до 140000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП. Основы Debian/Ubuntu Linux на уровне пользователя. ;Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные...;"PHP; MySQL; PHP5; HTML5; JavaScript; Git; ООП"
17;34166317;PHP-программист;Екатеринбург;60000.0;130000.0;Топлайнер;2019-10-18T16:01:09+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности: Разработка модулей для сайта на 1C Bitrix, Разработка ПО, развитие существующих проектов, тех. поддержка корпоративных программ. Требования: Хорошее знение 1C Bitrix. Умение быстро включиться в проект, ответственность, обучаемость. Хороший опыт работы. Уверенное знание PHP (5,7), Mysql, желательно знание API Yandex карт, верстки на основе современных фреймворков. Условия: Офис в центре города. Зарплата без задержек. Полный рабочий день, небольшой коллектив, кофе и плюшки. Возможно проектная работа (по договоренности).; Офис в центре города. Зарплата без задержек. Полный рабочий день, небольшой коллектив, кофе и плюшки. Возможно проектная работа (по договоренности).;Требования: Хорошее знение 1C Bitrix. Умение быстро включиться в проект, ответственность, обучаемость. Хороший опыт работы. Уверенное знание PHP (5...;Обязанности: Разработка модулей для сайта на 1C Bitrix, Разработка ПО, развитие существующих проектов, тех. поддержка корпоративных программ.;"1С-Битрикс; PHP; MySQL; HTML5; jQuery; Yandex Maps API; CSS"
49;34016037;PHP-программист;Новосибирск;60000.0;90000.0;Бизнес Решения;2019-10-16T09:37:17+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Крупному порталу о недвижимости требуется PHP-программист на удаленку! Нам нужен самостоятельный профи с высоким уровнем ответственности и самоконтроля. Стек технологий:  php7 mysql redis mongoDB yii2 git symfony  Основные задачи:  разработка и поддержка функциональных частей проекта; разработка и покрытие тестами отдельных участков; профилирование и отладка сложных участков.  Для нас важно:  опыт разработки порталов; уверенные знания PHP7, MySQL; умение работать в команде и разбираться в чужом коде.  Условия:  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";"  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";Опыт разработки порталов. Уверенные знания PHP7, MySQL. Умение работать в команде и разбираться в чужом коде.;Разработка и поддержка функциональных частей проекта. Разработка и покрытие тестами отдельных участков. Профилирование и отладка сложных участков.;"MySQL; MongoDB; Git; Yii; Redis; PHP"
25;34035471;PHP-программист;Челябинск;40000.0;80000.0;Максимал;2019-10-11T09:13:06+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Мы ожидаем, что вы:  Знаете php; Знаете, что такое git и как с этим жить Работали с одним из популярных фреймворком Yii, Symfony, Laravel, Zend, Phalcon Понимаете, что такое ООП, и умеете применять на практике основные паттерны; Уверенно пишете SQL и умеете оптимизировать запросы; Понимаете, как устроен HTTP; Знакомы с Linux и умеете работать с командной строкой;  Мы будем рады, если вы:  Работали с фреймворком Phalcon; Имеете опыт работы с инструментами профилирования, дебага. Умеете пользоваться инструментами мониторинга, например, Grafana; Понимаете архитектуру высоконагруженных систем;  Условия работы:  Официальное оформление в компании; Плавающее начало рабочего дня; Бесплатные обеды в офисе, неограниченные чай/кофе/газировка.   ";;Понимаете, что такое ООП, и умеете применять на практике основные паттерны. Уверенно пишете SQL и умеете оптимизировать запросы. ;Работали с фреймворком Phalcon.;"Git; Linux; PHP; Phalcon; SQL"
69;33909044;PHP-программист;Казань;40000.0;50000.0;БУЛГАР-МАРКЕТИНГ;2019-10-03T15:56:52+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  выполнение работ по техническому заданию проекта web разработка развитие функционала электронно-торговой площадки проработка вопросов безопасности, защита от НСД и уменьшение объема НДВ  Требования:  Опыт разработки и сопровождения продукта на PHP в команде от 1 года; Умение работать в команде Исполнительность, соблюдение сроков работы Высшее образование (профильное/техническое) Быть готовым быть на связи 24/7  Условия:  Официальное оформление и стабильный доход;  График работы 5\2 (с 9.00 до 18.00)   Возможность профессионального и карьерного роста.  Работа в среде профессионалов с перспективами карьерного роста Работа только в офисе, удаленная работа НЕ предусмотрена ";"  Официальное оформление и стабильный доход;  График работы 5\2 (с 9.00 до 18.00)   Возможность профессионального и карьерного роста.  Работа в среде профессионалов с перспективами карьерного роста Работа только в офисе, удаленная работа НЕ предусмотрена ";Опыт разработки и сопровождения продукта на PHP в команде от 1 года. Умение работать в команде. Исполнительность, соблюдение сроков работы. ;Выполнение работ по техническому заданию проекта. Web разработка. Развитие функционала электронно-торговой площадки. Проработка вопросов безопасности, защита от НСД и...;"Работа в команде; phpMyAdmin; PHP; Работа с большим объемом информации; соблюдение сроков; организованность; Аналитический склад ума"
39;34113437;PHP-программист;Казань;30000.0;;Прайм Тайм;2019-10-16T11:00:43+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности:  поддержка сайтов и сервисов  Требования:  знание php,js, git опыт работы с фреймворками базовое знание верстки базовые знание графических программ  Условия:  работа в офисе зп обсуждается после собеседования ;  работа в офисе зп обсуждается после собеседования ;Знание php,js, git. Опыт работы с фреймворками. Базовое знание верстки. Базовые знание графических программ.;Поддержка сайтов и сервисов.;"Git; PHP; HTML; phpMyAdmin"
18;34088754;PHP-программист;Екатеринбург;50000.0;;Ананас. ИТ Решения;2019-10-18T10:25:02+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;Компания Ананас. Мы специализируемся на разработке не типовых проектов, внутренних систем для бизнеса. Ищем Backend PHP разработчика, готового изучать новые технологии и развиваться вместе с нами для длительного сотрудничества Обязанности:  Разработка систем c использованием языка PHP (преимущественно Laravel) Техническая поддержка разработанных систем Разработка внутренних систем компании  Требования: Обязательно:  Уверенное знание PHP Понимание принципов ООП Пунктуальность в решении задач Умение работать с системой контроля версий GIT Знание основ баз данных Стремление развиваться и становиться все лучше и лучше  Будет плюсом:  Базовые знание HTML, CSS, JS Опыт покрытия кода тестами  Условия  Гибкое начало рабочего дня до 10:30 Официальное трудоустройство согласно ТК РФ Предоставим все необходимое для комфортной и качественной работы Дружный и сплоченный коллектив Возможность поработать в сложных и нестандартных проектах Возможность обучаться и принимать участие в различных конференциях  Плюшки:  Работа над нетипичными проектами Регулярные корпоративные мероприятия Профессиональный рост Доступ к различным обучающим материалам Компенсация обедов Возможность стать FullStack разработчиком Льготы от наших партнеров (Мозгобойня) ;;Уверенное знание PHP. Понимание принципов ООП. Пунктуальность в решении задач. Умение работать с системой контроля версий GIT. Знание основ баз...;Разработка систем c использованием языка PHP (преимущественно Laravel). Техническая поддержка разработанных систем. Разработка внутренних систем компании.;"PHP; MySQL; ООП; Git; Laravel; PostgreSQL; backend"
94;33907203;PHP-программист;Москва;100000.0;;SaveTime;2019-10-18T14:54:05+0300;От 1 года до 3 лет;Полный день;Полная занятость;SaveTime – это гипермаркет в вашем смартфоне. Мы собрали около 50 000 товаров из ваших любимых магазинов в одном приложении.   Что предстоит делать  Разработка web-приложения под высокую нагрузку Оптимизировать web-приложения, искать узкие места Активное участие во всём процессе разработки Работа с PHP, MySQL Проектирование архитектуры, планирование, разработка, поддержка и выпуск нового функционала для наших внутренних проектов.    Требования  Знать сильные и слабые стороны PHP Проектирование базы данных (MySQL) Умение профилировать скрипты Умение находить узкие места Понимание стратегии оптимизации Вовремя реагировать на проблемы Уметь слышать других Опыт работы с nginx Опыт работы с Symfony приветствуется    Что мы предлагаем  Хорошую белую зарплату Современная техника для работы Оплата посещения профильных конференций Покупка любой профильной литературы Удобная мебель для работы Корпоративные мероприятия Сладости к чаю Премия за хорошую работу ;;Знать сильные и слабые стороны PHP. Проектирование базы данных (MySQL). Умение профилировать скрипты. Умение находить узкие места. Понимание стратегии оптимизации. ;Разработка web-приложения под высокую нагрузку. Оптимизировать web-приложения, искать узкие места. Активное участие во всём процессе разработки. ;"PHP; MySQL; Git; Nginx; Sphinx"
4;34089388;PHP-программист;Екатеринбург;110000.0;;Тех-Ник;2019-10-18T10:38:24+0300;От 1 года до 3 лет;Полный день;Полная занятость;В IT-команду компании требуется php-программист для участия в поддержке и развитии внутренних crm-систем компании, полная занятость, полный рабочий день. Работа в офисе Требования: * Опыт разработки на php * Опыт работы с SQL БД (у нас MySQL) * Знание английского для чтения документации Задачи: * Поддержка/эксплуатация существующих систем * Добавления нового функционала в системы В наших проектах: * Ubuntu, PHP 7.x, немного Node.js, ElasticSearch * Контроль версий: git   Заработная плата рассматривается в рамках ожиданий кандидатов;;Опыт разработки на php. * Опыт работы с SQL БД (у нас MySQL). * Знание английского для чтения документации.;Поддержка/эксплуатация существующих систем. * Добавления нового функционала в системы. В наших проектах: * Контроль версий: git.;"PHP; MySQL"
53;33705906;PHP-программист;Новосибирск;;;ИОМ Анкетолог;2019-10-17T06:55:33+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Anketolog.ru - российский проект, предоставляющий услуги для сферы В2В2C по проведению социологических и маркетинговых исследований. Компания основана в 2010 году.Мы ищем ответственного разработчика на PHP, который способен быстро подключиться к работе над проектом. Необходимые навыки и знания:  Хорошие знания PHP 5+; Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.); Понимание принципов MVC; Знание HTML, CSS и Javascript; Знание SQL (индексы, джоины и пр.).  Будет плюсом:  Знание фреймворков Yii, Symfony; Опыт работы с mongodb, sphinx, elasticsearch; Опыт работы с Javascript библиотеками: backbonejs, marionettejs, react; Опыт работы с системами правления версиями (git).  Условия:  работа в IT-проекте;   молодой коллектив;   возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста;   официальное трудоустройство; размер заработной платы обсуждается на собеседовании. ";"  работа в IT-проекте;   молодой коллектив;   возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста;   официальное трудоустройство; размер заработной платы обсуждается на собеседовании. ";Хорошие знания PHP 5+. Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.). Понимание принципов MVC. Знание HTML, CSS...;Работа в IT-проекте.;"Yii; PHP; PHP7; CSS3; JavaScript; jQuery; marionettejs; reactjs; Backbone"
