;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
1;33751610;Веб-программист (PHP);Ростов-на-Дону;20000.0;60000.0;Есть идея!;2019-10-18T17:18:13+0300;Нет опыта;Гибкий график;Полная занятость;Разрабатываем проекты на заказ: преимущественно большие и функциональные интернет-магазины, немного порталы и CRM под клиентов. Но есть и небольшие задачи для стажёра без опыта работы. Обязанности:   Прочитать и понять ТЗ.   Принять вёрстку от frontend-разработчика   Реализовать на PHP   Подключить к Git   Протестировать на dev   Выкатить на production   Требования:   Можно без официального опыта работы, но ОБЯЗАТЕЛЬНО иметь навыки ООП, PHP и MySQL. Иметь возможность продемонстрировать свой код.   PHP, MySQL, Git   ООП, MVC   Трудолюбие и продуктивность   Усидчивость   Опыт работы с OpenCart, Laravel, Yii и Битрикс будет большим плюсом   Условия:   Гибкое начало рабочего дня с 9 до 12.   Возможен гибкий график для студента, но ОБЯЗАТЕЛЬНО присутствие в офисе не менее 20 часов в неделю и 3-4 часа обязательно быть на связи каждый день.   Офис в районе Комсомольской площади.   Оформление по ТК РФ.  ;   Гибкое начало рабочего дня с 9 до 12.   Возможен гибкий график для студента, но ОБЯЗАТЕЛЬНО присутствие в офисе не менее 20 часов в неделю и 3-4 часа обязательно быть на связи каждый день.   Офис в районе Комсомольской площади.   Оформление по ТК РФ.  ;Реализовать на PHP. Подключить к Git. Можно без официального опыта работы, но ОБЯЗАТЕЛЬНО иметь навыки ООП, PHP и MySQL. ;Разрабатываем проекты на заказ: преимущественно большие и функциональные интернет-магазины, немного порталы и CRM под клиентов. Но есть и небольшие...;"Git; MySQL; MVC; PHP; ООП; 1С-Битрикс; PHP5; Yii; OpenCart"
62;34096182;Программист (Junior);Тюмень;25000.0;60000.0;Строительный Двор;2019-10-15T13:36:29+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:   Неполное высшее (ИТ специальности); Базовые знания программирования; Опыт программирования в проектах (личных или на заказ); Аналитический склад ума; Умение структурировать информацию; Ответственность, нацеленность на результат; Опыт командной работы.  Будет плюсом:  Знание любого языка программирования (Java, Python, JS, Ruby, PHP и т.д..); Понимание, что такое REST, JSON, XML; Английский язык на уровне чтения и понимания документации; Опыт разработки поисковых систем; PostgreSQL; Знание Linux на уровне пользователя; Наличие проектов на GitHub, GitLab и т.п..  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Неполное высшее (ИТ специальности). Базовые знания программирования. Опыт программирования в проектах (личных или на заказ). Аналитический склад ума. ;Проектирование, разработка, внедрение и сопровождение проектов компании.;"Java; Spring Framework; PostgreSQL; HTML; CSS; Python; JavaScript; Ruby; PHP; Git; ООП"
24;33881377;Разработчик мобильных приложений;Челябинск;25000.0;60000.0;Метеор-ит;2019-10-17T14:03:55+0300;Нет опыта;Полный день;Полная занятость;"Привет! Наша компания занимается разработкой мобильных приложения для бизнеса на заказ, а также разработкой и продвижением своих собственных мобильных приложений. МетеорИТ – это команда дизайнеров и разработчиков, вместе мы стремимся постоянно улучшать наши компетенции в разработке приложений, находим интересные и перспективные проекты, создаем полезные приложения для компаний Челябинска и России, а также развиваем своё собственное мобильное приложение для больных сахарным диабетом DiaMeter, которое является одним из самых популярных приложений по контролю диабета в России Мы ищем себе в команду как iOS разработчиков, так и Android разработчиков, которые смогли бы взять на себя задачи по разработке новых и поддержке и модернизации уже существующих мобильных приложенийПрисутствует возможность как удаленной проектной работы со встречами в скайпе 2-3 раза в неделю для обсуждения задач, так и постоянной работы в офисеЕсли у вас есть желание расти и развиться в этой области, то присылайте нам на почту своё резюме с указанием опыта работы в сфере iOS-разработки ​Обязанности:  Доработка и поддержка существующих мобильных приложений для iOS/Android Тестирование  Требования:  Знание основных принципов ООП Опыт iOS разработки на Swift/Kotlin не менее полугода Технический английский  Желательно:  Опыт использования CocoaPods/Gradle Опыт работы с Realm и CoreData/MySQL Опыт реализации взаимодействия с сервером Опыт проектирования архитектуры приложения Примеры своих работ    Условия работы: Есть два варианта работы:  Проектная – фиксированная сумма за выполненную работу, постоянное присутствие в офисе не требуется Постоянная – ежемесячная оплата, необходимо присутствие в офисе  Оплата договорная в зависимости от проекта/вашего уровня компетенций   При подаче резюме отправьте сопроводительное письмо, где будет описаны:  ваш опыт разработки; интересные вам сферы мобильной разработки; чему бы вы хотели научиться; ваш любимый динозавр; ссылки на примеры ваших работ (при наличии); ";;Знание основных принципов ООП. Опыт iOS разработки на Swift/Kotlin не менее полугода. Технический английский. Опыт использования CocoaPods/Gradle. ;Доработка и поддержка существующих мобильных приложений для iOS/Android. Тестирование.;"Xcode; Objective-C; Swift; realm; Mac Os; iOS; Разработка ПО; Разработка мобильных приложений; MVC; Android; Kotlin; Java; Git"
6;33810309;Младший программист Delphi;Санкт-Петербург;30000.0;60000.0;Бизнес Технологии;2019-10-18T14:37:04+0300;Нет опыта;Полный день;Полная занятость;Приглашает к сотрудничеству начинающих и опытных разработчиков.Обязанности:  Разработка десктопного клиентского приложения ERP системы Глобал Реализация новой функциональности, исправление ошибок Написание модульных тестов  Требования:  Знание одного из объектно-ориентированных языков Уверенное знание ООП Минимальная алгоритмическая подготовка Вы можете ответить на вопросы: что такое указатель? и чем отличается массив от списка? Самое важное: желание учиться и профессионально развиваться  Приветствуется:  Опыт создания визуальных и невизуальных компонентов Опыт работы с реляционными СУБД Знание UML и методологий разработки ПО Любые знания из сферы IT и Computer Science  Условия:  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкие методологии разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального и карьерного роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкие методологии разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального и карьерного роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;"Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Минимальная алгоритмическая подготовка. Вы можете ответить на вопросы: &quot;что такое указатель...";Разработка десктопного клиентского приложения ERP системы Глобал. Реализация новой функциональности, исправление ошибок. Написание модульных тестов.;
12;33778752;PHP-программист (Junior);Новосибирск;30000.0;60000.0;ИОМ Анкетолог;2019-10-17T06:39:32+0300;Нет опыта;Полный день;Полная занятость;Anketolog - сервис для создания онлайн-опросов и проведения исследований. Наша компания является Новосибирским инновационным интернет-проектом существующим с 2010 года. Мы ищем целеустремленного, ответственного разработчика на PHP, который способен быстро подключиться к работе над проектом. Необходимые навыки и знания:  Хорошие знания PHP 5+ Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.) Понимание принципов MVC Знание HTML, CSS и Javascript Знание SQL (индексы, джоины и пр.)  Будет плюсом:  Знание фреймворков Yii, Symfony Опыт работы с mongodb, sphinx, elasticsearch Опыт работы с Javascript библиотеками: backbonejs, marionettejs, react Опыт работы с системами правления версиями (git)  Мы можем предложить:  Собственный крупный интернет-проект Молодой, дружный коллектив Много интересных задач Работа в офисе в центре города Своевременная и в полном объеме выплата заработной платы Стабильная компания с хорошим опытом работы Заработная плата по договоренности в зависимости от вашей квалификации (внимательно выслушаем ваши пожелания на счет оплаты и рабочего графика).  Качества:  Пунктуальность, ответственность. Готовность выполнить небольшое тестовое задание. ;;Необходимые навыки и знания: Хорошие знания PHP 5+. Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.). ;;"Yii; PHP; CSS3; JavaScript; jQuery; Backbone"
29;33684804;Ведущий инженер/системный программист;Тюмень;30000.0;60000.0;ГАУ ТО ЦЗН города Тюмени и Тюменского района;2019-10-18T07:03:12+0300;Нет опыта;Полный день;Полная занятость;"Обязанности:  Оформление задачи в бланке заявки на разработку/доработку Интернет-ресурса, экстренное устранение проблем в работе ресурсов АГТ, срочное устранение сбоев в работе сайтов, а также корректировка информации; разработка новых модулей, доработка и исправление модулей на официальном портале Администрации города Тюмени, муниципальных Интернет-ресурсах; разработка новых муниципальных Интернет-ресурсов; доработка скриптов для муниципальных Интернет-ресурсов; разработка скриптов для автоматизации обновления различных баз данных на официальном портале Администрации города Тюмени, муниципальных Интернет-ресурсах; разработка и согласование технических заданий; консультации по работе систем администрирования муниципальных Интернет-ресурсов.  Требования:   нет требований к стажу Стрессоустойчивость,Ответственность,Уверенный пользователь компьютера,Умение работать в команде   Высшее образование   знание: основ форматирования с использованием HTML, CSS, управление контентом с помощью XML, WEB-технологий; графических редакторов необходимых для верстки дизайна и макета (Adobe Photoshop); языков программирования (PHP, SQL, JavaScript). стандарты HTTP, сервер БД (MySQL), основ обеспечения комплексной безопасности веб-сервера.   Условия:   официальное трудоустройство, полный соц пакет   офис в центре города   все подробности по вакансии обсуждаются при собеседовании   адрес рабочего места, офис: г. Тюмень, ул. Первомайская   своевременная выплата заработной платы   стабильный доход, бюджетная организация   оклад  хороший, дружный коллектив ждем Ваши резюме ";   официальное трудоустройство, полный соц пакет   офис в центре города   все подробности по вакансии обсуждаются при собеседовании   адрес рабочего места, офис: г. Тюмень, ул. Первомайская   своевременная выплата заработной платы   стабильный доход, бюджетная организация   оклад  хороший, дружный коллектив ждем Ваши резюме ;Нет требований к стажу. Стрессоустойчивость,Ответственность,Уверенный пользователь компьютера,Умение работать в команде. Высшее образование. Знание: основ форматирования с использованием...;Оформление задачи в бланке заявки на разработку/доработку Интернет-ресурса, экстренное устранение проблем в работе ресурсов АГТ, срочное устранение сбоев...;
24;33700981;С# разработчик (junior);Екатеринбург;35000.0;60000.0;66 Бит;2019-10-17T19:38:07+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Компания 66 Бит — профессиональный разработчик программного обеспечения с многолетним стажем. В связи с расширением компании, мы готовы взять в нашу команду начинающего талантливого и целеустремленного C# разработчика. Работая с нами, Вы сможете расширить свои знания и существенно повысить свой профессиональный уровень. Наша основная специализация - разработка сложных, нетиповых программных продуктов на заказ. Мы будем рады всем тем, для кого IT – это призвание и любимое занятие. Обязанности:  Разработка новых и доработка существующих продуктов под руководством опытных разработчиков.  Требования:   Владение C# и понимание деталей языка;   Знание платформы .NET.   Будет плюсом:  Хорошее владение ASP .NET MVC Core; Знание Git  git-flow; Опыт работы с чужим кодом; Опыт программирования больших приложений; Опыт работы в команде.  Условия:  Интересные задачи; Дружный молодой коллектив; Плавающее начало рабочего дня; Офис в центре, удобная транспортная развязка; Большие возможности профессионального роста; Вознаграждение зависит от уровня квалификации и устанавливается по итогам выполнения тестового задания; Кола, печеньки, чай, кофе и сок в ассортименте. ";"  Интересные задачи; Дружный молодой коллектив; Плавающее начало рабочего дня; Офис в центре, удобная транспортная развязка; Большие возможности профессионального роста; Вознаграждение зависит от уровня квалификации и устанавливается по итогам выполнения тестового задания; Кола, печеньки, чай, кофе и сок в ассортименте. ";"Владение C# и понимание деталей языка. Знание платформы .NET. Хорошее владение ASP .NET MVC Core. Знание Git &amp; git-flow. ";Разработка новых и доработка существующих продуктов под руководством опытных <highlighttext>разработчиков</highlighttext>.;"ASP.NET; C#; MVC; .NET Framework; Git"
95;33845655;Веб-программист;Екатеринбург;35000.0;60000.0;Media Army;2019-10-01T07:16:33+0300;От 1 года до 3 лет;Полный день;Полная занятость;Ищем web-программиста для разработки проектов на Битриксе в команду Media Army для проектного сотрудничества. ЗадачиВыполнение задач по разработке и поддержке сайтов на системе Битрикс: вёрстка по дизайн-макетам, программирование различного функционала, правка багов, доработки. Уровень профессионализмаЗнание веб-разработки, умение четко и понятно коммуницировать с менеджером проекта, умение решать проблемы за отведённое время, приветствуется знание системы Битрикс и опыт работы с ней. Требования— Знание веб-разработки (PHP, JavaScript, CSS, HTML).— Пунктуальность и умение уложиться в отведённое на задачу время.— Умение понятно и четко коммуницировать в письменной форме.— Аккуратность и педантичность в работе. Условия— Официальное трудоустройство.— Пятидневная рабочая неделя с 9:00 до 18:00.— Офис в центре Екатеринбурга.— Стабильная работа в надежной компании.— Интересные и сложные задачи.;;Уровень профессионализма. Знание веб-разработки, умение четко и понятно коммуницировать с менеджером проекта, умение решать проблемы за отведённое время, приветствуется...;Выполнение задач по разработке и поддержке сайтов на системе Битрикс: вёрстка по дизайн-макетам, программирование различного функционала, правка багов, доработки.;"CSS; JavaScript; MySQL; PHP; HTML; 1С-Битрикс"
37;33532833;Unity Developer;Тюмень;35000.0;60000.0;Ключевой фактор;2019-10-17T16:29:32+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности:  разработка проектов с с AR и VR технологиями  Требования:   C#   опыт разработки на Unity/Unreal от 1 года   навыки работы в Substance Designer, Substance Painter   опыт создания мультиплеерных игр (Photon Network/Unet)   умение профайлить и оптимизировать   Условия:  работа в скрам-команде полный рабочий день офис в бизнес-центре ЕрмакВы можете более подробно ознакомиться с нашими проектами на сайте компании: http://kfactor.ru/ ;  работа в скрам-команде полный рабочий день офис в бизнес-центре ЕрмакВы можете более подробно ознакомиться с нашими проектами на сайте компании: http://kfactor.ru/ ;C#. Опыт разработки на Unity/Unreal от 1 года. Навыки работы в Substance Designer, Substance Painter. Опыт создания мультиплеерных игр...;Разработка проектов с с AR и VR технологиями.;"Unity; C#"
46;34105603;Младший разработчик C#;Москва;40000.0;60000.0;Кворум;2019-10-18T19:24:00+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Кого мы ищем: Ты разрабатываешь на C# уже хотя бы пару лет? Ты знаешь, как отправлять коммиты в Git и создавать пулл реквесты? Отлично! Работал с ASP.Net или читал и думал «Вот бы попробовать»? - У тебя есть шанс сделать это у нас! Умеешь стоить UI на базе Web Forms и DevExpress? Знаком с NHibernate и Castle Windsor? А если ты слышал и работал с такими вещами как Oracle, MsSql и PostgreSql и занимался и Web версткой, то просто класс! А если чего и не знаешь, мы научим, это не сложно, поверь нам! У нас много проектов для банковского сегмента, и количество их растет. Проекты созданы по подходу Code First с использованием IoC, Castle Windsor и NHibernate. Есть свой движок от которого и родились все эти проекты. Требования: Опыт работы от года с C#, Git,Oracle. Желание учиться; Дежурство на стороне клиента (коммерческого банка). Мы предлагаем:  Возможность развития и самосовершенстования - вырасти от junior до system architect. Работать по графику, какому именно? 5/2 точно, а по часам, можем обусудить. Работать в тихом районе, сюда легко добраться добраться (пешком либо от Павелецкой, либо от Пролетарской). Прямое резюме с программистом, да-да, нам важны твои навыки и не умение делить в уме сложные числа! Можем дать ноут, если хочешь, это достаточно удобно!   ";  Возможность развития и самосовершенстования - вырасти от junior до system architect. Работать по графику, какому именно? 5/2 точно, а по часам, можем обусудить. Работать в тихом районе, сюда легко добраться добраться (пешком либо от Павелецкой, либо от Пролетарской). Прямое резюме с программистом, да-да, нам важны твои навыки и не умение делить в уме сложные числа! Можем дать ноут, если хочешь, это достаточно удобно!   ;Ты знаешь, как отправлять коммиты в Git и создавать пулл реквесты? Отлично! Опыт работы от года с C#, Git,Oracle. ;Дежурство на стороне клиента (коммерческого банка).;"C#; ORACLE; Git; MySQL"
