;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
24;34128678;Java-программист;Казань;40000.0;90000.0;АйТиБрик;2019-10-17T00:16:32+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Наша студия занимается разработкой веб и мобильных приложений. У нас открыта вакансия Java-программиста. Требования: - Знание языка Java на профессиональном уровне,- Опыт работы с технологиями Spring Framework,- Опыт разработки WEB-приложений от 1 года,- Знание основных шаблонов проектирования и умение их применять,- Знания JavaScript, HTML, CSS,- Знание SQL,- Ответственное отношение к работе.   Желательно: - Опыт работы с JS-фреймворками (Vue.js, jquery и подобные).   Обязанности: - Разработка веб приложений,- Написание и сопровождение кода,- Участие в оценке и планировании задач.   Условия:  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";"  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";Знание языка Java на профессиональном уровне. - Опыт работы с технологиями Spring Framework. - Опыт разработки WEB-приложений от 1 года. - ;Разработка веб приложений. - Написание и сопровождение кода. - Участие в оценке и планировании задач.;"SQL; Java; Java EE; JavaScript; HTML; PostgreSQL"
56;33703281;C# Разработчик (Unity3D, MMO игры);Новосибирск;50000.0;90000.0;Скайтек;2019-10-16T07:23:07+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;Предлагаем вам поучаствовать в создании масштабных игр, которые собирают миллионы игроков и получают высокие оценки. Наши проекты быстро растут и развиваются, в связи с чем мы активно расширяем нашу команду перспективными сотрудниками.   Мы ищем: талантливого Unity 3D/ C# разработчика, для работы над мобильными играми. Если вы всегда мечтали работать в геймдеве или привлекают сложные высоконагруженные проекты с десятками тысяч игроков онлайн, тогда это вакансия для вас. Необходимые навыки:  Хорошее знание C# Высшее образование или последние курсы университета Умение быстро и лихо делать сложные задачки Самостоятельность. Высокая скорость работы. Ответственность. Желание делать классные игры. Желание учиться и развиваться как профессионал  Будет плюсом:  Опыт работы с Unity 3D (большой плюс!) Опыт работы над игровыми проектами  Задачи:  Разработка внутреннего серверного движка для многопользовательских игр (C#) Разработка клиентской и серверной части нашего нового проекта  Мы предлагаем:  Белую зарплату и официальное трудоустройство Гибкий график работы Оплачиваемый отпуск и больничный Компенсация посещения спортзалов Офис компании представляет собой отдельно стоящее 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4 Интересная и творческая работа, возможность учиться у профессиональных коллег  Мы ждем от Вас:  Резюме Готовность выполнить тестовое задание  Напишите нам прямо сейчас и кто знает, может быть мы вместе с вами создадим новый шедевр в игровой индустрии?;  Белую зарплату и официальное трудоустройство Гибкий график работы Оплачиваемый отпуск и больничный Компенсация посещения спортзалов Офис компании представляет собой отдельно стоящее 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4 Интересная и творческая работа, возможность учиться у профессиональных коллег  Мы ждем от Вас:  Резюме Готовность выполнить тестовое задание  Напишите нам прямо сейчас и кто знает, может быть мы вместе с вами создадим новый шедевр в игровой индустрии?;Хорошее знание C#. Высшее образование или последние курсы университета. Умение быстро и лихо делать сложные задачки. Самостоятельность. Высокая скорость работы. ;Разработка внутреннего серверного движка для многопользовательских игр (C#). Разработка клиентской и серверной части нашего нового проекта.;
20;33669005;Программист Delphi SQL;Казань;50000.0;90000.0;Архимед плюс;2019-10-16T11:25:54+0300;От 3 до 6 лет;Полный день;Полная занятость;О нас:  Компания Архимед Плюс. 10 лет на рынке автоматизации медицинских центров. С нами работают более 600 клиник по всей России. Мы разрабатываем собственную медицинскую информационную систему ArchiMed+ Ищем опытного программиста Delphi, профессионала своего дела, того кто верит в данную технологию и считает что на ней можно реализовывать достойные продукты! Вам придется:  Дорабатывать и улучшать продукт, писать новый и разбираться в чужом коде. Примеры разработок, которыми придется заниматься:  Интеграции. Наша система постоянно интегрируется с другими сторонними системами. ROISTAT, SENDGRID, 1с, Лабораторные информационные системы, смс провайдеры и т.д. Основной интерфейс. Мы постоянно добавляем разные кнопки, окна, настройки и т.д в нашу систему. Кассовое оборудование. Сейчас есть написанные драйвера для работы с ФР ШТРИХ, АТОЛ, VIKIPRINT, Verifone. Периодически необходимо их дорабатывать. WEB модули. Наше приложение десктопное, но есть отдельные модули, которые открываются в браузере. Необходимо взаимодействовать с разработчиками, которые пишут эти модули. И многое многое другое.  Что нужно знать:   Delphi XE на уровне построения многопользовательских высоконагруженных информационных систем. SQL. опыт отладки и оптимизации запросов, опыт разработки хранимых процедур и триггеров (Желательно именно Microsoft, но в целом - это опыт работы с реляционными базами данных (Firebird, Interbase, SQL Server, Oracle, PostreSQL, MySQL и пр.) DevExpress, TMS. У нас это используется. FastReport. Или другие генераторы отчетов. Системы контроля версии(SVN) Навыки рефакторинга и анализа чужого кода (причем не одного а нескольких программистов)  Условия:  Заработная плата по результатам собеседования Работа в удобном офисе в центре города (ул.Космонавтов) в команде опытных разработчиков. Дружелюбный коллектив. Возможность развиваться и расти в федеральной компании и в сфере IT технологий Много интересной динамичной работы ;  Заработная плата по результатам собеседования Работа в удобном офисе в центре города (ул.Космонавтов) в команде опытных разработчиков. Дружелюбный коллектив. Возможность развиваться и расти в федеральной компании и в сфере IT технологий Много интересной динамичной работы ;Ищем опытного <highlighttext>программиста</highlighttext> Delphi, профессионала своего дела, того кто верит в данную технологию и считает что на ней можно реализовывать...;Дорабатывать и улучшать продукт, писать новый и разбираться в чужом коде. FastReport. Или другие генераторы отчетов. Системы контроля версии(SVN).;
9;33999883;Программист Delphi;Санкт-Петербург;55000.0;90000.0;Бизнес Технологии;2019-10-18T12:02:04+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Приглашает к сотрудничеству в команду которая занимается созданием инструмента для разработчиков бизнес-приложений: десктопного клиентского приложения ERP системы Global. Клиентское приложение является графическим фреймворком позволяющим создавать и отображать бизнес-приложения ERP-системы. Фреймворк предоставляет набор высокоуровневых графических примитивов (фреймы-компоновщики, гриды, деревья, контролы, графики, график ганта, олап, CAD и многие другие), средства выполнения dsl и отладки, разнообразный API и мета-модель процессов бизнес-приложений.Обязанности:  Разработка десктопной части и фреймворка ERP системы Глобал Реализация нового функционала, исправление ошибок Написание модульных тестов  Требования:  Знание одного из объектно-ориентированных языков Уверенное знание ООП Алгоритмическая подготовка Вы можете ответить на вопросы: что такое указатель? и чем отличается массив от списка?  Приветствуется:  Опыт создания визуальных и не визуальных компонентов Опыт работы с реляционными СУБД Знание UML и методологий разработки ПО Любые знания из сферы IT и Computer Science  Условия:  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Приветствуется: Опыт создания визуальных и не визуальных компонентов. Опыт работы с...;Разработка десктопной части и фреймворка ERP системы Глобал. Реализация нового функционала, исправление ошибок. Написание модульных тестов. Алгоритмическая подготовка.;
3;33820864;Программист-разработчик;Новосибирск;60000.0;90000.0;Неолаб-Нск;2019-10-18T05:24:33+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"В компании NEOLAB мы решаем задачи игровой индустрии в областях искусственного интеллекта, машинного обучения и больших данных. Мы разрабатываем приложения и сервисы для обработки данных, помощи в принятии решений и аналитики. Офисы компании находятся в Москве, Омске и Новосибирске. Neolab работает с компаниями из США, Китая, Индии и других стран. И мы смело называем себя экспертами в игровой индустрии. С какими технологиями столкнёшься?  Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя научим.  Распределенные системы. Например, CAP теорема, типичные сбои и способы их избежать, алгоритмы консенсуса, понятие идемпотентности операции. Distributed lock и системы с leader election; CQRS и Event Sourcing; IDL и связанные с ними протоколы сериализации (например, gRPC или ZeroC Ice); Тестирование кода. У себя мы используем jest; Функциональное программирование, pure functions, referential transparency, сайд-эффекты; FRP. В частности, мы используем RxJS; Различные DX инструменты: Chrome DevTools, Redux DevTools, React DevTools; Бандлеры кода для фронтенда, в частности, webpack, rollup и parcel; Техники асинхронного программирования, в частности, у нас активно используются coroutines и, конечно, promises. Современные подходы к data flow в веб приложении, в частности, flux, redux, redux-saga, mobx. Но заметим, что redux-saga мы используем и на бэкенде тоже; Большая часть фронтенда использует React, Современные стадарты в web API: fetch, documentQuerySelector, History API, WebWorker, ServiceWorker. Cross-window communication; Современный CSS. Flexbox, CSS Grid. Препроцессоры и постпроцессоры. CSS-in-JS; React UI библиотеки: material-UI, blueprint; ES2018 и другие современные стандарты JS, Babel, и что такое stage-0,1,2,3, и что ждёт нас в будущем ES; git и другие системы контроля версий. Мы используем Docker образы почти для всех наших сервисов. Приложения развертываем в kubernetes кластере. Инструментирование наших сервисов метриками. Каким образом понимать, что сервис работает, работает корректно и сколько нагрузки сможет ещё выдержать.  Это далеко не полный список. Но если ты знаком с его частью или тебе интересно развиваться в каких-то направлениях, откликайся на вакансию. У нас найдутся темы для разговора. Мы ценим хорошее знание английского и твой интерес к новостям из мира IT. Мы любим обсудить на собесе, что интересного ты прочитал за последнее время, и что тебя вдохновляет на работу. В сухом остатке:  Typescript Node JS React Docker  Будет плюсом опыт: DevOps Kubernetes Eventsourcing Что тебя ждёт: Когда ты придёшь в нашу компанию, у тебя появится наставник. Ты задашь ему все вопросы, которые у тебя возникнут, он погрузит тебя в проект. Ты будешь заниматься поддержкой, развитием и интеграцией продукта. Работать в распределенной команде и взаимодействовать с коллегами в Омске. Если захочешь, организуем для тебя релокацию. Мы знаем, что работать за идею никто не хочет. Поэтому довольно гибкие в определении зарплаты. Жить на дошираках и офисной пицце тебе точно не придётся. Присоединяйся к команде, если хочешь решать задачи бизнеса, принимать новые вызовы и использовать только современные подходы разработки.  ";;Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя...;Тестирование кода. У себя мы используем jest. Функциональное программирование, pure functions, referential transparency, сайд-эффекты. React UI библиотеки: material-UI...;"Git; JavaScript; Python"
49;34016037;PHP-программист;Новосибирск;60000.0;90000.0;Бизнес Решения;2019-10-16T09:37:17+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Крупному порталу о недвижимости требуется PHP-программист на удаленку! Нам нужен самостоятельный профи с высоким уровнем ответственности и самоконтроля. Стек технологий:  php7 mysql redis mongoDB yii2 git symfony  Основные задачи:  разработка и поддержка функциональных частей проекта; разработка и покрытие тестами отдельных участков; профилирование и отладка сложных участков.  Для нас важно:  опыт разработки порталов; уверенные знания PHP7, MySQL; умение работать в команде и разбираться в чужом коде.  Условия:  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";"  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";Опыт разработки порталов. Уверенные знания PHP7, MySQL. Умение работать в команде и разбираться в чужом коде.;Разработка и поддержка функциональных частей проекта. Разработка и покрытие тестами отдельных участков. Профилирование и отладка сложных участков.;"MySQL; MongoDB; Git; Yii; Redis; PHP"
42;34102591;Разработчик ПЛИС;Челябинск;60000.0;90000.0;Планар;2019-10-18T16:34:58+0300;От 3 до 6 лет;Полный день;Полная занятость;В отдел по разработке оборудования для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения (и других перспективных тем) требуется разработчик ПЛИС. Должностные обязанности:  Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.  Требуемые навыки:  Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. Умение работать в команде.  Вашим преимуществом будет:  Опыт работы с ПЛИС Xilinx. Умение читать электрические схемы. Знание технического английского для чтения документации. Опыт использования ядер для: TCP/IP, цифровой фильтрации сигналов. Умение работать с системой контроля версий Git.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. ;Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.;"ПЛИС; FPGA; Verilog; VHDL; DSP; ЦСП; Xilinx"
44;34102164;Инженер-программист встроенных систем;Челябинск;60000.0;90000.0;Планар;2019-10-18T16:20:41+0300;От 3 до 6 лет;Полный день;Полная занятость;В отдел по разработке приборов для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения требуются программисты C/C++ для создания ПО встроенных (embedded) систем (на базе контроллеров семейства ARM, Cortex-XX). Должностные обязанности:  Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application frontend) для встроенных систем.  Требования к соискателям:  Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем.  Будет преимуществом:  Владение современными приемами программирования: объектно-ориентированное, функциональное программирование. Опыт разработки многопоточных приложений (под управлением OS, RTOS). Понимание работы аппаратных прерываний и стандартной периферии микроконтроллеров. Знание технического английского. Опыт работы с системой контроля версий Git. Опыт работы в команде по методологии Scrum. Знания в области цифровой обработки сигналов.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем. ;Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application...;"Git; C/C++; ARM; IAR; RTOS; Embedded; микроконтроллер; Cortex"
65;33876500;PHP-разработчик (Laravel);Новосибирск;70000.0;90000.0;Сайтсофт;2019-10-17T11:44:23+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Компания «Сайтсофт» — один из признанных лидеров рынка в области разработки IT-решений для государственных организаций. Компания основана в 2005 году в Екатеринбурге. Наши основные направления деятельности: создание и поддержка интернет-проектов государственных организаций и крупного бизнеса, разработка мобильных приложений, продвижение в социальных сетях. Коллектив компании состоит из более 150 высококвалифицированных специалистов, работающих в офисах Москвы и Екатеринбурга. С чем работать?  Высоконагруженные порталы (более 1 млн посетителей в сутки); информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы); системы документооборота и медиахранилищ; бэкенды для мобильных приложений; интеграция и поддержка сторонних решений.    Наш стек технологий:  PHP 7+, JavaScript(+ES6), Golang; Elasticsearch/ELK, MySQL, PostgreSQL, Cassandra; CI/CD, Selenium; RabbitMQ, Redis и пр.  Frontend-разработка у нас живет отдельно. Используются:  ES6, VueJS, webpack / grunt / gulp LESS / SASS / Stylus  Требования:  опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony; чистый читабельный код; понимание основ оптимизации кода на высоконагруженных проектах; умение читать документацию и разбираться в новых технологиях.  Желательно:  опыт работы командной разработки; плотное знакомство с фронтендом: JS, VueJS.  Со своей стороны предлагаем:  современный офис на Коммунистической, 40; гибкий рабочий график с началом работы с 8:00 до 12:00; полностью белая заработная плата. Уровень окладной части обсуждается индивидуально в зависимости от профессиональных компетенций; ежегодная солидная премия по итогам работы; ежегодный пересмотр заработной платы по результатам работы; возможности для профессионального и карьерного развития; качественное планирование вашей работы. Вы будете знать, чем вы будете заниматься через день, неделю, месяц; работа над востребованными продуктами, которыми пользуются миллионы граждан нашей страны.  Среди наших проектов:   Интернет-портал МВД России   Интернет-портал МЧС России   ФССП России   и множество других   Мы НЕ занимаемся разработкой простых коммерческих сайтов, визиток и т.д. Для нас разработка - это множество интеграционных решений, использование современных технологий, высоконагруженные проекты и сложные задачи. Мы понимаем ценность качественного кода и используемых решений и применяем весь спектр технологий для достижения поставленных целей. Мы поощряем инициативность, ответственность, желание развиваться и совершенствоваться. Мы также высоко ценим позитивное мышление и доброжелательность. Наш основной потенциал - это наши сотрудники. Работа в нашей жизни занимает значительное количество времени и мы делаем все для того, чтобы каждый сотрудник чувствовал себя комфортно. Минимум бюрократии - максимум человеческого отношения. Присоединяйтесь!";;Опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony. Чистый читабельный код. Понимание основ оптимизации кода на высоконагруженных...;Высоконагруженные порталы (более 1 млн посетителей в сутки). Информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы). ;"laravel; php7; Redis; PHP"
23;33801783;Старший программист (сопровождение АБС);Казань;70000.0;90000.0;ТАТСОЦБАНК;2019-10-17T10:47:29+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требуемый опыт работы: 1-3 года Полная занятость, полный день Обязанности  Сопровождение / администрирование отдельных модулей АБС; Развитие АБС:   Создание / модификация шаблонов, скриптов и отчетов; Создание / модификация хранимых процедур; Задачи взаимодействия со смежными системами.   Взаимодействие с техподдержкой разработчика.  Профессиональные навыки  Опыт работы с: T-SQL (процедуры, представления), VBScript, VBA (Excel, Word); Опыт программной работы с XML; Знание основ оптимизации реляционных БД; Знание основ бухгалтерского учета в банке.  Требования  Опыт работы программистом не менее 2 лет.  Условия  Место работы: Головной офис, г.Казань, ул.Чернышевского; Оформление: В соответствии с ТК РФ; Режим работы: Пятидневная рабочая неделя с 8.30 до 17.30; Дресс-код: Casual Оплата: Оклад + стабильная ежемесячная премия Льготы: Кредитные и розничные условия для сотрудников; Развитие: Тренинги, киноклуб, курсы профессионального обучения; Корпоративы: Спортивные, командообразующие, праздничные. ";;Опыт программной работы с XML. Знание основ оптимизации реляционных БД. Знание основ бухгалтерского учета в банке. Опыт работы <highlighttext>программистом</highlighttext> не...;...АБС: Создание / модификация шаблонов, скриптов и отчетов. Создание / модификация хранимых процедур. Задачи взаимодействия со смежными системами. Взаимодействие с техподдержкой <highlighttext>разработчика</highlighttext>.;"XML; SQL; VBA; VBScript; MS SQL"
