;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;1С программирование;1С: Предприятие 8;1С: Зарплата и управление персоналом;1С: Бухгалтерия;1С: Управление Производственным Предприятием;1С: Управление Торговлей;1С: Документооборот;1C: Бухгалтерия;Обновление конфигурации 1С;MS SQL;Другие навыки
0;5;34028424;Программист 1С;Москва;5;6;Finex International, Inc.;0.0;Крупной российской торгово-производственной компании требуется ОПЫТНЫЙ ПРОГРАММИСТ 1С. Обязанности Второй программист 1С в отдел IT. В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые ЗиУП и БП и доработка правил обмена между ними (КД). Для УПП потребуется связь с внешними системами - интернет-телефония, gmail, сервисы SMS рассылок, сайт компании, трекер задач, плюс всё тому подобное, что пока не придумали, но непременно понадобится. Администрирование пользователей и прямое взаимодействие с ними (понимать, чего они хотят и разъяснять им результат своей работы в части, их касающейся). Требования Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм. Успешное прохождение тестирования. Условия Работа в крупной торгово-производственной компании. Оклад по результатам собеседования + премиальные. Обсуждается индивидуально на собеседовании. Красивый, современный офис в центре Москвы в 3-х минутах от метро Сретенский бульвар, Тургеневская, Чистые пруды.;;Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм.;В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые...;"1С программирование;1С: Торговля и склад;1С: Зарплата и управление персоналом;1С: Управление Производственным Предприятием;1С: Управление Торговлей;Обновление конфигурации 1С";0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1
1;30;33370427;Программист 1 С (Ведущий программист 1 С);Санкт-Петербург;2;5;ВендингПро;0.03333333333333333;"В нашей Компании:  Демократичная атмосфера без дресс-кода; Лояльный непосредственный руководитель со здоровым чувством юмора; Интересные проекты и возможность обучения за счет Компании; Реалистичные сроки выполнения задач; График работы 5/2; Официальное трудоустройство по ТК РФ; Стабильная выплата заработной платы; Корпоративные социальные гарантии и выплаты; Возможность пить много вкусного зернового кофе.  Время работы и уровень дохода обсуждается по итогам собеседования с успешным кандидатом. Зоны ответственности:  Разработки по ТЗ и сопровождение самописной конфигурации (разработка нового функционала на управляемых формах, доработка модулей, отчетов, разработка новых печатных форм и обработок, разработка принципиально нового функционала); Настройка и поддержка программных продуктов семейства 1С (1С: Торговля, 1С: Бухгалтерия, 1С: ЗУП, CRM, 1С: Мобильное приложение (для работы «полевых» сотрудников); Настройка прав пользователей, интерфейсов, консультационная поддержка внутренних пользователей; Настройка электронных устройств (КПК, планшеты и пр.) для дистанционной работы сотрудников.  Цели и ожидаемый результат работы:  Детально разбираться бизнес-процессах Компании; Уметь читать и редактировать чужие программные коды; Грамотно оценивать и проектировать выполнение ТЗ от внутренних клиентов; Выполнять взятые на себя обязательства в срок; Связывать внешние ресурсы и 1С.  Мы ждем от кандидата:  Уверенного знания платформы 8.3; Знакомства с конфигурацией УТ 10.2, а также понимания её недостатков; Знания механизма построения отчетов с использованием СКД; Уверенного навыка оптимизации запросов и чтения чужих кодов; Опыта разработки управляемых форм от 1 года; Опыта разработки под толстый и тонкий клиент; Опыта разработки через хранилище конфигураций; Деловых качеств: системность мышления, высокая скорость работы и многозадачность, нацеленность на результат, внимательность, творческий подход к решению задач, любовь к своей профессии и постоянное самосовершенствование, адаптивность.  Вашим преимуществом может стать:  Опыт оценки трудоемкости задач по программированию (чел/час) и ведению проектов; Опыт построения прямых запросов к MS SQL; Второе высшее образование или профессиональная переподготовка по специальности Экономика, Бухгалтерский учет и аудит; Опыт глубокого погружения в бизнес-процессы компании и построения схем бизнес-процессов (частичное выполнение функций бизнес-аналитика); Опыт внедрения CRM-систем и телеметрии; Опыт решения интеграционных задач через http-сервисы, web-сервисы; Опыт WEB-разработок HTML+CSS+JavaScript (Vue.Js). ";;Детально разбираться бизнес-процессах Компании. Уметь читать и редактировать чужие программные коды. Грамотно оценивать и проектировать выполнение ТЗ от внутренних...;Разработки по ТЗ и сопровождение самописной конфигурации (разработка нового функционала на управляемых формах, доработка модулей, отчетов, разработка новых печатных форм...;"JavaScript;1С: Управление Торговлей;CSS;1С: Бухгалтерия;HTML;CRM;MS SQL;Обновление конфигурации 1С;1С программирование;Системное мышление;Многозадачность;http-сервисы;web-сервисы;Телеметрия;СКД;Программные продукты семейства 1С";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1
2;87;33712374;Программист / Ведущий программист 1С;Челябинск;2;5;1C-Рарус;0.06666666666666667;"Филиал «1С-Рарус» в Челябинске - официальный партнер фирмы «1С» с 2002 года. Наша компания является лидером на рынке IТ и консалтинга по платформе “1С” и занимает первые места в рейтинге франчайзи. Мы занимаемся внедрением систем 1С на крупных предприятиях региона и страны. Мы проводим анализ и автоматизацию бизнес-процессов на предприятии и помогаем Заказчику достичь необходимых бизнес-результатов. Ищем / готовим специалистов на крупные проекты по внедрению 1С:ERP.  Обязанности:   Техническая реализация проектных задач   Адаптация программных продуктов под проектные задачи   Разработка новых конфигураций   Интеграция с системами заказчика   Формализация технического решения в соответствии с общей архитектурой проекта   Тестирование разработанных или адаптированных объектов конфигурации     Требования:   Рассматриваем специалистов с разной квалификацией и опытом (соответственно и с предложением разного уровня оплаты труда)   Приветствуется опыт программирования на платформе 8.3 от 6 месяцев   Приветствуется наличие сертификатов “1С: Специалист” по технологической платформе     Условия:   Официальное трудоустройство в соответствии с ТК РФ   Конкурентный уровень заработной платы, окончательно оговаривается по итогам собеседования. Окладно-премиальная система оплаты труда (не сделка). Выплаты проводятся всегда своевременно, 2 раза в месяц.   Реализация проектов с компаниями из ТОП РБК 500 и лидерами в своих отраслях;   Интересные и развивающие задачи. Профессиональный рост гарантирован;   Возможности для развития в федеральной компании. Реальные перспективы роста до эксперта по разработке, системного архитектора, технического руководителя проектов;   Наставничество от коллег с уникальным опытом;   Обучение и сертификация за счет компании;   Возможны командировки до 20% рабочего времени (по договоренности)     * Вакансия остается актуальной, пока размещена на сайте";"   Официальное трудоустройство в соответствии с ТК РФ   Конкурентный уровень заработной платы, окончательно оговаривается по итогам собеседования. Окладно-премиальная система оплаты труда (не сделка). Выплаты проводятся всегда своевременно, 2 раза в месяц.   Реализация проектов с компаниями из ТОП РБК 500 и лидерами в своих отраслях;   Интересные и развивающие задачи. Профессиональный рост гарантирован;   Возможности для развития в федеральной компании. Реальные перспективы роста до эксперта по разработке, системного архитектора, технического руководителя проектов;   Наставничество от коллег с уникальным опытом;   Обучение и сертификация за счет компании;   Возможны командировки до 20% рабочего времени (по договоренности)     * Вакансия остается актуальной, пока размещена на сайте";Рассматриваем специалистов с разной квалификацией и опытом (соответственно и с предложением разного уровня оплаты труда). Приветствуется опыт программирования на платформе...;Техническая реализация проектных задач. Адаптация программных продуктов под проектные задачи. Разработка новых конфигураций. Интеграция с системами заказчика. Формализация технического решения...;"1С программирование;Обновление конфигурации 1С;1С: Предприятие 8;1С: Бухгалтерия;1С: Зарплата и управление персоналом;1С: Торговля;1С: Управление Производственным Предприятием;1С: Документооборот;1С: Розница;1С: Склад;ERP-системы на базе 1С";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1
3;16;34016645;Ведущий программист 1C;Санкт-Петербург;5;5;Невская Палитра;0.0;"Обязанности:  Разработка новых модулей на платформе 1С : УТ 10.3, Бухгалтерия 3.0 Разработка/доработка функционала и поддержка конфигураций 1С под бизнес-процессы компании. Выполнение задач по интеграции с другими информационными системами компании. Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении программист 1С) Участие в проектной деятельности , в части автоматизации бизнес-процессов компании  Требования:  Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование Опыт разработки на платформе 1С (УПП, УТ: 10.3, 1С Зарплата и управление персоналом 2.5./3.0) Понимание основ бухгалтерского и операционного учета компании Приветствуется опыт работы с обменами в форматах:COM– соединение,XML ,JSON. Знание ERP  Условия:  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";"  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование. Опыт разработки на платформе 1С (УПП...;Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении программист 1С). Участие в проектной деятельности...;"1С: Управление Производственным Предприятием;1С: Бухгалтерия;1С: Управление Торговлей;1С программирование;1С: Зарплата и управление персоналом";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0
4;79;33772552;Программист 1С: ERP;Санкт-Петербург;5;5;КРЕЙТ;0.0;"Обязанности:  Разработка и проектирование системы автоматизации предприятия на базе 1С: ERP Управление предприятием 2.4; Доработка конфигурации 1С по ТЗ; Обучение персонала работе в 1С.  Требования:  Хорошие знания конфигурации 1С ERP 2.4; Опыт работы в должности программиста 1С ERP Управление предприятием 2.4; Приветствуется наличие сертификатов 1С; Общие познания предметной области (бухгалтерский и управленческий учет); Опыт проектирования и разработки конфигураций на платформе 1С с нуля; Коммуникабельность и ответственность.  Условия:  Работа в тихом офисе совместно с командой программистов, предоставляется компьютер и др.; Оформление по трудовой книжке‚ все взаимоотношения в соответствии с Трудовым Кодексом РФ; Полная оплата отпусков и больничных листов, вся зарплата Белая; График работы: с 9:00 до 18:00‚ пятидневка. ";"  Работа в тихом офисе совместно с командой программистов, предоставляется компьютер и др.; Оформление по трудовой книжке‚ все взаимоотношения в соответствии с Трудовым Кодексом РФ; Полная оплата отпусков и больничных листов, вся зарплата Белая; График работы: с 9:00 до 18:00‚ пятидневка. ";Хорошие знания конфигурации 1С ERP 2.4. Опыт работы в должности программиста 1С ERP Управление предприятием 2.4. ;Разработка и проектирование системы автоматизации предприятия на базе 1С: ERP Управление предприятием 2.4. Доработка конфигурации 1С по...;"Хорошее знание 1С : ERP;1С: Управление Производственным Предприятием;1С: Документооборот;1C: Бухгалтерия;1С: Производство;1С: Предприятие 8;1С программирование";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1
5;45;34057268;Руководитель группы разработчиков 1С;Новосибирск;5;5;Кадры-54;0.06666666666666667;Требуется Руководитель группы разработчиков (1С) На постоянную работу у крупного Новосибирского производителя. Цель проекта - оптимизировать текущую ИТ структуру, с учетом потребностей предприятий Этапы проекта (рабочая версия, детали обсуждают):  Аудит текущей ИТ структуры, аудит ИТ бизнес-процессов. Выработка предложения по оптимальной и приемлемой структуре Оценка ресурсов (сроки, бюджет, персонал) Формирование ТЗ и требований Внедрение решение (управление командой разработчиков, организация переноса данных, тестирования, обучение пользователей и пр)  Требования:  Опыт работы Руководителем группы разработчиков, Ведущим программистом , Тим-лидом Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1С Опыт разработки решений на платформе 1С 8.2/8.3 Знание конфигураций 1С:УПП, 1С:ERP (желательно) Знание прикладных областей (производство, торговая деятельность, складской учет, логистика) Навыки оценки задач на автоматизацию на предмет влияния на существующие бизнес-процессы  Условия:  Позиция топ-менеджера в компании Высокая заработная плата (есть премии и бонусы) Профессиональная команда ИТ отдела и менеджеров Интересные масштабные проекты Работа на стабильного крупного производителя График работы 5/2 с 8.00 до 17.00, соц. пакет полный Уютная рабочая атмосфера (кафе, дружные кооперативы и пр) ;  Позиция топ-менеджера в компании Высокая заработная плата (есть премии и бонусы) Профессиональная команда ИТ отдела и менеджеров Интересные масштабные проекты Работа на стабильного крупного производителя График работы 5/2 с 8.00 до 17.00, соц. пакет полный Уютная рабочая атмосфера (кафе, дружные кооперативы и пр) ;Опыт работы Руководителем группы разработчиков, Ведущим программистом , Тим-лидом. Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1...;Оценка ресурсов (сроки, бюджет, персонал). Формирование ТЗ и требований. Внедрение решение (управление командой разработчиков, организация переноса данных, тестирования, обучение пользователей...;"Управление проектами;1С: Управление Производственным Предприятием;1С: Предприятие 8;1С: Производство;1С: Зарплата и управление персоналом;ERP-системы на базе 1С;руководство командой разработчиков;1С программирование;Ведение переговоров;1С: Управление предприятием;Оптимизация бизнес-процессов";0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1
6;89;33808637;1С Bitrix developer;Челябинск;5;5;BR Lab;0.1;"Задачи:  разработка сайтов и веб-приложений, преимущественно на базе Битрикс, но не только; разработка модулей Битрикс; верстка HTML/CSS и разработка сопутствующего JavaScript;применение компонентного подхода и единообразия верстки.  Что мы от тебя ждем:  от 2-х лет опыта работы с Bitrix; нацеленность на результат; знание SQL и/или NoSQL; знание любых технологий, помимо указанных; базовое знание фреймворка PHP (Symfony как огромное преимущество)  здоровое чувство юмора - это мы любим =)   Мы предлагаем:   для жителей других регионов - релокационный пакет;   грамотную постановку задач и адекватное руководство;   корпоративное обучение, компенсация курсов / тренингов;   возможность реализации собственных идей;   современное оборудование;   компенсация обедов;   для желающих - практика английского языка;   спорт зал за счет компании =); И на десерт:   возможность получения профессионального опыта в штатах;   гибкое начало рабочего дня;   вкусняшки в офисе, свежие фрукты;   корпоративный отдых =)  ";"   для жителей других регионов - релокационный пакет;   грамотную постановку задач и адекватное руководство;   корпоративное обучение, компенсация курсов / тренингов;   возможность реализации собственных идей;   современное оборудование;   компенсация обедов;   для желающих - практика английского языка;   спорт зал за счет компании =); И на десерт:   возможность получения профессионального опыта в штатах;   гибкое начало рабочего дня;   вкусняшки в офисе, свежие фрукты;   корпоративный отдых =)  ";От 2-х лет опыта работы с Bitrix. Нацеленность на результат. Знание SQL и/или NoSQL. Знание любых технологий, помимо...;Разработка сайтов и веб-приложений, преимущественно на базе Битрикс, но не только. Разработка модулей Битрикс. Верстка HTML/CSS и разработка...;"1С программирование;1С: Предприятие 8;1С: Зарплата и управление персоналом;1С: Бухгалтерия;1С: Управление Производственным Предприятием";0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
7;60;34264326;Программист 1С;Санкт-Петербург;5;5;Интерлизинг;0.03333333333333333;"ГК Интерлизинг ищет Программиста 1С в связи с расширением штата. Требования:  Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен; Желательно знание типовых конфигураций, «Управление Холдингом», Бухгалтерия Предприятия (3.0), «СРМ», «Зарплата и Управление персоналом 3.1»; Знание основ бухгалтерского, управленческого учета, расчета заработной платы; Опыт работы в компаниях с разветвленной филиальной структурой в своей зоне ответственности; Знание механизмов интеграции 1С:Предприятия с другими информационными системами (web-сервисы, com-соединения) Знание СКД, БСП2.1 и БСП 3.0; Написание кода в соответствии с «Системой стандартов и методик разработки конфигураций для платформы 1С:Предприятие 8»; Умение работать в команде используя хранилища конфигураций; Опыт работы с расширениями в разных режимах совместимости.  Задачи:  Участие в проектах по внедрению программных средств 1С; Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ:  обновление конфигураций «типовых» и «нетиповых»; настройка прав пользователей; обучение пользователей; написание пользовательской документации; консультирование пользователей.   Кодирование по ТЗ на платформе 1С 8.3; Администрирование и программное сопровождение конфигураций 1С: «Управление Холдингом», СРМ.  Условия:  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";"  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен. Желательно знание типовых конфигураций...;Участие в проектах по внедрению программных средств 1С. Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ: Обновление...;"1С программирование;1С: Предприятие 8;1С: Зарплата и управление персоналом;1С: Бухгалтерия;1С: Управление Производственным Предприятием";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
8;57;33834542;Программист 1С;Санкт-Петербург;4;5;Кистоун Лоджистикс;0.03333333333333333;"Мы ждем в свою команду опытного Программиста-консультанта 1С Ваши ключевые компетенции:  У вас не менее трех лет опыта разработки, внедрения и сопровождения типовых конфигураций на платформе 1С8; Вы знаете одну из конфигураций: БП, ЗУП, ERP; Владеете экономической и бухгалтерской терминологией. Знаете базовые принципы начисления заработной платы. Разбираетесь в администрировании и настройке 1С; Вам интересно участвовать в полном цикле разработки; Вы умеете разбираться в чужом коде и не боитесь самостоятельно работать.Что вам предстоит:   Автоматизация задач бизнеса; Разработка, тестирование и внедрение решений на платформе 1С 8.3; Консультационная поддержка пользователей; Интеграция 1С с другими системами.Что мы можем предложить:   Решение интересных задач средствами 1С. Возможность применения других технологий; Профессиональное и карьерное развитие; Отличный коллектив; Гарантированную оплату, прозрачную систему выплат;   Официальное оформление; Заработная плата до 150 000 рублей; Место работы: бизнес центр класса А на территории бизнес парка Полюстрово (бесплатная развозка от ст. метро пл.Ленина) ";;У вас не менее трех лет опыта разработки, внедрения и сопровождения типовых конфигураций на платформе 1С8. ;Автоматизация задач бизнеса. Разработка, тестирование и внедрение решений на платформе 1С 8.3. Консультационная поддержка пользователей. Интеграция 1С...;"1С программирование;1С: Зарплата и управление персоналом;SQL;XML;MS SQL";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1
9;1;33814598;Программист 1 С;Москва;5;4;Энергосистемы и Технологии;0.03333333333333333;"Компания - импортер и дистрибьютор светотехнической и электротехнической продукции, на рынке 28 лет. ВНИМАНИЕ!! Рассматриваем сотрудника только в штат (не удаленно)! Обязанности:  Программирование в среде 1С:8; Администрирование баз данных; Постановка задач; Разработка конфигураций  Требования:  Опыт работы с нетиповыми конфигурациями; Типовые конфигурации 1С-Документооборот КОРП, 1С:Бухгалтерия и 1С:Зарплата и управление персоналом, TopLog WMS.; Программирование в среде 1С:8, web-сервисы, знание языка Transact-SQL (опционально); Постановка задач, постановка ТЗ (технического задания).  Условия:  Оформление по ТК РФ, соблюдение всех норм трудового законодательства График работы 5/2 - обсуждается индивидуально. ";  Оформление по ТК РФ, соблюдение всех норм трудового законодательства График работы 5/2 - обсуждается индивидуально. ;Опыт работы с нетиповыми конфигурациями. Типовые конфигурации 1С-Документооборот КОРП, 1С:Бухгалтерия и 1С:Зарплата и управление...;Программирование в среде 1С:8. Администрирование баз данных. Постановка задач. Разработка конфигураций.;"1С программирование;1С: Предприятие 8;1С: Зарплата и управление персоналом;1С: Бухгалтерия;1С: Управление Производственным Предприятием";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
