;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;PHP;MySQL;ООП;JavaScript;Git;SQL;PostgreSQL;Java;Yii;Ajax;Другие навыки
0;3;33814562;PHP-программист (Backend);Самара;3;5;Wowworks;0.03333333333333333;"Wowworks - online сервис по поиску частных специалистов для обслуживания розничной сети, распределенных офисов и удаленных точек. Наши специалисты работают в области обслуживании компьютеров, электрики, кондиционеров, ремонта помещений. Мы помогаем нашим клиентам экономить до 40% затрат на содержание торговых точек и офисов. Наши клиенты - розничные сети, аптеки, магазины одежды, розничные сети сотовых операторов, банков (Аптеки Ригла, Связной, Адидас, Fix Price, Золотой, Снежная Королева и другие). Мы приглашаем присоединиться к команде разработки опытного и амбициозного PHP-разработчика, чтобы делать этот мир лучше. Все это возможно благодаря веб приложению, к работе над улучшением которого мы и приглашаем вас присоединиться. Мы готовы посвятить время обучению кандидата, понимая, что в дальнейшем он станет полноценным участником нашей команды.   Вам будет нужно:  разрабатывать новый функционал под новые бизнес задачи; проводить рефакторинг уже существующего кода.    Что вы должны знать и уметь:  отлично знать PHP (PHP7.2); владеть ООП и использовать паттерны программирования (проект большой, код нужно организовывать гибко и красиво); иметь опыт работы с фреймворком Yii2 (или любым другим MVC фреймворком); понимать REST и в идеале иметь опыт его проектирования и реализации; уверенно владеть SQL (Мы используем PostgreSQL + PostGIS, но для старта будет достаточно и опыта работы с MySQL); решать сложные архитектурные/функциональные задачи; уверенно понимать процессы Git; знать английский язык настолько, чтобы читать спецлитературу и документацию.  Мы предлагаем:  достойная зарплата; официальное оформление по ТК РФ; график работы 5/2 с 10:00 до 19:00; оплачиваемый отпуск; современный удобный офис в Постниковом овраге, недалеко от ст.м. Российской; в офисе всегда корпоративный чай/кофе.  Бонусы:  дружный и профессиональный коллектив. Действительно дружный – у нас нет «офисной пищевой цепочки»; интересные рабочие задачи, возможность развиваться и применять современные интересные технологии; корпоративные мероприятия; рабочее место в удобном офисе с видом на волгу; игровая комната с PS3 и PS4, настольным теннисом, виниловым проигрывателем и креслами-мешками.   ";"  достойная зарплата; официальное оформление по ТК РФ; график работы 5/2 с 10:00 до 19:00; оплачиваемый отпуск; современный удобный офис в Постниковом овраге, недалеко от ст.м. Российской; в офисе всегда корпоративный чай/кофе.  Бонусы:  дружный и профессиональный коллектив. Действительно дружный – у нас нет «офисной пищевой цепочки»; интересные рабочие задачи, возможность развиваться и применять современные интересные технологии; корпоративные мероприятия; рабочее место в удобном офисе с видом на волгу; игровая комната с PS3 и PS4, настольным теннисом, виниловым проигрывателем и креслами-мешками.   ";Отлично знать PHP (PHP7.2). Владеть ООП и использовать паттерны программирования (проект большой, код нужно организовывать гибко и красиво). ;Разрабатывать новый функционал под новые бизнес задачи. Проводить рефакторинг уже существующего кода.;"PHP;Yii";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
1;58;32709851;Java-программист (back-end);Самара;3;3;Отраслевой центр разработок и внедрения информационных систем / ОЦРВ;0.9666666666666667;"Обязанности:  Участие в разработке единой геоинформационной платформы ОАО РЖД; Развитие фронтовой части разработки Геопортала; Редизайн, рефакторинг, написание нового функционала; Взаимодействие с командой бекэнда; Участие в принятии технических решений.  Требования:  Знание Java Core (коллекции, рефлексия, исключения); Знание принципов ООП и умение применять их на практике; Знание SQL; Знание XML, JSON; Понимание REST/SOAP; Опыт работы с системой контроля версий Git; Опыт работы с системой отслеживания задач Jira; Умение самостоятельно разбираться в новых технологиях; Знание JavaScript (будет преимуществом).  Условия:  Оформление по ТК РФ, белая стабильная заработная плата 85-115 000 gross (в зависимости от компетенции) + премии Оплачиваемый отпуск Медицинская страховка Дружный коллектив профессионалов. ";  Оформление по ТК РФ, белая стабильная заработная плата 85-115 000 gross (в зависимости от компетенции) + премии Оплачиваемый отпуск Медицинская страховка Дружный коллектив профессионалов. ;Знание Java Core (коллекции, рефлексия, исключения). Знание принципов ООП и умение применять их на практике. Знание SQL. Знание XML, JSON. ;Участие в разработке единой геоинформационной платформы ОАО РЖД. Развитие фронтовой части разработки Геопортала. Редизайн, рефакторинг, написание нового функционала. ;"SQL;XML;JSON;ООП;Java Core;Git;Jira;JavaScript;REST;SOAP";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1
2;19;33854395;Backend-программист;Санкт-Петербург;1;3;CDS Company;0.0;"CDS Company - студия веб-разработок. Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Программирование сайтов с 0 на Битриксе через обучение;- Разработка CRM систем на базе bitrix;- Разработка модулей и классов на PHP7;- Работа с Laravel + PostgreSQL (OctoberCMS) через обучение;- Обслуживание сайтов на Битриксе, WP и других CMS; Требования: - Базовые знания web-разработки;- Умение программировать на PHP (жестко и много, только хард-код);- Опыт работы с большими проектами;- Знание ООП;- Знание JavaScript, JQuery;- Опыт работы на Битриксе приветствуется. Но если не знаете, то научим.- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому;- Знание PHP7, MySQL, PostgreSQL Условия: - Работа в офисе в будни;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после испытательного срока;- Чай и печеньки за наш счет;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после испытательного срока;- Чай и печеньки за наш счет;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Умение программировать на PHP (жестко и много, только хард-код). - Опыт работы с большими проектами. - ;Программирование сайтов с 0 на Битриксе через обучение. - Разработка CRM систем на базе bitrix. - Разработка модулей и классов на PHP...;"ООП;MySQL;Ajax;JavaScript;jQuery;PHP5;PHP;PostgreSQL;Веб-программирование;HTML;HTML5";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1
3;3;34086243;Backend-программист;Тюмень;1;3;CDS Company;0.03333333333333333;"CDS Company - студия веб-разработок.Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Программирование сайтов с 0 на Битриксе через обучение;- Разработка CRM систем на базе bitrix;- Разработка модулей и классов на PHP7;- Работа с Laravel + PostgreSQL (OctoberCMS) через обучение;- Обслуживание сайтов на Битриксе, WP и других CMS; Требования: - Базовые знания web-разработки;- Умение программировать на PHP (жестко и много, только хард-код);- Опыт работы с большими проектами;- Знание ООП;- Знание JavaScript, JQuery;- Опыт работы на Битриксе приветствуется. Но если не знаете, то научим.- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому;- Знание PHP7, MySQL, PostgreSQL Условия: - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Умение программировать на PHP (жестко и много, только хард-код). - Опыт работы с большими проектами. - ;Программирование сайтов с 0 на Битриксе через обучение. - Разработка CRM систем на базе bitrix. - Разработка модулей и классов на PHP...;"PHP;jQuery;CSS3;1С-Битрикс;CSS;ООП;MySQL;CMS Wordpress;HTML;HTML5;JavaScript;Ajax";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1
4;54;33534568;Backend Developer;Тюмень;1;2;Ключевой фактор;0.06666666666666667;Junior Backend Developer / Веб-разработчик (Backend) Чем предстоит заниматься:  Разрабатывать backend часть для веб и мобильных приложений Поддерживать серверную часть существующих приложений Конструктивно взаимодействовать в команде  Ты нам подходишь, если:  Знаешь хотя-бы один из серверных языков (NodeJS, Python, Go) Умеешь писать простой и понятный код, следуя принятой методологии Понимаешь принципы ООП Умеешь разбираться в чужом коде Знаком с системами контроля версий  Будет круто, если:  Имеешь какой-то опыт разработки backend систем Работал с API внешних сервисов  Условия:  Работа в скрам-команде Гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;  Работа в скрам-команде Гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;Имеешь какой-то опыт разработки backend систем. Работал с API внешних сервисов.;Разрабатывать backend часть для веб и мобильных приложений. Поддерживать серверную часть существующих приложений. Конструктивно взаимодействовать в команде.;"Node.js;Python;PHP;Ruby;Java;C#;Django Framework;C++;MS SQL Server;SQL;Управление проектами;ООП;Ruby On Rails";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1
5;26;34275949;Стажер-программист (Битрикс, PHP, Backend);Ростов-на-Дону;1;1;x5studio;0.0;"Оплачиваемая стажировка. Хотите освоить перспективную специальность Программист Битрикс? Хотите научиться создавать сайты, порталы и интернет-магазины? Ищете место, где сможете прокачать свои навыки и поработать в интересных проектах? Приглашаем выпускников и студентов последних курсов по специальности программирование. Приходите в нашу дружную команду в Ростове-на-Дону, в штат(удаленное сотрудничество на эту вакансию не рассматривается) Вы получите возможность быстрого обучения под руководством опытного наставника, интересные проекты и достойную оплату. ООО X5 Studio- На рынке IT-услуг с 2009 года. Занимается разработкой, поддержкой сайтов и интернет-магазинов на Битрикс. С 2011 года сертифицированный золотой партнер 1С-Битрикс.   Чем будете заниматься?  Разработка и техподдержка сайтов/интернет-магазинов различной сложности на CMS Битрикс.    Требования:  PHP (начальный или средний уровень) Опыт разработки веб-сайтов приветствуется;    Условия:  Оплачиваемая стажировка; Офис в центре; Опытный, дружный коллектив; Возможность профессионального и карьерного роста; Оклад (по результатам собеседования) + премия; Оформление по ТК; ";"  Оплачиваемая стажировка; Офис в центре; Опытный, дружный коллектив; Возможность профессионального и карьерного роста; Оклад (по результатам собеседования) + премия; Оформление по ТК; ";PHP (начальный или средний уровень). Опыт разработки веб-сайтов приветствуется.;Разработка и техподдержка сайтов/интернет-магазинов различной сложности на CMS Битрикс.;PHP;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
6;43;33900682;PHP-программист / Back-end разработчик;Челябинск;2;0;Шаимов Марат Шагишарифович;0.7333333333333333;"Мы расширяем нашу команду разработчиков! Приглашаем в свою команду PHP-разработчика. Ищем специалиста, которому интересно работать над крупным облачным сервисом, развиваться и развивать свой уровень. Обязанности:  Разработка и поддержка крупного облачного проекта Выполнение больших и небольших заданий, ведение текущих проектов.  Требования:  Отличное знание PHP, MySQL, JS, Ajax, HTML, CSS; Опыт работы с фреймворками;  Знание теории программирования и опыт разработки высоконагруженных Internet-проектов. Умение использовать современные технологии AJAX, уметь и понимать и иметь желание разбираться с API интерфейсами.     График работы: полный рабочий день.   Условия работы программиста: Официальное трудоустройство, социальный пакет (праздники, оплата отпуска, больничного). Стабильная высокая заработная плата. Уютный офис, рядом команда сильных и опытных программистов (всегда можно спросить и посоветоваться, поднять свой уровень). Офис в центре города, чай, кофе, печеньки, пицца. Рабочий день с 9 до 18 часов (обед с 13 до 14) с понедельника по пятницу, все праздничные дни также отдыхаем. Карьерный и финансовый рост. Оплата от 40 000 и выше, в зависимости от вашей квалификации и опыта (ежегодная индексация заработной платы в зависимости от количества отработанных лет в нашей компании). Высококвалифицированным специалистам оплата определяется индивидуально.    ";;Отличное знание PHP, MySQL, JS, Ajax, HTML, CSS. Опыт работы с фреймворками. Знание теории программирования и опыт разработки высоконагруженных Internet...;Разработка и поддержка крупного облачного проекта. Выполнение больших и небольших заданий, ведение текущих проектов.;"Codeigniter;Modx;PHP;HTML;HTML5;MySQL;CMS Wordpress;CSS3;Java;JavaScript;Ajax;PHP5;Bootstrap;ООП;Laravel;Symfony";0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;1
7;47;30031050;Backend-разработчик;Тюмень;2;2;ГАУ ТО МФЦ;0.03333333333333333;"Требования:  Высшее образование в сфере информационных технологий; Опыт работы по специальности от 1 года; Знание одного из языков программирования: функциональные языки программирования, Java, Kotlin, C, C++, C#, Scala, Python; Навыки работы с базами данных. Знание SQL; Опыт работы с системами контроля версий (желательно Gitlab); Понимание принципов Agile, Scrum, TDD; Желание работать в команде и осваивать новые технологии.  Обязанности:  Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.  Условия:   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";"   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";Высшее образование в сфере информационных технологий. Опыт работы по специальности от 1 года. Знание одного из языков программирования: функциональные языки...;Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.;"Java;Linux";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
8;9;34113683;Backend-программист;Екатеринбург;2;0;Elgrow;0.0;Всем привет!  Случилось так, что нам снова нужны люди: умные, целеустремленные, любящие интернеты и не любящие Оdinass и прочие битриксы. Занимаемся мы, как бы это странно не звучало, в контексте данной вакансии, разработкой мобильных и веб-приложений. Проекты у нас большие, сложные, непонятные (меньше чем пол года не разрабатываем). Люди нам нужны умные, энергичные, целеустремленные и готовые всегда учиться и развиваться. Конкретно сейчас нам актуален backend-разработчик:   php 7 (Yii2, Laravel5-6 или желающий их оперативно освоить) NodeJS (Sales JS или см. выше)  Если ты интересуешься бэком, не подвержен истерии вокруг React-хайпа мы тебя ждем. Что нужно будет делать:  Писать бэк (как бы это удивительно ни было) для мобильных приложений и веб-сервисов REST API и все такое  Чего не нужно будет делать:  Верстать Немного подправлять JS, потому что тыжпрограммист и заниматься прочей непрофильной штукой  Минимальные требования:  Знание php ООП  Рекомендуемая конфигурация:  Yii2 Laravel 5-6 опыт в писании API для приложений на React  РАССМОТРИМ УДАЛЕНЩИКОВ;;Php 7 (Yii2, Laravel5-6 или желающий их оперативно освоить). NodeJS (Sales JS или см. выше). ;Чего не нужно будет делать: Верстать. Рекомендуемая конфигурация:;"MySQL;PHP5;Yii;PHP;JavaScript;Git;ООП;Node.js;MVC;REST";0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1
9;20;34022817;PHP-разработчик Backend;Казань;2;0;iQteco;0.0;Ищем в команду Backend разработчика с опытом разработки продуктов с использованием PHP, JavaScript (Ajax, jQuery). Мы дадим вам кусок продукта (без чужого кода), который дает ценность для клиента и имеет метрики. Вы будете полностью отвечать за этот кусок и вести его с нуля. Желательно иметь опыт работы в небольшой команде и удаленной разработки. Мы продуктовая компания: развиваем несколько собственных продуктов для России и США.  Вы будете работать над новым продуктом:   apps.shopify.com/answers-chat — продукт для рынка США. Чат для сайта на базе Facebook Messenger, в котором клиент интернет магазина может прочитать FAQ, проверить статус своего заказа и получить информацию от чат-бота.    Что мы даем  Оформление по ТК РФ Гибкий график работы ;;Ищем в команду Backend разработчика с опытом разработки продуктов с использованием PHP, JavaScript (Ajax, jQuery). Желательно иметь опыт работы в...;Вы будете работать над новым продуктом: Apps.shopify.com/answers-chat — продукт для рынка США. Чат для сайта на базе Facebook Messenger...;"PHP;MySQL;MongoDB";0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
