;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;JavaScript;SQL;C#;HTML;MySQL;ООП;Python;MS SQL;CSS;1С программирование;Другие навыки
0;58;33809410;Старший программист (gamedev);Санкт-Петербург;8;8;JoyCraft Games;0.03333333333333333;Компания JoyCraft Games ищет опытных программистов для разработки видеоигр мирового уровня. JoyCraft Games - это команда профессионалов, которые любят играть и создают настоящие хиты. Выпущенные нами продукты успели оценить миллионы игроков во всем мире. Наш стратегический партнер компания Creative Mobile с аудиторией более 500 млн. человек. Мы ищем разработчика, для работы на амбициозном проекте.   Требования к соискателю:  Опыт работы с Unity3D не менее года Хорошее знание C# и принципов ООП Уверенное знание основных алгоритмов и структур данных Опыт работы с системами контроля версий Английский язык (умение читать техническую документацию) Законченное высшее образование  Будет большим плюсом:  Участие в разработке уже изданной игры Хорошая математическая подготовка (линейная алгебра, аналитическая геометрия, матанализ, дискретная математика) Письменный/разговорный английский язык Знание C++, Java, Objective-C Опыт интеграции/написания игровых сервисов (реклама, аналитика и т.д.) Разговорный английский язык для участия в конференциях  Условия:  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;Опыт работы с Unity3D не менее года. Хорошее знание C# и принципов ООП. Уверенное знание основных алгоритмов и...;Участие в разработке уже изданной игры.;"JavaScript;SQL;C#;HTML;MySQL";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
1;27;33938813;Программист в Международную Экокомпанию;Санкт-Петербург;4;7;ФОРМАТ;0.03333333333333333;"Приглашаем программистов, инженеров - разработчиков и архитекторовНаукоемкие проекты, социальные программы и деятельность, связанная с предупреждением климатического коллапса. Полная и частичная занятость, возможность оформления в Российский или Зарубежный офисы.   Обязанности будут сформированы исходя из ваших навыков и областей ближайшего развития:  Настройка и Сопровождение систем CRM, PLM, ERP. Написание коннектеров API, интеграция 1С и др;  Разработка сайтов и мобильных приложений;   Работа с нейронными сетями;   Автоматизация и оптимизация.   Вам будет легче, если вы уже:  Bеб-программист. Владение Python и опыт работы с нейронными сетями, работа в среде TENSORFLOW Имеете опыт работы с системами: PLM, ERP, CRM, ADVANCED-ANALYTICS, BI-ANALYTICS, SCM, BPM, E-COMMERCE, RPA. Уровень специалистов: Middle (средний) и Senior (старший)  Приветствуется:  Эко-мышление и отсутствие ограничивающих убеждений;   Верность научной методологии и готовность применять научный метод к решению самых сложных проблем.На все вопросы по вакансии ответим 7 дней в неделю в Телеграмм        ";;Владение Python и опыт работы с нейронными сетями, работа в среде TENSORFLOW. Имеете опыт работы с системами: PLM, ERP, CRM...;Настройка и Сопровождение систем CRM, PLM, ERP. Написание коннектеров API, интеграция 1С и др. Разработка сайтов и мобильных приложений. ;"HTML;Мобильность;SQL;MySQL;Python;Machine Learning;NLP;Data Mining;PLM;Analytical skills;CRM;RPA";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1
2;2;34043065;Программист;Новосибирск;2;5;Промышленная маркировка;0.06666666666666667;Компания Промышленная маркировка является частью международного холдинга Markem Image в области маркировки и кодировки товара. Уже 13 лет наша компания является надежным поставщиком крупным производителям Сибири и Дальнего Востока качественных и инновационных устройств для промышленной маркировки: каплеструйных, термотрансферных, принтеров-аппликаторов и лазерных систем печати и оригинальных расходных материалов. Наша компания производит полный цикл работ: продажа, запуск линий, обслуживание гарантийное и постгарантийное.Требуется инженер - программистДля написания и адаптации Программного обеспечения производства и маркировочного оборудования.Ваша задача находить решение в нестандартных ситуацияхРабота не совсем простая но очень интересная. Требования:  Разработка программ для промышленного комплекса, высокое быстродействие систем, архивация и обработка данных. Написание програм с нуля для управления производством Написание программ для управления маркировочным оборудованием на производстве адаптация программного обеспечения с линиями производства и маркировочного оборудования. написание протоколов связи 1С Предприятие с маркировочным оборудованием Работа с C++, SQL сервер, C#/, s-sharp Работа с ERP Системами Знание технического английского будет Вашим преимуществом.  Условия:  Официальное трудоустройство Заработная плата: оклад + % с реализации проекта по результатам собеседования. Краткосрочные командировки по РФ на пусконаладочные работы программного обеспечения. Официальное трудоустройство или как фрилансер удаленно мы готовы заключить договор на взаимовыгодных условиях. ;  Официальное трудоустройство Заработная плата: оклад + % с реализации проекта по результатам собеседования. Краткосрочные командировки по РФ на пусконаладочные работы программного обеспечения. Официальное трудоустройство или как фрилансер удаленно мы готовы заключить договор на взаимовыгодных условиях. ;Знание технического английского будет Вашим преимуществом.;Для написания и адаптации Программного обеспечения производства и маркировочного оборудования. Ваша задача находить решение в нестандартных ситуациях. Разработка программ для...;"JavaScript;SQL;C#;HTML;MySQL";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
3;0;33941234;Программист;Санкт-Петербург;2;4;Филиал СКБ Энергия АО Завод Энергия;0.0;"Обязанности:   разработка программного обеспечения;   доработка, тестирование, отладка существующего программного обеспечения;   разработка программной документации;   настройка программного обеспечения;   исправление неисправностей, проведение стыковых мероприятий с ПО сторонних организаций, в т.ч. в командировках   Требования:   опыт работы в ОС Linux, в т.ч. использование командной строки   разработка программ для Linux на C/C++ (использование make, gcc, gdb, использование средств ssh, sftp)   использование графических средств разработки (IDE)   готовность к редким командировкам   образование высшее очное (желательно специалист либо магистр)     Желательно:   опыт разработки с использованием Qt (4.6 или выше)   опыт установки, настройки ЭВМ под управлением ОС Linux (настройка и проверка сети, текущего оборудования)   опыт использования баз данных   Условия:   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";"   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";Опыт работы в ОС Linux, в т.ч. использование командной строки. Разработка программ для Linux на C/C++ (использование make...;Разработка программного обеспечения. Доработка, тестирование, отладка существующего программного обеспечения. Разработка программной документации. Настройка программного обеспечения. Исправление неисправностей, проведение стыковых мероприятий...;"JavaScript;SQL;C#;HTML;MySQL";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
4;0;34282809;Программист;Самара;2;4;Бердышев Павел Геннадьевич;0.0;Обязанности:  Разработка и сопровождение проектов компании одним из которых является: proconvers.ru Разработка и сопровождение сторонних сайтов.  Требования:  PH, JS, MySQL, Ajax, Опыт работы с сайтами на различных конструкторах.  Условия:  Питание Проживание З/п высокая по результатам собеседования Квартальные бонусы. Работа в офисе ;  Питание Проживание З/п высокая по результатам собеседования Квартальные бонусы. Работа в офисе ;PH, JS, MySQL, Ajax, Опыт работы с сайтами на различных конструкторах.;Разработка и сопровождение проектов компании одним из которых является: proconvers.ru. Разработка и сопровождение сторонних сайтов.;"MySQL;Ajax";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
5;3;33931362;Программист-разработчик;Екатеринбург;2;4;ТЭГ-Групп;0.0;"Обязанности: • Участие в проектах по внедрению корпоративных информационных систем на базе «1С: Комплексная автоматизация 2», «1С:Бухгалтерия», «1С:Документооборот» в качестве ведущего разработчика; • Разработка интеграционных решений со сторонними системами; • Выбор оптимальных форм и методов реализации поставленных задач; • Участие в проектировании решений; • Разработка технической документации. Требования: • Хорошее знание архитектуры и возможностей технологической платформы «1С:Предприятие 8.3»; • Хорошее значение архитектуры одной или нескольких типовых конфигураций 1С (в т.ч. БСП); • Знание системы стандартов и методик разработки конфигураций для платформы «1С:Предприятие 8»; • Опыт интеграции решений 1С с прочими информационными системами (в т.ч. с использованием конфигурации «1С: Конвертация данных»); • Готовность развиваться и повышать свой профессиональный уровень; • Высшее образование в области информационных технологий или математики. Приветствуется (является преимуществом): • Наличие опыта разработки в создании модулей и конфигураций с нуля; • Знания бухгалтерского и налогового учета; • Понимание бизнес-процессов производственных и торговых предприятий; • Навыки администрирования, оптимизации и настройки СУБД MS SQL; • Наличие сертификатов;   Условия:  Стабильная работа в крупной логистической компании; Интересные задачи по развитию крупной компании с сильным продуктом и массой возможностей; Заработная плата: обсуждается с финальным кандидатом; Обучение за счет компании; Возможность финансового, профессионального и карьерного роста; Корпоративная мобильная связь; Действительно дружный, молодой коллектив, корпоративные мероприятия, чай/кофе/фрукты и другие приятные плюшки; Официальное оформление согласно ТК РФ с первого дня работы; ";"  Стабильная работа в крупной логистической компании; Интересные задачи по развитию крупной компании с сильным продуктом и массой возможностей; Заработная плата: обсуждается с финальным кандидатом; Обучение за счет компании; Возможность финансового, профессионального и карьерного роста; Корпоративная мобильная связь; Действительно дружный, молодой коллектив, корпоративные мероприятия, чай/кофе/фрукты и другие приятные плюшки; Официальное оформление согласно ТК РФ с первого дня работы; ";Хорошее знание архитектуры и возможностей технологической платформы «1С:Предприятие 8.3». Хорошее значение архитектуры одной или нескольких типовых конфигураций...;...2», «1С:Бухгалтерия», «1С:Документооборот» в качестве ведущего разработчика. Разработка интеграционных решений со сторонними системами. Выбор оптимальных форм...;1С программирование;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6;5;34126612;Программист-разработчик;Екатеринбург;1;3;Гаев Максим Александрович;0.0;"Обязанности:   Разрабатывать и настраивать интеграции с внешними системами: телефония, 1С, самописные системы на стороне клиента; работа с API.   Разработка типовых и не типовых бизнес-процессов.  Разработка новых модулей и модификация стандартных для реализации процессов в CRM, проектном управлении, системе документооборота, внедрения интернет-порталов в организациях.  Тестирование разработок.   Системное администрирование проектов.  Поддержка и доработка существующих проектов компании; Анализ кода, поиск и исправление ошибок в существующем функционале; Проектирование, разработка и внедрение новых приложений, интеграция с другими сервисами; Учиться, помогать и делиться знаниями;  Требования:  Знание PHP и принципов ООП. Опыт программирования на PHP от 3 лет. Уверенные знания HTML, CSS, Javascript. Навыки использования системы контроля версии GIT. Опыт внедрения и разработки на базе «Битрикс24». Знание и опыт работы с БД, SQL, mySQL, JavaScript, jQuery. Сданные экзамены 1С-Битрикс – преимущество.  Условия:  Возможность работать удаленно, плавающее начало рабочего дня. Гибкий рабочий график, возможность самостоятельной организации своего рабочего дня с учетом задач и командной работы. Высокий уровень заработной платы по итогам собеседования, обсуждаем ожидания кандидатов (почасовая или оклад+премии); Реальные возможности профессионального и карьерного роста (обучение и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1С ). ";"  Возможность работать удаленно, плавающее начало рабочего дня. Гибкий рабочий график, возможность самостоятельной организации своего рабочего дня с учетом задач и командной работы. Высокий уровень заработной платы по итогам собеседования, обсуждаем ожидания кандидатов (почасовая или оклад+премии); Реальные возможности профессионального и карьерного роста (обучение и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1С ). ";Знание PHP и принципов ООП. Опыт программирования на PHP от 3 лет. Уверенные знания HTML, CSS, Javascript. Навыки использования системы...;"Разрабатывать и настраивать интеграции с внешними системами: телефония, 1С, самописные системы на стороне клиента; работа с API. ";"MySQL;JavaScript;jQuery;ООП;PHP5;1С-Битрикс";0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1
7;29;33176705;Программист-математик;Екатеринбург;2;3;Прософт-Биометрикс;0.0;"Инжиниринговая компания Прософт-Биометрикс приглашает специалиста на должность Программиста-математика (С++). «Прософт-Биометрикс» - российский разработчик комплексных систем в области информационной и технической безопасности, контроля и управления доступом, учета рабочего времени с использованием методов биометрической идентификации. Компания входит в состав мировых лидеров, активно продвигающих высокотехнологичные биометрические решения и комплексы. Один из наших ключевых продуктов - биометрическая система BioSmart. В нее входят ПО BioSmart Studio, контроллеры и терминалы по венам ладони и отпечаткам пальца. Для развития системы мы ищем математика, которого надеемся увлечь биометрией. Направление деятельности: биометрические системы контроля доступа и учета рабочего времени по отпечаткам пальцев и венам ладоней. Основные задачи:  Разработка алгоритмов биометрической идентификации по отпечаткам пальцев, венам ладоней, лицу. Реализация алгоритмов на языке С++ на ОС Linux, Windows, платформы X86, ARM9. Отладка алгоритма на тестовых биометрических базах.  Требования к квалификации:  Желательно профильное образование в области распознавания изображений и сигналов; Обязательно базовые знания в области цифровой обработки изображений, алгоритмах фильтрации изображений, мат. Анализе, распознавании образов; Опыт программирования на С++ от 1 года; git или опыт использования любой другой CVS; Опытный пользователь Windows; Быстрая обучаемость, умение работать в команде программистов; Активность, энергичность; Ответственный подход.  Условия работы:  Заработная плата: оклад + ежеквартальные и годовые премии; Трудовые отношения в полном соответствии с ТК РФ; ДМС, компенсация спортивного абонемента; Место работы: Зоологическая, 9. Если Вы заинтересованы в данной вакансии и Ваш опыт соответствует заявленным требованиям - ждем Ваше резюме!  ";;Git или опыт использования любой другой CVS. Опытный пользователь Windows. Быстрая обучаемость, умение работать в команде программистов. Активность, энергичность. ;Разработка алгоритмов биометрической идентификации по отпечаткам пальцев, венам ладоней, лицу. Реализация алгоритмов на языке С++ на ОС Linux, Windows, платформы...;"Git;Linux;C/C++;C++;SQL";0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
8;23;34278273;Программист (Junior);Тюмень;1;3;Строительный Двор;0.0;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи!Требования:   Высшее / неполное высшее образование (техническое / IT); Базовые знания программирования; Желание изучать ABAP; Опыт программирования в проектах (личных или на заказ); Аналитический склад ума; Умение структурировать информацию; Ответственность, нацеленность на результат; Опыт командной работы.  Будет плюсом:  Знание (Python, JS, С#, PHP) языка программирования более 1 года; Английский язык на уровне чтения и понимания документации.  Обязанности:  Поддержка / доработка существующей функциональности (отчеты, печатные формы, user-exit); Участие в разработке новой функциональности; Оптимизация кода; Поддержка пользователей системы; Создание технической документации.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Базовые знания программирования. Желание изучать ABAP. Опыт программирования в проектах (личных или на заказ). ;Поддержка / доработка существующей функциональности (отчеты, печатные формы, user-exit). Участие в разработке новой функциональности. Оптимизация кода. Поддержка пользователей системы. ;"ABAP;ООП;SAP ERP;Python;JavaScript";1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1
9;4;33820864;Программист-разработчик;Новосибирск;2;3;Неолаб-Нск;0.03333333333333333;"В компании NEOLAB мы решаем задачи игровой индустрии в областях искусственного интеллекта, машинного обучения и больших данных. Мы разрабатываем приложения и сервисы для обработки данных, помощи в принятии решений и аналитики. Офисы компании находятся в Москве, Омске и Новосибирске. Neolab работает с компаниями из США, Китая, Индии и других стран. И мы смело называем себя экспертами в игровой индустрии. С какими технологиями столкнёшься?  Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя научим.  Распределенные системы. Например, CAP теорема, типичные сбои и способы их избежать, алгоритмы консенсуса, понятие идемпотентности операции. Distributed lock и системы с leader election; CQRS и Event Sourcing; IDL и связанные с ними протоколы сериализации (например, gRPC или ZeroC Ice); Тестирование кода. У себя мы используем jest; Функциональное программирование, pure functions, referential transparency, сайд-эффекты; FRP. В частности, мы используем RxJS; Различные DX инструменты: Chrome DevTools, Redux DevTools, React DevTools; Бандлеры кода для фронтенда, в частности, webpack, rollup и parcel; Техники асинхронного программирования, в частности, у нас активно используются coroutines и, конечно, promises. Современные подходы к data flow в веб приложении, в частности, flux, redux, redux-saga, mobx. Но заметим, что redux-saga мы используем и на бэкенде тоже; Большая часть фронтенда использует React, Современные стадарты в web API: fetch, documentQuerySelector, History API, WebWorker, ServiceWorker. Cross-window communication; Современный CSS. Flexbox, CSS Grid. Препроцессоры и постпроцессоры. CSS-in-JS; React UI библиотеки: material-UI, blueprint; ES2018 и другие современные стандарты JS, Babel, и что такое stage-0,1,2,3, и что ждёт нас в будущем ES; git и другие системы контроля версий. Мы используем Docker образы почти для всех наших сервисов. Приложения развертываем в kubernetes кластере. Инструментирование наших сервисов метриками. Каким образом понимать, что сервис работает, работает корректно и сколько нагрузки сможет ещё выдержать.  Это далеко не полный список. Но если ты знаком с его частью или тебе интересно развиваться в каких-то направлениях, откликайся на вакансию. У нас найдутся темы для разговора. Мы ценим хорошее знание английского и твой интерес к новостям из мира IT. Мы любим обсудить на собесе, что интересного ты прочитал за последнее время, и что тебя вдохновляет на работу. В сухом остатке:  Typescript Node JS React Docker  Будет плюсом опыт: DevOps Kubernetes Eventsourcing Что тебя ждёт: Когда ты придёшь в нашу компанию, у тебя появится наставник. Ты задашь ему все вопросы, которые у тебя возникнут, он погрузит тебя в проект. Ты будешь заниматься поддержкой, развитием и интеграцией продукта. Работать в распределенной команде и взаимодействовать с коллегами в Омске. Если захочешь, организуем для тебя релокацию. Мы знаем, что работать за идею никто не хочет. Поэтому довольно гибкие в определении зарплаты. Жить на дошираках и офисной пицце тебе точно не придётся. Присоединяйся к команде, если хочешь решать задачи бизнеса, принимать новые вызовы и использовать только современные подходы разработки.  ";;Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя...;Тестирование кода. У себя мы используем jest. Функциональное программирование, pure functions, referential transparency, сайд-эффекты. React UI библиотеки: material-UI...;"Git;JavaScript;Python";0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1
