;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;C++;SQL;Linux;Python;Автоматизация технологических процессов;C/C++;ORACLE;Oracle Pl/SQL;Git;ARM;Другие навыки
0;84;33899218;Инженер-программист;Санкт-Петербург;3;5;Фирма НИТА;0.03333333333333333;Обязанности:  Разработка системы панорамного видеонаблюдения, решение прикладных задач видеоаналитики Разработка и исследования в области обработки и трансляции видео Исследование функциональности сторонних библиотек для решения задач в области видео Работа в scrum/XP команде  Требования:  Отличное знание С++ (C++11, STL, boost). Опыт программирования на C/C++ под *nix , включая многопоточное, сетевое программирование Опытный Linux-пользователь Знание паттернов проектирования программного обеспечения Хорошая инженерная подготовка, навыки решения алгоритмических задач Умение работать с open source проектами и библиотеками: правка/сборка, изучение API, pull requests Умение работать в команде, коммуникативные навыки Готовность к командировкам (как по РФ так и за ее пределами) Опыт работы с чужим кодом  Будет плюсом:  Опыт работы:  В области обработки изображений и видео С мультимедиа С протоколами семейства RTSP/RTP С алгоритмами сжатия видео/аудио   Знание OpenCV Опыт разработки высоконагруженных и отказоустойчивых серверов. Работа в Agile командах Опыт написания unit-тестов  Условия: Пятидневная рабочая неделя, отпуск 28 кал.дней, ДМС после испытательного срока, частичная оплата абонемента на фитнес.    ; Пятидневная рабочая неделя, отпуск 28 кал.дней, ДМС после испытательного срока, частичная оплата абонемента на фитнес.    ;Отличное знание С++ (C++11, STL, boost). Опыт программирования на C/C++ под *nix , включая многопоточное, сетевое программирование. ;Разработка системы панорамного видеонаблюдения, решение прикладных задач видеоаналитики. Разработка и исследования в области обработки и трансляции видео. Исследование функциональности сторонних...;"C++;SQL;Linux;Python;Автоматизация технологических процессов";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
1;63;34177758;Инженер-программист;Екатеринбург;3;4;OOO PSI;0.03333333333333333;"Компания PSI Metals Россия (входит в конценрн PSI Software AG, Германия), ведущий международный поставщик программного обеспечения для металлургической отрасли, приглашает специалистов на должность инженера-программиста. Компания существует на рынке уже 50 лет и является поставщиком решений для ведущих мировых и российских производителей стали и алюминия. Разработанная комплексная система управления производством металлургического предприятия включает в себя следующие продукты: планирование производства, учет производства и качества, склады и логистика, учет энергоресурсов, автоматизация и интеграция. Все продукты компании непрерывно развиваются и модернизируются с использованием актуальных технологий разработки ПО. Работа в международной динамичной компании - отличное продолжение карьеры как для опытного инженера, так и для начинающих специалистов, желающих максимально раскрыть свой потенциал. Инженер-программист будет участвовать во всем жизненном цикле проектов и будет отвечать за:  Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача в эксплуатацию, техническое обслуживание и сопровождение); Разработку прикладного математического и программного обеспечения; Разработку эксплуатационной документации; Конфигурацию готового программного продукта; Техническую поддержку пользователей; Подготовку и обучение пользователей.    Ключевые навыки:  Высшее образование в области информатики или математики; Опыт разработки сложных моделей данных и алгоритмов; Навыки работы с базами данных (Oracle) и высокоуровневыми языками программирования (Java); Знание английского языка для общения с коллегами по всему миру устно и письменно; Не обязательны, но являются преимуществом опыт в автоматизации бизнес-процессов металлургических предприятий.    Мы предлагаем следующие условия труда:  Работа в офисе в центре Екатеринбурга с периодическими командировками; Полный рабочий день (график гибкий, ненормированный); Зарплата по результатам собеседования; Медицинская страховка; Соблюдение ТК РФ; Дружный коллектив опытных высококвалифицированных специалистов; Перспективы карьерного роста.    Присоединяйтесь к нашей команде!";;Высшее образование в области информатики или математики. Опыт разработки сложных моделей данных и алгоритмов. Навыки работы с базами данных (Oracle...;Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача...;"ORACLE;SQL;Java;Oracle Pl/SQL";0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1
2;70;34250484;Инженер-программист микроконтроллеров и ПЛИС;Санкт-Петербург;4;3;МИНИТЕХ;0.03333333333333333;"Обязанности:   разработка алгоритмов работы устройств, компьютерное моделирование;   разработка технических требований для аппаратной части устройств;   разработка и отладка ПО;   разработка тестового ПО;   разработка сопроводительной документации на ПО по ЕСПД   Требования:  языки программирования: С, verilog/VHDL; базовые знания цифровой и аналоговой электроники; владение пакетами программ для разработки ПО для микроконтроллеров и ПЛИС; знание ЕСПД  Условия:  работа в развивающейся стабильной производственной компании; официальное трудоустройство по ТК РФ; полный соц. пакет, гарантированный государством; шаговая доступность от метро Политехническая; дружный коллектив профессионалов-единомышленников ";"  работа в развивающейся стабильной производственной компании; официальное трудоустройство по ТК РФ; полный соц. пакет, гарантированный государством; шаговая доступность от метро Политехническая; дружный коллектив профессионалов-единомышленников ";Языки программирования: С, verilog/VHDL. Базовые знания цифровой и аналоговой электроники. Владение пакетами программ для разработки ПО для микроконтроллеров и...;Разработка алгоритмов работы устройств, компьютерное моделирование. Разработка технических требований для аппаратной части устройств. Разработка и отладка ПО. Разработка тестового ПО. ;"языки программирования: С, verilog/VHDL;знания цифровой и аналоговой электроники;программы для разработки  ПО для микроконтроллеров и ПЛИС;знание ЕСПД";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;19;34102164;Инженер-программист микроконтроллерных систем;Челябинск;2;3;Планар;0.03333333333333333;В отдел по разработке приборов для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения (и других перспективных тем) требуются программисты C/C++ для создания ПО встроенных (embedded) систем (на базе контроллеров семейства ARM, Cortex-XX). Должностные обязанности:  Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application frontend) для встроенных систем.  Требования к соискателям:  Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем.  Будет преимуществом:  Владение современными приемами программирования: объектно-ориентированное, функциональное программирование. Опыт разработки многопоточных приложений (под управлением OS, RTOS). Понимание работы аппаратных прерываний и стандартной периферии микроконтроллеров. Знание технического английского. Опыт работы с системой контроля версий Git. Опыт работы в команде по методологии Scrum. Знания в области цифровой обработки сигналов.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем. ;Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application...;"Git;C/C++;ARM;IAR;RTOS;Embedded;микроконтроллер;Cortex";0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1
4;57;34102591;Разработчик ПЛИС;Челябинск;2;3;Планар;0.03333333333333333;В отдел по разработке оборудования для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения (и других перспективных тем) требуется разработчик ПЛИС. Должностные обязанности:  Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.  Требуемые навыки:  Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. Умение работать в команде.  Вашим преимуществом будет:  Опыт работы с ПЛИС Xilinx. Умение читать электрические схемы. Знание технического английского для чтения документации. Опыт использования ядер для: TCP/IP, цифровой фильтрации сигналов. Умение работать с системой контроля версий Git.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. ;Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.;"ПЛИС;FPGA;Verilog;VHDL;DSP;ЦСП;Xilinx";0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;50;32887665;Инженер-программист;Челябинск;2;2;ЧЭМК;0.0;"Обязанности: – разработка, тестирование, наладка и сопровождение программного обеспечения для автоматизированных систем на металлургическом предприятии - Приложения для эмуляции промышленных объектов, используемые в процессе тестирования программного обеспеченияавтоматизированных систем - Сервисы сбора и сохранения в базы данных - WEB-приложения для ввода информации по промышленным объектам – разработка эксплуатационной документации на программное обеспечение Требования: – наличие высшего образования; – знание C++, C#, ASP.NET MVC, Transact-SQL; – опыт разработки web-приложений, сервисов Условия:  – должность: Ведущий инженер-программист  – пятидневная рабочая неделя: пн.-чт. с 08.00 до 17.00; пт. с 08.00 до 15.30. – официальное трудоустройство согласно ТК РФ.";"  – должность: Ведущий инженер-программист  – пятидневная рабочая неделя: пн.-чт. с 08.00 до 17.00; пт. с 08.00 до 15.30. – официальное трудоустройство согласно ТК РФ.";наличие высшего образования. – знание C++, C#, ASP.NET MVC, Transact-SQL. – опыт разработки web-приложений, сервисов.;разработка, тестирование, наладка и сопровождение программного обеспечения для автоматизированных систем на металлургическом предприятии. - Приложения для эмуляции промышленных объектов, используемые в...;"C++;SQL;Linux;Python;Автоматизация технологических процессов";0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
6;65;30918105;Инженер-программист;Челябинск;2;2;ЧЕЛЯБИНВЕСТБАНК;0.03333333333333333;"Уважаемые соискатели! Просьба к письму прилагать образцы исходных текстов.  Обязанности:  Интересные задачи по разработке новых масштабных проектов; Сопровождении существующих модулей корпоративной информационной системы.  Требования:  Высшее образование (профильное); Знания методологий разработки программного обеспечения; Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т.п.); Уверенное владение объектно-ориентированным подходом к разработке ПО; Знакомство с шаблонами проектирования; Понимание, чем хороший код отличается от плохого; Code-review; Знание технического английского языка; Навыки написания программ для современных реляционных СУБД, серверов приложений, web-серверов, многопоточных приложений.  Условия:  Сильная команда профессионалов; Программа наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Высшее образование (профильное). Знания методологий разработки программного обеспечения. Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т...;Интересные задачи по разработке новых масштабных проектов. Сопровождении существующих модулей корпоративной информационной системы.;"C++;SQL;Linux;Python;Автоматизация технологических процессов";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
7;92;33707288;Инженер-программист;Челябинск;1;2;УРТЦ Альфа-Интех;0.1;Требования к кандидатам:  Знание одного из языка программирования C#, Java, C++ Понимание принципов ООП, MVC, паттернов проектирования. Опыт работы с реляционными БД Знание английского языка на уровне, достаточном для ведения рабочей переписки. Готовность к участию в пуско-наладочных работах на территории заказчиков Желание изучать и использовать новые технологии в процессе разработки ПО.  Будет плюсом:  Программирование промышленных логических контроллеров Siemens, Omron на языках LAD, FBD, SCL Знание основных интерфейсов связи и промышленных протоколов Опыт работы с Git, Redmine  Обучение:Наша компания предлагает уникальную бесплатную возможность повысить свой уровень путем обучения как внутри компании, так и на различных сертифицированных курсах повышения квалификации. Обязанности:  Программирование промышленных роботов, программирование десктопных приложений, проектирование баз данных, Участие в полном цикле создания роботизированного комплекса. Проектирование, 3Д симуляция ,разработка ПО, отладка на железе и пуско-наладка РТК.  Оклад обсуждается индивидуально.;;Знание одного из языка программирования C#, Java, C++. Понимание принципов ООП, MVC, паттернов проектирования. Опыт работы с реляционными БД. ;Готовность к участию в пуско-наладочных работах на территории заказчиков. Программирование промышленных роботов, программирование десктопных приложений, проектирование баз данных. ;"C++;SQL;Linux;Python;Автоматизация технологических процессов";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
8;88;34208448;Инженер-программист (Senior Developer, специализация: ЦСДО);Омск;3;2;Метеоприбор;0.1;"Обязанности:  разработка программ для встраиваемых систем (web) для Центр сбора и обработки данных (модуль сбора с сети комплексов, администрирование комплексов, ведение БД, АРМ) из состава системы телемеханики; управление кодом в системе контроля версий программ git (Bitbucket); проведение тестирования/ испытаний программ; подготовка и согласование технических заданий (требований к функциям программ); подготовка программной документации; участие в пусконаладочных работах на объекте автоматизации в период опытной эксплуатации (короткие командировки); анализ требований Заказчика; контроль технических решений в рабочей группе.  Требования:  опыт разработки программ (ОС Windows, Linux) не менее 2 лет; высшее техническое образование (математическое, информационное); опыт использования СУБД; опыт использования web-технологий (включая верстку); опыт модульного (unit) тестирования программ; знание языков программирования (скриптовые (Python, др.), SQL, HTML – обязательно; другие – приветствуются); знание протоколов передачи данных (Modbus-RTU, DNP3, GPRS, TCP/IP, FTP, SMTP, POP3, IMAP, IEC 60870-5-101/104, другие); знание принципов построения ERP-, MES-, SCADA/HMI-систем; (желательно – опыт подготовки рабочего проекта конкретной SCADA-системы); представление (заранее приложить к отклику на вакансию) на собеседовании примеров исходного текста (кода) ранее разработанных программ, экранных и отчетных форм; умение и желание работать в команде.  Условия: - типовые для сотрудников ООО Метеоприбор"; - типовые для сотрудников ООО Метеоприбор;Опыт разработки программ (ОС Windows, Linux) не менее 2 лет. Высшее техническое образование (математическое, информационное). Опыт использования СУБД. ;Разработка программ для встраиваемых систем (web) для Центр сбора и обработки данных (модуль сбора с сети комплексов, администрирование комплексов, ведение...;"C++;SQL;Linux;Python;Автоматизация технологических процессов";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
9;62;34275462;Инженер-разработчик;Самара;1;2;Самтрэк Групп;0.0;"  Именно сейчас самое время присоединиться к команде нашей быстрорастущей компании . Вы получите все плюсы от работы с клиентами, входящими в рейтинг топ 500 России. Мы не только гордимся своим делом – мы получаем от него УДОВОЛЬСТВИЕ. Нам нужны ваша креативность и энергия. Мы ищем: разработчика новых решений, для наших клиентов. Есть конкретные задачи, от которых зависит рост компании и ТВОЙ лично. ГК СТАВТРЭК : является эксклюзивным интегратором решений для повышения экономики на предприятиях и в небольших компаниях. Продажа и обслуживания систем для повышения производительности: транспорта , спецтехники, специального оборудования. За последние 2 года , мы троектратно увеличили свой штат сотрудников, сняли дополнительно несколько современных и удобных офисов + продолжаем расширятся, в связи с этим открыты дополнительные вакансии:   Обязанности:   Разработка и поиск существующих решения - для систем спутникового мониторинга транспорта, для сельхозсектора;   Проведение поверочных и прочностных расчетов;   Оформления распорядительных документов в производство;   Сопровождение выпуска продукции;   Ведение деловой переписки, составление планов работ и отчетов.   Требования:  Высшее или среднетехническое образование. Опыт работы в аналогичной должности от 3 лет;  Владение ПК: офисными программами.  Ответственность; Внимательность; Стрессоустойчивость;  Условия:  Работа в крупной, стабильной компании; Трудоустройство в соответствии с ТК РФ; Социальный пакет; Частичная компенсация проезда; График работы 5/2 с 8:00 до 16:35; Оплата труда (оклад + ежемесячная премия); Отбор на вакансию осуществляется на конкурсной основе. ";"  Работа в крупной, стабильной компании; Трудоустройство в соответствии с ТК РФ; Социальный пакет; Частичная компенсация проезда; График работы 5/2 с 8:00 до 16:35; Оплата труда (оклад + ежемесячная премия); Отбор на вакансию осуществляется на конкурсной основе. ";Высшее или среднетехническое образование. Опыт работы в аналогичной должности от 3 лет. Владение ПК: офисными программами. Ответственность. Внимательность. Стрессоустойчивость.;Разработка и поиск существующих решения - для систем спутникового мониторинга транспорта, для сельхозсектора. Проведение поверочных и прочностных расчетов. Оформления распорядительных документов...;"Пользователь ПК;Деловая переписка;Креативность;Деловая коммуникация;Ведение переписки";0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
