;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;JavaScript;CSS;HTML;HTML5;Git;CSS3;jQuery;AngularJS;React;Node.js;Другие навыки
0;55;33895806;Front-end React/Angular Developer;Санкт-Петербург;9;10;Soshace;0.03333333333333333;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;Company that makes remote dev work easy. 3+ years of professional software development experience with JavaScript. 1+ year...;Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript;React;Angular2;HTML;CSS;Node.js;Django Framework";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1
1;63;33825431;Ведущий программист JS;Казань;7;8;Тензор;0.8333333333333334;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе.Если вам интересно познакомиться с большими распределенными системами, с мобильной разработкой или поковырять API социальных сетей, научиться работать с большими объемами данных в миллионы записей, чтобы ваше творчество ежедневно использовало в работе миллион пользователей, то мы готовы все это предложить. Мы ждем от Вас:  Отличные знания javascript, опыт работы с фрэймворками; Опыт коммерческой разработки; Умение читать чужой код; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой; Готовность экспериментировать и изучать новое  Наши условия:  Заработная плата в зависимости от квалификации и уровня ответственности; Оформление по ТК РФ; ДМС после года работы в компании; Курсы английского языка; Премии от 5 до 20% по итогам работы за месяц; Приятные внеофисные плюшки: корпоративные мероприятия и праздники, спорт-клуб. ";;Отличные знания javascript, опыт работы с фрэймворками. Опыт коммерческой разработки. Умение читать чужой код. Желание и умение писать красивый, структурированный...;;"JavaScript;jQuery;CSS;HTML5;PostgreSQL";0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1
2;96;33990743;Backend Программист Node.js, Typescript;Санкт-Петербург;6;7;SmartVat Solutions;0.03333333333333333;Нужен энергичный бэкэнд разработчик для быстро развивающейся компании. Мы занимаемся возвратом НДС для туристов в Великобритании через мобильное приложение https://www.airvat.com Все наши программисты находятся в России на удаленной работе с полной занятостью. Планируем открыть офис в Питере в начале 2020. Все новые сотрудники могут начать удаленно но должны быть готовы перейти на офисный режим после Новогодних праздников. Требования:   Опыт разработки RESTful API   Опыт разработки микросервисов и проектирования микросервисной архитектуры   Образование в области компьютерных или других технических наук   Стек обязательных технологий:   HTTP(S)    Node.js / Express (Nest, Koa)    Typescript   PostgreSQL, Redis   Docker / Kubernetes   Будет плюсом:   Знание git-flow    Jest (Unit/Integration testing, TDD)   React / ReactNative   Опыт работы с облачными технологиями (AWS Lambda, Google Cloud)   Опыт масштабирования, балансировки нагрузки приложений и работа с highload-проектами   Тип занятости:   Полная занятость  ;;Опыт разработки RESTful API. Опыт разработки микросервисов и проектирования микросервисной архитектуры. Образование в области компьютерных или других технических наук. ;;"Typescript;Node.js;PostgreSQL;API;HTTP";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
3;24;34021279;Программист Front-end/JavaScript (Middle/Senior);Санкт-Петербург;4;6;Прикладные технологии;0.0;Ищем опытных Front-end/JavaScript разработчиков уровней Middle и Senior для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование. Хорошее знание JavaScript (ES6), HTML5, CSS3. Опыт коммерческой разработки на JavaScript от 3 лет. Знание и понимание ООП, паттернов проектирования. Опыт Front-end разработки на JavaScript (можно учебные проекты). Желание изучать и использовать новые технологии в процессе разработки ПО. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт работы с популярными JS-фреймворками, а также умение обходиться без них. Опыт работы с UX дизайнерами и способность превращения мокапов в работающее клиентское приложение, используя HTML5, CSS3 и JavaScript. Опыт разработки мобильных версий web-приложений. Опыт работы в команде. Знание и умение работать с Git, SVN, Jira.    Обязанности:  Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.    Собеседование только после предоставления резюме.    Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Работа из дома до момента открытия офиса.    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения. С целью открытия филиала в г. Санкт-Петербург компания производит поиск сотрудников.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Работа из дома до момента открытия офиса.    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения. С целью открытия филиала в г. Санкт-Петербург компания производит поиск сотрудников.;Высшее техническое образование. Хорошее знание JavaScript (ES6), HTML5, CSS3. Опыт коммерческой разработки на JavaScript от 3 лет. ;Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.;"JavaScript;Git;Atlassian Jira;Agile Project Management;HTML5";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1
4;68;33903304;Golang developer;Санкт-Петербург;4;6;B2Broker;0.03333333333333333;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем законченные решения для других компаний. Над чем предстоит работать:   Системы потоковой обработки данных;   С сервис-ориентированной архитектурой;   И конкурентной обработкой.   Наш идеальный соискатель:  Технически грамотен; Обладает аналитическими навыками; Знает структуры хранения данных и алгоритмы работы с ними; Имеет образование в области прикладной математики или информационных систем; Имеет опыт коммерческой разработки на GoLang; Обладает отличным опытом в применении go-рутин, каналов, мьютексов и wait групп; Имеет опыт разработки с применением концепций: конкуртености, lock-free структур и распределённых систем; Владеет опытом написания Unit и интеграционных тестов (Testing); Имеет опыт работы с различными протоколами обмена информацией; Знает SQL и умеет оптимизировать запросы.  Технологии:  GoLang; Postgres / и др. БД; HTTP(S) / UDP / WebSocket / gRPC; Protobuf / JSON / XML; Docker.  Мы предлагаем:  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";"  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";Технически грамотен. Обладает аналитическими навыками. Знает структуры хранения данных и алгоритмы работы с ними. Имеет образование в области прикладной математики...;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Golang;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;3;33922908;Front-end разработчик;Москва;5;6;Just Food;0.0;JustFood.pro - сервис по доставке здорового питания, мы меняем жизнь людей каждый день! Ежедневно мы доставляем несколько тысяч порций здорового питания. Мы верим, что основа стабильного масштабируемого бизнеса - правильное построение бизнес-процессов и автоматизация. Компания создана командой с IT бэкграундом и в основе нашего бизнеса лежит система собственной разработки.Мы растем, а соответственно растет и количество задач, нам нужны единомышленники, готовые вместе с нами менять рынок доставки питания и потребления. Что у нас нужно делать :   Развивать основной сайт justfood.pro под современные браузеры (+ IE от 9.0)   Разрабатывать фронт личного кабинета клиента   Развивать фронт для внутренней самописной CRM   Быстро запускать отдельные страницы для тестирования новых продуктов   Что у нас по архитектуре:   Backend: С# .NET core, взаимодействие через REST API   Облачные сервера на Ubuntu, Nginx   В разработке используем: JIRA, Bitbucket (git), Teamcity (CI/CD), Swagger, dev/test/prod, etc.   Что ждем от тебя:   Опыта кроссплатформенной верстки с особым вниманием к мобильной версии (60% трафика с моб. устройств)   Отличные знания современных JavaScript (yarn/npm, ES6), HTML и CSS   Умение работать с git   Умения читать чужой код   Умения вдумчиво писать красивый и правильный код для долгоживущих проектов, и быстро, лишь бы работало, для прототипов   Angular v.7, angular/material v.2   Если ты full stack: имеешь опыт с С# .NET и Nginx -- то ты золото и это будет огромным бонусом (в том числе к зп)   Опыта работы в agile команде   Что ждать от нас:   Уютного, построенного для себя офиса в 5 минутах от м. Электрозаводская   Полного холодильника здоровой еды   Команды в отделе разработки из: CTO, backend разработчика, парт-тайм frontend и продакта   Поддержки роста в senior разработчика  ;;Развивать основной сайт justfood.pro под современные браузеры (+ IE от 9.0). Опыта кроссплатформенной верстки с особым вниманием к мобильной...;Backend: С# .NET core, взаимодействие через REST API. Полного холодильника здоровой еды. Команды в отделе разработки из: CTO, backend разработчика...;"JavaScript;HTML;CSS;Nginx;AngularJS;Git;C#;.NET Framework";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1
6;52;33740857;Frontend-разработчик / Senior developer;Новосибирск;5;5;Bazon;0.03333333333333333;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече! Что мы уже делаем: Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Разрабатывать компоненты на Vue; Проводить рефакторинг существующих проектов; Организовать работу других фронтенд-разработчиков и взаимодействие с бекенд-разработчиками.    Чего тебе делать не придется  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Отличное знание JS; Современные стандарты, паттерны; Опыт организации кода больших проектов без использования фреймворков; Отличное знание любого из фреймворков: Vue.JS, AngularJS, React.JS; Умение разбираться и готовность поддерживать чужой код (даже написанный с использованием jQuery); Опыт работы со сборщиками: webpack или gulp; Опыт работы с Service Worker; Опыт написания тестов.    Уровень заработной платы по результатам собеседования.";;Отличное знание JS. Современные стандарты, паттерны. Опыт организации кода больших проектов без использования фреймворков. Отличное знание любого из фреймворков: Vue.JS...;Проводить рефакторинг существующих проектов. Организовать работу других фронтенд-разработчиков и взаимодействие с бекенд-разработчиками. Чего тебе делать не придется. ;"JavaScript;Ajax;HTML;CSS3";0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1
7;88;33788630;React Frontend разработчик;Екатеринбург;1;5;NSSoft;0.06666666666666667;"Приглашаем на работу удаленного Frontend разработчика (Основная технология - React.JS). Ищем человека в команду на фулл тайм удаленно.   Требования:  Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года Умение работать в команде; Умение самостоятельно работать над задачами, искать, находить и использовать новую информацию Знание git; Быть на связи каждый день;    Будет плюсом:  Участие в open-source проектах собственные проекты или идеи знание английского наличие макбук, знание React Native (необязательно)    Как мы будем работать с Вами:  Оставьте заявку на данную вакансию Письменное короткое Skype интервью Тестовое задание Второе скайп интервью с техническими и нетехническими вопросами с HR Скайп интервью с лайвкоддингом на 30-40 мин. Берем Вас на работу  О нас: NSSoft занимается разработкой современных стартапов, мобильных и веб приложений, высоконагруженных сервисов. Наша специализация: стартапы, saas, сервисы, маркетплейсы, социальные сети, биржи, высоконагруженные проекты и т.д. Технологии, с которыми мы работаем: React, React Native, Ruby on Rails, Node JS. Мы на рынке уже 5 лет, наша команда распределена по всему миру и не ограниченна в передвижениях. Основные преимущества работы у нас: 1. Удаленная работа - не нужно быть привязанным к месту 2. Гибкий график - нужно отрабатывать 40 часов в неделю с пн по пт, в какое время можете выбрать сами 3. Фулл тайм - мы работаем 40 часов в неделю, соответственно Ваша загрузка тщательно спланирована на это время 4. Команда - мы молодые, дружелюбные профессионалы и нанимаем только тех людей, которые близки нам и с кем комфортно работать 5. Отточенный процесс - мы постоянно оттачиваем процесс разработки и сейчас он выглядит комфортно и при этом не дает расслабиться      ";;Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года. Умение работать в команде. Умение самостоятельно работать...;Второе скайп интервью с техническими и нетехническими вопросами с HR.;"JavaScript;React;удаленная работа";0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1
8;18;33788718;React Frontend разработчик;Омск;1;5;NSSoft;0.06666666666666667;"Приглашаем на работу удаленного Frontend разработчика (Основная технология - React.JS). Ищем человека в команду на фулл тайм удаленно.   Требования:  Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года Умение работать в команде; Умение самостоятельно работать над задачами, искать, находить и использовать новую информацию Знание git; Быть на связи каждый день;    Будет плюсом:  Участие в open-source проектах собственные проекты или идеи знание английского наличие макбук, знание React Native (необязательно)    Как мы будем работать с Вами:  Оставьте заявку на данную вакансию Письменное короткое Skype интервью Тестовое задание Второе скайп интервью с техническими и нетехническими вопросами с HR Скайп интервью с лайвкоддингом на 30-40 мин. Берем Вас на работу  О нас: NSSoft занимается разработкой современных стартапов, мобильных и веб приложений, высоконагруженных сервисов. Наша специализация: стартапы, saas, сервисы, маркетплейсы, социальные сети, биржи, высоконагруженные проекты и т.д. Технологии, с которыми мы работаем: React, React Native, Ruby on Rails, Node JS. Мы на рынке уже 5 лет, наша команда распределена по всему миру и не ограниченна в передвижениях. Основные преимущества работы у нас: 1. Удаленная работа - не нужно быть привязанным к месту 2. Гибкий график - нужно отрабатывать 40 часов в неделю с пн по пт, в какое время можете выбрать сами 3. Фулл тайм - мы работаем 40 часов в неделю, соответственно Ваша загрузка тщательно спланирована на это время 4. Команда - мы молодые, дружелюбные профессионалы и нанимаем только тех людей, которые близки нам и с кем комфортно работать 5. Отточенный процесс - мы постоянно оттачиваем процесс разработки и сейчас он выглядит комфортно и при этом не дает расслабиться      ";;Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года. Умение работать в команде. Умение самостоятельно работать...;Второе скайп интервью с техническими и нетехническими вопросами с HR.;"JavaScript;React;удаленная работа";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1
9;61;33788704;React Frontend разработчик;Ростов-на-Дону;1;5;NSSoft;0.06666666666666667;"Приглашаем на работу удаленного Frontend разработчика (Основная технология - React.JS). Ищем человека в команду на фулл тайм удаленно.   Требования:  Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года Умение работать в команде; Умение самостоятельно работать над задачами, искать, находить и использовать новую информацию Знание git; Быть на связи каждый день;    Будет плюсом:  Участие в open-source проектах собственные проекты или идеи знание английского наличие макбук, знание React Native (необязательно)    Как мы будем работать с Вами:  Оставьте заявку на данную вакансию Письменное короткое Skype интервью Тестовое задание Второе скайп интервью с техническими и нетехническими вопросами с HR Скайп интервью с лайвкоддингом на 30-40 мин. Берем Вас на работу  О нас: NSSoft занимается разработкой современных стартапов, мобильных и веб приложений, высоконагруженных сервисов. Наша специализация: стартапы, saas, сервисы, маркетплейсы, социальные сети, биржи, высоконагруженные проекты и т.д. Технологии, с которыми мы работаем: React, React Native, Ruby on Rails, Node JS. Мы на рынке уже 5 лет, наша команда распределена по всему миру и не ограниченна в передвижениях. Основные преимущества работы у нас: 1. Удаленная работа - не нужно быть привязанным к месту 2. Гибкий график - нужно отрабатывать 40 часов в неделю с пн по пт, в какое время можете выбрать сами 3. Фулл тайм - мы работаем 40 часов в неделю, соответственно Ваша загрузка тщательно спланирована на это время 4. Команда - мы молодые, дружелюбные профессионалы и нанимаем только тех людей, которые близки нам и с кем комфортно работать 5. Отточенный процесс - мы постоянно оттачиваем процесс разработки и сейчас он выглядит комфортно и при этом не дает расслабиться      ";;Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года. Умение работать в команде. Умение самостоятельно работать...;Второе скайп интервью с техническими и нетехническими вопросами с HR.;"JavaScript;React;удаленная работа";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1
