;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;PHP;MySQL;CSS;JavaScript;HTML;HTML5;jQuery;1С-Битрикс;Git;CSS3;Другие навыки
0;87;33980933;Web-программист;Санкт-Петербург;4;6;Alloy Software Inc.;0.06666666666666667;"Требования: Frontend:  Знание современного JavaScript (ES6+) Знание CSS Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue)  Backend:  Опыт работы с .NET Core или .NET Framework 4+  Будет плюсом:  Опыт работы с JQuery; Опыт работы с extJS; Опыт разработки стилей с использованием LESS или SASS/SCSS;  Обязанности:  Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений Участие в сопровождении приложений и инфрастуктуры разработки Совместная работа с другими группами, участвующими в разработке  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ;Знание современного JavaScript (ES6+). Знание CSS. Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue). ;Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений. Участие в сопровождении приложений и инфрастуктуры разработки. ;.NET Core, Angular;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;68;34163448;Senior Fullstack web developer;Омск;1;6;Николь, Торговая фирма;0.06666666666666667;"Мы – крупнейшая компания за Уралом по продаже автокомпонентов, ищем в свою команду опытного разработчика-наставника для реализации web проекта в сфере B2b и обучения небольшой команды junior разработчиков. Требуемые навыки:  Опыт работы с С#, .NET, ASP.NET MVC, API, ORM Опыт работы с одним из фронтэнд фреймворков: Angular, React, Vue Опыт работы с системами контроля версий Опыт коммерческой разработки Опыт работы в команде  Желательно:  Опыт работы с .NET Core, ASP.NET Core MVC, Azure Опыт работы в команде с ролью наставника  Обязанности: - проектировать и разрабатывать веб-сервис b2b в сфере продажи автозапчастей; - работать в команде с аналитиками; - делиться опытом с младшими коллегами, быть наставником, активно участвовать в code review; - обеспечивать стабильность и производительность решения, разрабатываемого командой. Условия работы:• Большие возможности для профессионального роста и реализации идей;• Возможность формирования индивидуальной мотивации;• График работы ПН-ПТ с 9:00 до 17:30;• Оформление согласно ТК РФ с первого дня работы;• Корпоративные мероприятия для сотрудников и членов их семей (100% оплачивает работодатель);• Доставка транспортом компании от 21 Амурской до места работы;• Премирование сотрудников за стаж работы в компании;• Корпоративные скидки на продукцию компании;• Наличие программы ДМС  Заработная плата определяется по итогам собеседования с руководителем.   Обратите внимание на месторасположение офиса, его удаленность. ТФ Николь является лидером в своей сфере, входит в 100 крупнейших компаний г. Омска, дата основания 15 июля 1995 г. Более подробная информация о нашей деятельности размещена на официальном сайте. УВАЖАЕМЫЙ СОИСКАТЕЛЬ! Благодарим Вас за интерес, проявленный к нашей Компании.  ";;Требуемые навыки: Опыт работы с С#, .NET, ASP.NET MVC, API, ORM. Опыт работы с одним из фронтэнд фреймворков: Angular, React...;проектировать и разрабатывать веб-сервис b2b в сфере продажи автозапчастей. - работать в команде с аналитиками. - обеспечивать стабильность и...;"PHP;MySQL;CSS;JavaScript;HTML";0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
2;47;32920451;Senior PHP разработчик / веб программист;Санкт-Петербург;6;6;НаПоправку.ру;0.03333333333333333;"НаПоправку.ру - крупнейший медицинский онлайн-сервис в Петербурге и один из ключевых игроков в Москве. Для нас важно, что каждый день десятки тысяч людей в нашей стране могут решить свои проблемы со здоровьем, благодаря нашей работе. Мы хотим сделать медицину проще и дружелюбнее, изменив то, как люди выбирают врача и взаимодействуют с ним. Сейчас мы развиваем уникальный сервис реал-тайм записи для быстрой и удобной записи на прием к хорошему врачу онлайн. Впереди - мобильное приложение, телеконсультации и другие онлайн-сервисы, которые помогают быстрее решать проблемы со здоровьем. Мы ищем в команду опытного бэкэнд разработчика, который предпочитает возможности и драйв нового проекта предсказуемой карьере в крупной корпорации. Главные задачи на ближайший год   Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам;   Перевести проект на микросервисную архитектуру;   Разработать REST API для мобильного приложения (IOS, Android);   Это вакансия для вас, если вы   Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL;   Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool), очередями, high load проектами;   Хотите не просто писать код, а делать классный продукт, который будет помогать людям и даже спасать жизни;   Умеете быстро разбираться в чужом коде и конструктивно с ним работать;   Не можете уснуть, пока не найдете решение для новой каверзной задачки.   Перед нами стоят различные задачи, как по бекенду, так и по фронтенду. Одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. Нам хочется найти в свою команду специалиста мыслящего в терминах time to market, то есть чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. Мы за здоровый баланс между жизнью и работой. Завершить работу вовремя и пойти домой к семье - всегда в приоритете. Тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. Вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. Почему Вам надо идти к нам   Социально значимый проект, о котором можно с гордостью рассказать даже бабушке;   Много интересных и нестандартных технических задач;   Широкое поле для инициативы;   Молодая, веселая и динамичная команда единомышленников.   Приятные мелочи   Белая зарплата, размер обсуждается с успешным кандидатом;   Оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции;   Фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе;   Гибкое начало рабочего дня;   Веселые корпоративы.  ";;Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL. Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool...;Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам. Перевести проект на микросервисную архитектуру. Разработать REST API для...;"ООП;NoSQL;MySQL;JavaScript;PHP;Redis;Highload;Zend Framework;Laravel;Memcached";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1
3;1;34165205;Веб-разработчик;Омск;3;5;Тамтэк;0.03333333333333333;Ищем коллегу на позицию веб-разработчика. Российско-американская IT-компания “Тамтэк”, реализующая сложные проекты для заказчиков с мировым именем. Специализируемся на создании надежных высоконагруженных информационных систем. В 2018 году нам исполнилось 12 лет. Что обещаем: - работу в команде с опытными программистами, джедаями-архитекторами и другими причастными товарищами по оружию - современные технологии и инструменты как на сервере: NodeJS / Symfony / RoR / Drupal 8 - так и на клиенте: Angular 2+ / VueJS / React / EmberJS - гарантированный профессиональный рост - обучение: конференции, обучающие курсы, английский язык, индивидуальная программа развития А также: - теплую компанию профессионалов: всегда есть о чем поговорить - порядочных клиентов, у которых есть чему поучиться: ведущие американские компании и перспективные стартапы - участие в жизни компании: внутренние рабочие группы, блог, хобби/спорт - всегда на кухне: кофе-чай-печеньки-фрукты - выезды на природу, настольные игры и прочий корпоративный быт - высокая белая зарплата, социальный пакет на ваш выбор: ДМС, компенсация занятий спортом и стоимости спортивного инвентаря, санаторно-курортное лечение Что полезно уметь: - профессиональное владение одним из инструментов: NodeJS / Symfony / Django / Flask / RoR / Drupal 8 - хороший уровень Javascript (ES5/ES6+, closures, prototypes etc), реальный опыт работы с одним из современных фреймворков (Angular 2+, React, VueJS) - хорошие навыки верстки (CSS 3, media-queries, BEM) Чем будете заниматься: - реализовывать сложные и интересные проекты с помощью современных инструментов - общаться на английском: сбор требований, отчет о работе - искать решения вместе с заказчиком: анализ нечетких требований - держать марку: обзор кода, оптимизация, юнит-тестирование, непрерывная интеграция и деплой - иметь желание развиваться: изучать новые инструменты и технологии, в т.ч. в боевых условиях  ;;современные технологии и инструменты как на сервере: NodeJS / Symfony / RoR / Drupal 8. Что полезно уметь: - профессиональное владение одним из инструментов...;так и на клиенте: Angular 2+ / VueJS / React / EmberJS. - общаться на английском: сбор требований, отчет о работе. - ;"PHP;MySQL;CSS;JavaScript;HTML";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
4;27;33936108;Fullstack веб-разработчик (Дальний Восток/Сибирь);Новосибирск;3;4;Conjoint.ly;0.06666666666666667;Наша небольшая команда занимаемся разработкой сервиса для маркетинговых исследований. Нам требуется надёжный full-stack веб-разработчик для внедрения новых функций и рефакторинга. Работа на постоянной удаленной основе. ﻿Обратите внимание!﻿﻿ Мы рассматриваем заявки от соискателей, которые живут только ﻿по часовому поясу от Новосибирска до Чукотки и НЕ являются агенством или студией по подбору персонала﻿. Обязательные технические умения:  Умение развернуть и настроить окружение Apache, PHP, MySQL PHP 7.x (ООП) с одним из бек-енд фреймворков (например, Laravel, Yii2, Slim) Vue.js, JavaScript (JQuery), HTML5, CSS Опыт разработки UI с использованием Bootstrap Git (GitHub)  Желательный технический опыт работы с:  MySQL (проектирование, оптимизация БД) Twig (шаблонизатор) API (например, Amazon, Google) Понимание, как работает протокол HTTP(S)  Требуемые навыки по работе:  Написание понятного объектно-ориентированного кода Использовать рефакторинг, и производить его, когда это необходимо Привычка учитывать уязвимости и методы безопасности, от HTTP-запроса и до БД Умение оценить объем и время выполнения задачи Умение работать с чужим кодом  Административные моменты:  Работа на постоянной удаленной основе в расчете на полный рабочий день Быть на связи в течение вашего рабочего дня, используем Slack и Skype. Работать по часовому поясу от Благовещенска до Чукотки Готовность выполнить небольшое тестовое задание (один или два дня за оплату при выполненной задаче) Готовность подписать договор о неразглашении  Бонусы  Интересная и разнообразная работа, на передовой маркетинговых исследований Стабильная занятость в маленькой, приятной команде Хорошая зарплата и бонусы за качественный, безбаговый код ;;Обязательные технические умения: Умение развернуть и настроить окружение Apache, PHP, MySQL. PHP 7.x (ООП) с одним из бек-енд...;MySQL (проектирование, оптимизация БД). Написание понятного объектно-ориентированного кода. Административные моменты:;"Vue.js;CSS;Git;JavaScript;MySQL;HTML5;PHP;Bootstrap;HTML;Apache HTTP Server";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1
5;82;33322401;Web-разработчик/ Java-разработчик;Самара;1;4;БАСС;0.0;"Обязанности:  Разработка на java веб-приложений для применения в медицинских организациях, подведомственных Минздраву, а также ТФОМС Самарской области  Требования:  знание java; знание одного из java веб-фрэймворков (play, spring, др.); знание HTML, CSS; знание ООП и понимание в его применении.  Приветствуются навыки:   java8+, Hibernate, WebSocket, REST, SOAP; Javascript; опыт применения инженерных практик: TDD, Code review, Continues Integration; проектирование БД; знание форматов XML ,JSON; опыт работы с СУБД (Oracle PostgreSQL); PL/SQL PLpgSQL; работа с системами контроля версий (SVN, Git, др); работа с серверными приложениями (GlassFish, Tomcat, др.); умение самостоятельно разбираться в новых технологиях.  Условия:  Рассматриваем кандидатов учащихся на последнем курсе ВУЗа Заработная плата - от 40 000 рублей до 120 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно ТК РФ. Оформление полиса ДМС (добровольное медицинское страхование) за счёт работодателя. Честная система премирования. Возможности самореализации. Сложные задачи в инновационных секторах IT-рынка. Индивидуальный подход в организации труда полезных сотрудников. Перспектива профессионального и карьерного роста. Обучение в компании и учебных центрах, участие в выставках и конференциях. Комфортный офис в тихом районе города. Дружный демократичный коллектив увлеченных профессионалов! ";  Рассматриваем кандидатов учащихся на последнем курсе ВУЗа Заработная плата - от 40 000 рублей до 120 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно ТК РФ. Оформление полиса ДМС (добровольное медицинское страхование) за счёт работодателя. Честная система премирования. Возможности самореализации. Сложные задачи в инновационных секторах IT-рынка. Индивидуальный подход в организации труда полезных сотрудников. Перспектива профессионального и карьерного роста. Обучение в компании и учебных центрах, участие в выставках и конференциях. Комфортный офис в тихом районе города. Дружный демократичный коллектив увлеченных профессионалов! ;Знание java. Знание одного из java веб-фрэймворков (play, spring, др.). Знание HTML, CSS. Знание ООП и понимание в его...;Разработка на java веб-приложений для применения в медицинских организациях, подведомственных Минздраву, а также ТФОМС Самарской области.;"PHP;MySQL;CSS;JavaScript;HTML";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
6;12;34190513;Web Developer / Разработчик;Челябинск;2;4;SiREN Global;0.03333333333333333;Обязательные требования/опыт:  Знание HTML, CSS и JavaScript Опыт работы с HTML5 Canvas API Умение синхронизировать работу различных частей кода Знание SVG Знание принципов ООП и их применение на практике Умение оптимизировать скорость работы сайта    Личные качества:  Желание зарабатывать деньги Желание развиваться Умение работать под давлением сроков Высокий уровень ответственности за результаты своей работы Позитивное отношение к жизни    Условия работы:  Полное соблюдение ТК РФ Официальные зарплата и премии (выплата 2 раза в месяц) Премии по результатам работы Работа над интересными, перспективными проектами Молодой, продвинутый коллектив Офис в бизнес центре класса А График работы: полная занятость, 5 дней в неделю (понедельник-пятница) Заработная плата по результатам собеседования    Отправляйте ваше резюме по адресу электронной почты, указанному в контактах.;;Обязательные требования/опыт: Знание HTML, CSS и JavaScript. Опыт работы с HTML5 Canvas API. Умение синхронизировать работу различных частей...;;"JavaScript;CSS3;jQuery;HTML5";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0
7;72;32942617;Web-программист;Самара;2;3;БАСС;0.0;"  Обязанности:  Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними сервисами.  Требования:  Опыт разработки Web-приложений не менее 2-х лет; Знание ООП, успешный опыт работы с PHP 5.x Понимание реляционных баз данных (MySQL, PostgreSQLи т.п., опыт по оптимизации БД и запросов в них Понимание работы REST API и HTTP Опыт работы с системой контроля версий GIT Понимание верстки, уверенное владение HTML,CSS JavaScript  Приветствуются навыки:  Ajax, WebSocket, SOAP; Понимание принципов работы серверов (Apache, Nginx) Опыт работы с API сторонних сервисов (билетные системы, платежные системы и т.д.), парсерами, написание собственных Технический английский  Условия:  Заработная плата на руки, по результатам собеседования - от 50 000 до 110 000 рублей. Размер и темпы её роста мы обсуждаем на собеседовании, и зависят оба этих показателя в основном от коэффициента полезности каждого конкретного сотрудника (отталкиваться будем от опыта, знаний). Зарплата белая, фиксированная (не зависит от количества проектов), и своевременная. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Перспектива профессионального и карьерного роста. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина.   ";  Заработная плата на руки, по результатам собеседования - от 50 000 до 110 000 рублей. Размер и темпы её роста мы обсуждаем на собеседовании, и зависят оба этих показателя в основном от коэффициента полезности каждого конкретного сотрудника (отталкиваться будем от опыта, знаний). Зарплата белая, фиксированная (не зависит от количества проектов), и своевременная. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Перспектива профессионального и карьерного роста. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина.   ;Опыт разработки Web-приложений не менее 2-х лет. Знание ООП, успешный опыт работы с PHP 5.x. ;Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними...;PHP, MySQL, JavaScript, CSS, HTML;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8;66;34128523;Веб-программист (Front-End);Ростов-на-Дону;0;3;SAGIROV.com;0.26666666666666666;Миссия Студии Сагирова - качественное и оперативное решение задач наших клиентов в digital-среде С 2012 года (от сотворения студии) воплощено в жизнь более 50 проектов в сферах дизайна и разработки с последующей поддержкой. Мы занимаемся дизайном и разработкой сайтов и мобильных приложений для отечественного и зарубежного рынка.Разрабатываем незаурядные сайты, и внедряем новые технологии в Web.Ставим перед собой амбициозные задачи. В связи с расширением штата нам нужны Веб-Программисты (FrontEnd), которые умеют качественно верстать сайты, интегрировать верстку в CMS, а также имеют опыт в разработке на React/Angular.   Основной приоритет мы отдаем опытным специалистам, однако рассмотрим кандидатуры начинающих,которые хотят повышать свой профессиональный уровень и получить опыт работы в реальных и масштабных проектах. ПРЕИМУЩЕСТВА РАБОТЫ У НАС   РАЗВИТИЕ И ОПЫТ Применяем новые технологии в разработке и дизайне. Делимся опытом и поощряем желание развиваться профессионально ОБУЧЕНИЕ И КАРЬЕРНЫЙ РОСТ Собственная система обучения специалистов, мастерклассы. стажировки и семинары ИНТЕРЕСНЫЕ ЗАДАЧИ Мы работаем над не стандартными и интересными проектами для клиентов из различных сфер бизнеса УЧАСТИЕ В КОНКУРСАХ Мы регулярно участвуем в Российских и международных конкурсах по разработке и дизайну   ПРИЯТНЫЕ БОНУСЫ   КОРПОРАТИВНЫЕ МЕРОПРИЯТИЯ Хорошо работаем - хорошо отдыхаем! Отмечаем праздники и сдачи проектов, ходим в кино, боулинг, квесты, что? где? когда?, выезжаем на природу НЕФОРМАЛЬНОЕ ОБЩЕНИЕ В пятницу вечером мы устраиваем турниры по настольным и компьютерным играм с призами ОТСУТСТВИЕ ДРЕСКОДА Самое главное правило - Вы должны быть одеты! Для нас прежде всего важны Ваши профессиональные качества и индивидуальность КОМФОРТНАЯ ЛОКАЦИЯ Уютный офис на мансардном этаже в центре города, КОМФОРТНАЯ ЛОКАЦИЯ Твой iMac ждем тебя) БАЗОВЫЕ ТРЕБОВАНИЯ  Знание HTML5, CSS3, JavaScript, jQuery Знание PHP и MySQL Понимание принципов адаптивной верстки  Для более опытных  Требования к стажерам Уверена работа с CMS (написание и редактирование шаблонов) Базовые представление о React/Angular Опыт работ от 1 года Наличие портфолио Умение использовать CSS-препроцессоры  Плюсом будет  Требования для Junior Умение работы с CMS (Bitrix/Joomla/WordPress и т.д.) Умение работать с AJAX Умение верстки для Retina-дисплеев Опыт разработки Single Page Application Базовый опыт в BackEnd    УСЛОВИЯ РАБОТЫ  Работа в большом и креативном коллективе График работы 5/2 с 10-19 часов Ежемесячные премии по результатам выполненных работ Работа в офисе (также рассматриваем удаленных сотрудников)  ЗАРПЛАТАЗарплата по результатам собеседования и выполнения тестового задания. Нажимай Откликнуться и записывайся на собеседование!Стань частью нашей команды! Начинай развиваться и расти профессионально! Мы ждем тебя!    ;;РАЗВИТИЕ И ОПЫТ. Применяем новые технологии в разработке и дизайне. Делимся опытом и поощряем желание развиваться профессионально. Знание HTML5...;Мы занимаемся дизайном и разработкой сайтов и мобильных приложений для отечественного и зарубежного рынка. Разрабатываем незаурядные сайты, и внедряем новые...;"PHP;MySQL;CSS;JavaScript;HTML";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
9;58;33646249;Web-разработчик (Senior/Lead);Екатеринбург;2;3;ГОРОДСКИЕ ЗРЕЛИЩНЫЕ КАССЫ;0.0;Ведущий билетный оператор Городские зрелищные кассы набирает команду WEB-разработчиков Требования:  Уровень знаний Senior/Lead Уверенное знание PHP, MySQL, PostgreSQL Знание HTML5/CSS3 для целей верстки Знание JS (jQuery, другие распространенные библиотеки) Опыт работы с системой контроля версий git Английский язык на уровне чтения технической документации Опыт работы в команде и умение разбираться в чужом коде  Будет плюсом:  Базовые знания и опыт администрирования Linux Знание фреймворков: Laravel, Yii Знание JS-фреймворков: VueJS, Angular, Опыт работы с вебсокетами  Обязанности:  Участие в проектировании новой архитектуры, яростная критика текущей Поддержка и модернизация нашего стека Критика UI, UX и работа с макетами дизайнера (верстка по PSD макетам) - необязательно  Условия работы:  Офис в Центре города Трудоустройство согласно ТК РФ Заработная плата по итогам собеседования Корпоративная связь Приятные бонусы ;;Уровень знаний Senior/Lead. Уверенное знание PHP, MySQL, PostgreSQL. Знание HTML5/CSS3 для целей верстки. Знание JS (jQuery...;Участие в проектировании новой архитектуры, яростная критика текущей. Поддержка и модернизация нашего стека. Критика UI, UX и работа с макетами...;"PHP;MySQL;PostgreSQL;HTML5;CSS3;Backbone;Английский язык;Laravel, Yii;VueJS;AngularJS;Linux;jQuery";0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1
