;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Java;Spring Framework;PostgreSQL;SQL;HTML;Git;Intellij IDEA;JavaScript;JDBC;ООП;Другие навыки
0;8;27592983;Программист Java (Junior/Middle/Senior);Екатеринбург;2;5;Прикладные технологии;0.0;Ищем Java разработчиков всех уровней (Junior/Middle/Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме.    Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;"Java;Spring Framework;PostgreSQL;SQL;HTML";0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
1;2;29419604;Программист Java (Junior/Middle/Senior);Челябинск;2;5;Прикладные технологии;0.0;Ищем Java разработчиков всех уровней (Junior, Middle, Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете.   Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;"Java;Spring Framework;PostgreSQL;SQL;HTML";0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
2;96;32269346;Java-разработчик;Тюмень;1;4;Строительный Двор;0.3333333333333333;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java;Spring Framework;PostgreSQL;Hibernate;Mockito;JUnit;Docker;Kubernetes";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1
3;86;33815185;Java-разработчик;Самара;4;4;ХОСТ, Группа компаний;0.0;"Приглашаем опытного java-разработчика в нашу Команду. Группа Компаний ХОСТ входит в ТОП-100 крупнейших IT-компаний России. Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь» - комплекс информационных систем для автоматизации процессов в области здравоохранения и предоставления услуг населению. Продукты:  интеграционная шина система сбора отчетности региональная информационно-аналитическая система автоматизация административных регламентов  Задачи:  разработка веб-сервисов; разработка микросервисов; разработка веб-приложений.  Требования к технологическому стеку:  языки программирования: Java 8 EE, SQL, XML; базы данных: Oracle, MS SQL, PostgreSQL; библиотека – Hibernate; фреймворки – Spring, Maven, ZK; контейнер для запуска веб-приложений – Apache Tomcat; система контроля версий - Git.  Мы предлагаем:  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчик, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";"  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчик, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";Языки программирования: Java 8 EE, SQL, XML. Базы данных: Oracle, MS SQL, PostgreSQL. Библиотека – Hibernate.;Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь» - комплекс информационных систем для автоматизации процессов в области здравоохранения...;"Java;Spring Framework;PostgreSQL;SQL;HTML";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
4;63;34273969;Java-программист;Самара;4;3;Отраслевой центр разработок и внедрения информационных систем / ОЦРВ;0.0;"Обязанности:  Реализация различных видов разработок программного обеспечения (ПО) в соответствии с функциональными спецификациями (техническим заданием); Написание рабочей документации к разработкам; Анализ функциональных требований; Анализ производительности ПО; Оптимизация ПО; Отладка ПО средствами среды программирования.  Требования:  Высшее образование, английский язык (достаточный для чтения технической литературы)$ Уверенное владение Java (JDK 1.7, 1.8); Collection Framework, Threads, JDBC; Знание J2EE (EJB, JMS, Web-services, Concurrency); Знание SQL, XML, XSLT, XSD, WSDL, SOAP; Опыт работы с системами контроля версий ПО, сборки проектов и системами управления проектами (Git, Maven, Jira); Преимуществом будет: Опыт разработки высоконагруженных масштабируемых систем; Опыт работы с Linux (CentOS); Опыт front-end разработки: HTML, CSS, JavaScript (библиотека jQuery или другие), Vaadin и др.; Знание Apache Camel; Опыт работы с Karaf; Знание концепций промышленной интеграции, ESB, SOA;  Условия:  Оформление по ТК РФ, белая стабильная заработная плата 130 000 gross + премии; Оплачиваемый отпуск; Медицинская страховка; Дружный коллектив профессионалов. ";"  Оформление по ТК РФ, белая стабильная заработная плата 130 000 gross + премии; Оплачиваемый отпуск; Медицинская страховка; Дружный коллектив профессионалов. ";Высшее образование, английский язык (достаточный для чтения технической литературы)$. Уверенное владение Java (JDK 1.7, 1.8). Collection Framework, Threads...;Реализация различных видов разработок программного обеспечения (ПО) в соответствии с функциональными спецификациями (техническим заданием). Написание рабочей документации к разработкам. ;"Java;Spring Framework;PostgreSQL;SQL;HTML";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
5;32;34128678;Java-программист;Казань;1;3;АйТиБрик;0.06666666666666667;"Наша студия занимается разработкой веб и мобильных приложений. У нас открыта вакансия Java-программиста. Требования: - Знание языка Java на профессиональном уровне,- Опыт работы с технологиями Spring Framework,- Опыт разработки WEB-приложений от 1 года,- Знание основных шаблонов проектирования и умение их применять,- Знания JavaScript, HTML, CSS,- Знание SQL,- Ответственное отношение к работе.   Желательно: - Опыт работы с JS-фреймворками (Vue.js, jquery и подобные).   Обязанности: - Разработка веб приложений,- Написание и сопровождение кода,- Участие в оценке и планировании задач.   Условия:  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";"  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";Знание языка Java на профессиональном уровне. - Опыт работы с технологиями Spring Framework. - Опыт разработки WEB-приложений от 1 года. - ;Разработка веб приложений. - Написание и сопровождение кода. - Участие в оценке и планировании задач.;"SQL;Java;Java EE;JavaScript;HTML;PostgreSQL";0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1
6;58;34248086;Senior Java-разработчик;Новосибирск;0;0;SEC corp;0.03333333333333333;Японской компании требуется опытный java-разработчик на постоянную основу для удаленной работы над нашими собственными проектами SMS-маркетинга на японском рынке (не игры, не финансы, не гос. проекты). Работа ведется уже более 10 лет, большая часть команды территориально расположена в Беларуси и России. Нашими разработками ежедневно пользуются многие ведущие компании Японии, мы используем только java в работе. Если вам интересна долгосрочная, высокооплачиваемая, стабильная удаленная работа, и вы - профессионал java, плюс вас не пугают высоконагруженные enterprise-grade системы, то у нас есть, что предложить. Ожидания от кандидата:  Опыт использования Spring, Hibernate Желателен опыт работы с Redis, Postgres Опыт разработки на Angular будет плюсом Знание английского языка – чтение, письмо (разговорный не обязателен) Желание работать качественно, мотивированность к саморазвитию Готовность работать в небольшой команде, где всегда видны результаты работы Условия:  Достойно высокий уровень оплаты Удаленная работа в полностью русскоязычной команде разработки 4 недели оплачиваемого отпуска в году Ежегодные бонусы, регулярный пересмотр уровня оплаты по результатам работы, поездки в Токио Непроектная, долговременная работа Перспективы роста Интересная работа и лучшая команда ;  Достойно высокий уровень оплаты Удаленная работа в полностью русскоязычной команде разработки 4 недели оплачиваемого отпуска в году Ежегодные бонусы, регулярный пересмотр уровня оплаты по результатам работы, поездки в Токио Непроектная, долговременная работа Перспективы роста Интересная работа и лучшая команда ;Опыт использования Spring, Hibernate. Желателен опыт работы с Redis, Postgres. Опыт разработки на Angular будет плюсом. Знание английского языка – чтение...;;"Java;Spring Framework;PostgreSQL;SQL;HTML";0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
7;49;34197386;Программист-разработчик Java EE;Казань;2;3;Калейдоплан;0.13333333333333333;В компанию - резидент IT Park Казань требуется программист Java EE. Обязанности: Участие в работе над проектом. Проект - система онлайн проектирования домов. Подробности при личном общении. Требования: ​​​​​​Уверенные навыки разработки клиент серверных систем. JS. Желателен опыт работы с 3D. Условия: ​​​​​​Оклад + премия за соблюдение дедлайнов.; ​​​​​​Оклад + премия за соблюдение дедлайнов.;Уверенные навыки разработки клиент серверных систем. JS. Желателен опыт работы с 3D.;Участие в работе над проектом. Проект - система онлайн проектирования домов.;"Java;Git;SQL;JavaScript";0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0
8;66;34034872;Java-программист;Челябинск;2;5;ЧЕЛЯБИНВЕСТБАНК;0.03333333333333333;"Уважаемые соскатели! Для максимально быстрого рассмотрения вашего резюме к отклику прилагайте образцы исходных текстов.  Обязанности:  Разработка программного обеспечения; Написание микросервисов и сервисов в рамках серверов приложений.  Требования:  Знание Java (Eclipse, IDEA), JDBC, SQL; Опыт написания серверных java-приложений или сервлетов; Опыт работы с какой-либо системой контроля версий (svn, cvs, git); Опыт работы с клиент-серверными базами данных; Понимание работы *NIX-систем; Готовность к сопровождению унаследованного кода, умение тестировать собственнный код; Знания сетевых протоколов и настройки терминального доступа.  Условия:  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Знание Java (Eclipse, IDEA), JDBC, SQL. Опыт написания серверных java-приложений или сервлетов. Опыт работы с какой-либо системой контроля...;Разработка программного обеспечения. Написание микросервисов и сервисов в рамках серверов приложений.;"Java;SVN;SQL;MS SQL;JDBC;Eclipse;Intellij IDEA;Git";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1
9;73;34034843;Junior Java developer;Челябинск;2;5;ЧЕЛЯБИНВЕСТБАНК;0.03333333333333333;"Уважаемые соискатели! Для максимально быстрого рассмотрения вашего резюме к отклику на вакансию прикрепляйте образцы исходных текстов. Обязанности:  Разработка программного обеспечения; Написание микросервисов и сервисов в рамках серверов приложений.  Требования:  Знание Java (Eclipse, IDEA), JDBC, SQL; Опыт написания серверных java-приложений или сервлетов; Опыт работы с какой-либо системой контроля версий (svn, cvs, git); Опыт (возможно начальный) работы с клиент-серверными базами данных; Понимание работы *NIX-систем; Готовность к сопровождению унаследованного кода, умение тестировать собственнный код; Знания сетевых протоколов и настройки терминального доступа.  Условия:  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Знание Java (Eclipse, IDEA), JDBC, SQL. Опыт написания серверных java-приложений или сервлетов. Опыт работы с какой-либо системой контроля...;Разработка программного обеспечения. Написание микросервисов и сервисов в рамках серверов приложений.;"Java;SVN;SQL;MS SQL;JDBC;Eclipse;Intellij IDEA;Git";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1
