;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;C#;Git;.NET Framework;SQL;ASP.NET;JavaScript;MS SQL;C++;MVC;ООП;Другие навыки
0;2;33940776;.NET C# Разработчик / .NET C# Developer Norway;Москва;9;10;PaleBlue;0.0;Норвежская компания PaleBlue ищет опытных C# разработчиков для переезда в Норвегию и участия в проекте разработки системы отображения городской инфраструктуры и зданий. PaleBlue - ведущий мировой разработчик симуляторов-тренажеров для крупных промышленных компаний, включая VR симуляторы-тренажеры для NASA. Обязанности:  Разработка хранения и обработки 3D-данных, взаимодействие с фронт-эндом Анализ требований Выполнение исследований и оценки технологий Работа в команде  Требования:  Разговорный английский Знание и опыт работы с Microsoft Azure и Microsoft SQL Server Желателен опыт разработки хранения и обработки 3D-данных Преимуществом будет знание BIM, Building Information Model  Условия:  Работа в Норвегии, город Ставангер Помощь в релокации Зарплата по результатам собеседования Перспективы и потенциал для профессионального развития  О компании и проекте:  Компания PaleBlue -- ведущий разработчик симуляторов и программных систем для энергетической отрасли. Головной офис находится в городе Ставангер, Норвегия. Технологии PaleBlue включают в себя 2D тач-панели, 3D графику, системы виртуальной реальности, веб- и десктоп-системы. ;  Работа в Норвегии, город Ставангер Помощь в релокации Зарплата по результатам собеседования Перспективы и потенциал для профессионального развития  О компании и проекте:  Компания PaleBlue -- ведущий разработчик симуляторов и программных систем для энергетической отрасли. Головной офис находится в городе Ставангер, Норвегия. Технологии PaleBlue включают в себя 2D тач-панели, 3D графику, системы виртуальной реальности, веб- и десктоп-системы. ;Разговорный английский. Знание и опыт работы с Microsoft Azure и Microsoft SQL Server. Желателен опыт разработки хранения и обработки 3...;Разработка хранения и обработки 3D-данных, взаимодействие с фронт-эндом. Анализ требований. Выполнение исследований и оценки технологий. ;"C#;MS SQL Server;.NET Framework;MS Azure;BIM;3D;Entity Framework;ООП;MS SQL;SQL;Backend;Back-end;3D-графика";0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1
1;66;33825412;Ведущий программист C++;Казань;7;8;Тензор;0.8333333333333334;"Тензор – это крупная российская IT-компания. Наш основной продукт СБИС–сеть деловых коммуникаций. СБИС позволяет решать в одной программе все задачи современной компании: сдавать отчетность, обмениваться документами, проверять партнеров и искать торги, общаться через видеозвонки и вебинары и многое другое. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. Позиция ведущего программиста предполагает не просто кодирование, а управление кодом, проектирование архитектуры систем. Причем не только и не столько своими руками, сколько руками команды (от трех до десяти человек). Вы сможете попробовать применить на практике любые методики управления, но от вас всегда будет требоваться результат. Чтобы руководить разработкой вы должны быть сами отличным разработчиком. И всегда стремится изучать новое. Задавать себе вопрос: “Как сделать еще лучше?” …   Мы ждем от Вас:  Знания в области C++ ; SQL Понимание принципов ООП; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой;  Мы предлагаем:  Интересные задачи, работа с BigData (анализ, получение, хранение); Хороший, дружный коллектив; Собственную группу разработчиков для реализации поставленных задач. Официальное трудоустройство по ТК РФ; Премии по результатам работы; ДМС после года работы в компании; Курсы английского языка; Компенсация занятий спортом; Уютный, современный офис в центре города. ";"  Интересные задачи, работа с BigData (анализ, получение, хранение); Хороший, дружный коллектив; Собственную группу разработчиков для реализации поставленных задач. Официальное трудоустройство по ТК РФ; Премии по результатам работы; ДМС после года работы в компании; Курсы английского языка; Компенсация занятий спортом; Уютный, современный офис в центре города. ";"Знания в области C++ ; SQL. Понимание принципов ООП. Желание и умение писать красивый, структурированный, системный код. Опыт и желание руководить...";Интересные задачи, работа с BigData (анализ, получение, хранение).;"C#;Git;.NET Framework;SQL;ASP.NET";0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
2;47;34212457;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;4;6;Аналитические решения;0.0;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; Возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript;Git;ASP.NET;MS SQL;C#;SQL;MVC;RabbitMQ;PostgreSQL;Высоконагруженные системы;Микросервисы;KAFKA;Python;NET Core;Vue.js";0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1
3;48;34211760;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;4;6;ОТС;0.0;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript;Git;MS SQL;PostgreSQL;C#;MVC;ASP.NET;SQL;KAFKA;Высоконагруженные системы;Микросервисы;Python";0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1
4;49;34185586;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Ростов-на-Дону;4;6;ОТС;0.03333333333333333;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы и иногда работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Комфортный офис в центре города; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома при необходимости; Отсутствие дресс-кода.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript;Git;MS SQL;PostgreSQL;C#;MVC;ASP.NET;SQL;KAFKA;Высоконагруженные системы;Микросервисы;Python";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1
5;50;34085158;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Ростов-на-Дону;4;6;Аналитические решения;0.03333333333333333;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы и иногда работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Комфортный офис в центре города; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома при необходимости; Отсутствие дресс-кода; Возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js     ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript;Git;ASP.NET;MS SQL;C#;SQL;MVC;RabbitMQ;PostgreSQL;Высоконагруженные системы;Микросервисы;KAFKA;Python;NET Core;Vue.js";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1
6;28;34194952;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Самара;4;6;ОТС;0.03333333333333333;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript;Git;MS SQL;PostgreSQL;C#;MVC;ASP.NET;SQL;KAFKA;Высоконагруженные системы;Микросервисы;Python";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1
7;91;25931766;Ведущий программист С# (Unity 3D)/ Lead разработчик;Ростов-на-Дону;5;6;Craft Games - разработка и продвижение игр для мобильных устройств;0.0;"Приглашаем в нашу команду Ведущего программиста С# (Unity 3D)/ Lead разработчика для руководства разработкой мобильной игры (мобильный мультиплеерный шутер). Требования к кандидату:   Отличное знание C#, Unity;   Коммерческий опыт разработки мобильных игр от 3 лет, ведущим программистом/лидом от года;   Знание структур данных и алгоритмов обработки данных;   Практические знания DI, IoC, DI-контейнеры (zenject, ninject), GoF;   Умение разбираться в чужом коде;   Умение работать с различными системами контроля версий (Git, SVN, Mercurial);   Знания паттернов проектирования.   Задачи:   Разработка игр на unity3d (C#);   Проработка механик в тесном сотрудничестве с гейм-дизайнером;   Разработка архитектуры и механик игры (игра на Unity);  Руководство командой разработки (3 программиста); Code review.  Условия работы:  Участие в разработке интереснейшего проекта; Оформление по ТК, полный социальный пакет; Уровень дохода высокий, определяется индивидуально по результатам собеседования, с максимальным учетом ваших ожиданий; Бесплатные курсы английского языка; Вакансия открыта в г. Ростов-на-Дону, рассматриваем кандидатов, готовых к переезду, оказываем помощь в релокации; Рассматриваем кандидатов, готовых к удаленной работе; Работает система бонусов за успешную рекомендацию.     ";;Коммерческий опыт разработки мобильных игр от 3 лет, ведущим программистом/лидом от года. Знание структур данных и алгоритмов обработки данных. ;...тесном сотрудничестве с гейм-дизайнером. Разработка архитектуры и механик игры (игра на Unity). Руководство командой разработки (3 программиста). Code review.;"С#;Unity;Git";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
8;97;31063242;Программист C/С++;Екатеринбург;6;6;RU Hunters;0.4666666666666667;"Приглашаем в бомбическую компанию программиста С/С++. Работодатель, на самом деле, потрясающий. Очень жду Ваше резюме! Требования:  Опыт программирования на C/C++; опыт в схемотехнике, электронике, аналоговой схемотехнике. Опыт в создании ПО для микроконтроллеров и встраиваемых систем. Знание ЕСПД, ЕСКД и умение оформлять соответствующую программную документацию. Работа с ГОСТами и другой нормативной документацией Знание Altium Designer    Обязанности:  Серийное сопровождение . Включение в ход разработки нового прибора. Устранение замечаний требований стандартов для разработчика медицинского оборудования.    Условия:  Официальное трудоустройство Белая, как первый снег зимой, заработная плата ДМС Дотация на питание Праздники, подарки, приятные бонусы Корпоративная сотовая связь Дополнительные дни к отпуску Комфортное рабочее место Адекватный руководитель Отличный коллектив ";  Официальное трудоустройство Белая, как первый снег зимой, заработная плата ДМС Дотация на питание Праздники, подарки, приятные бонусы Корпоративная сотовая связь Дополнительные дни к отпуску Комфортное рабочее место Адекватный руководитель Отличный коллектив ;"Опыт программирования на C/C++; опыт в схемотехнике, электронике, аналоговой схемотехнике. Опыт в создании ПО для микроконтроллеров и встраиваемых систем. ";Серийное сопровождение . Включение в ход разработки нового прибора. Устранение замечаний требований стандартов для разработчика медицинского оборудования.;"C#;Git;.NET Framework;SQL;ASP.NET";0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
9;11;30057134;Программист-разработчик С++;Казань;6;6;Бизнес-Партнер;0.0;Обязанности:  Разработка программного продукта на С ++ Программирование нового функционала, проектирование и рефакторинг существующего кода Проведение тестирование, разработка интеграционных и unit тестов    Требования:  Опыт разработки на С++  Уверенное и глубокое знание С++  Практический опыт написания юнит-тестов Опыт ТDD - большое преимущество Понимание шаблонов проектирования ПО и умение применять их на практике Понимание методов параллельного программирования Умение писать код, принятый другими участниками команды Умение оптимизировать производительность системы и быстро локализовать ошибки Знание английского языка    В резюме укажите примеры Вашего кода на С# или ссылку на github   Условия:  Работа в крупной, уникальной IT компании Один из проектов, которыми занимается Компания - это создание уникальной открытой модульной платформы. представляющей полноценную электронную систему, миниатюризированную до размера электронного чипа (SoC - System on Chip), к которой можно подключить большое количество сенсоров, и которая способна сохранить в себе необходимое количество информации в случае внеплановой изоляции от внешнего мира, чтобы в момент восстановления связи беспроводным способом передать накопленную и считываемую информацию на мобильный телефон, BLE / Wi-Fi передатчик и / или в облачную базу данных. Полный рабочий день Возможность профессионального и должностного роста Возможность работы над уникальной технологией ;  Работа в крупной, уникальной IT компании Один из проектов, которыми занимается Компания - это создание уникальной открытой модульной платформы. представляющей полноценную электронную систему, миниатюризированную до размера электронного чипа (SoC - System on Chip), к которой можно подключить большое количество сенсоров, и которая способна сохранить в себе необходимое количество информации в случае внеплановой изоляции от внешнего мира, чтобы в момент восстановления связи беспроводным способом передать накопленную и считываемую информацию на мобильный телефон, BLE / Wi-Fi передатчик и / или в облачную базу данных. Полный рабочий день Возможность профессионального и должностного роста Возможность работы над уникальной технологией ;Опыт разработки на С++. Уверенное и глубокое знание С++. Практический опыт написания юнит-тестов. Опыт ТDD - большое преимущество. ;Разработка программного продукта на С ++. Программирование нового функционала, проектирование и рефакторинг существующего кода. Проведение тестирование, разработка интеграционных и unit...;"C#;Git;.NET Framework;SQL;ASP.NET";0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
