;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Python;PostgreSQL;Git;Django Framework;ООП;СУБД;MySQL;SQL;back end;Веб-программирование;Другие навыки
0;1;33961663;Программист Python (Middle);Санкт-Петербург;5;5;Энерджи Софт;0.0;"Совместно с норвежской Fintech-компанией, базирующейся в Бергене, ищем в команду Python разработчика. Основа бизнеса: услуги и продукты в сфере инвестиций. Клиентами являются крупные европейские банки (в первую очередь скандинавских стран), управляющие компании и частные инвесторы. Посредством открытых API и алгоритмов машинного обучения мы расширяем возможности наших инвестиционных компонентов для партнеров, чтобы предоставить их клиентам разные инструменты - от автоматических недорогих портфелей сбережений до сложных инвестиционных стратегий, обычно предназначенных для физических лиц HNW. В конечном счете, мы стремимся демократизировать создание материальных ценностей, предлагая сложные финансовые консультации для всех. Наша команда состоит из специалистов, предпринимателей, трейдеров и разработчиков PhD. Схема работы выглядит примерно так:   Мы покупаем информацию у различных партнеров-поставщиков (данные о ежедневных котировках и другие финансовые показатели);   DataScientist выбирает методики и разрабатывает алгоритмы для первичной обработки и подготовки полученных данных;   Разработчик интегрирует эти алгоритмы и методики в существующий процесс, т.н. Pipeline;   Pipeline - это почти полностью автоматизированный многоэтапный процесс обработки и подготовки данных, который состоит из инфраструктуры (серверы, хранилища) и логики (скрипты на Python);   На выходе из Pipeline мы имеем “готовые” данные, представленные в удобной форме для дальнейшей работы финансовых аналитиков.   Также нами разработаны:   Robo-adviser, помогающий неопытным инвесторам принимать решение о том, куда и сколько инвестировать;   Веб-приложение, предоставляющее удобный интерфейс для работы с нашими данными на более “низком” уровне. Инструмент для продвинутых специалистов в области финансов;   Бэкенд-система, осуществляющая “тяжелые” расчеты в фоновом режиме (rabbitmq, celery).   Мы ищем в команду специалиста для работы в первую очередь над Pipeline-ом. Для этого требуется:   Хорошее знание языка и экосистемы Python;   Хорошее знание структур данных и алгоритмов эффективной обработки (поиск, трансформация);   Очень желательно иметь опыт работы с пакетом pandas;   Умение работать с инфраструктурой на уровне продвинутого пользователя (windows, linux shell). В команде есть выделенные DevOps infrastructure инженеры, но они занимаются более глубокой настройкой и поддержкой;   Владение английским на разговорном уровне для общения с иностранными коллегами.   Предпочтительно:   Знание платформы Azure (виртуальные серверы, хранилища) и опыт работы с различными облачными сервисами;   Опыт построения сложных, устойчивых систем.   Условия:  Возможность присоединиться к одной из самых интересных FinTech-компаний Норвегии; Гибкий график; Корпоративный английский язык; Трудоустройство согласно ТК РФ. ";"  Возможность присоединиться к одной из самых интересных FinTech-компаний Норвегии; Гибкий график; Корпоративный английский язык; Трудоустройство согласно ТК РФ. ";Хорошее знание языка и экосистемы Python. Хорошее знание структур данных и алгоритмов эффективной обработки (поиск, трансформация). Очень желательно иметь опыт...;Мы покупаем информацию у различных партнеров-поставщиков (данные о ежедневных котировках и другие финансовые показатели). DataScientist выбирает методики и разрабатывает...;Python;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;10;34259347;Python разработчик;Казань;4;4;АТРАКС ТРЕЙД;0.03333333333333333;Набираем в команду Python разработчиков на фуллтайм (удалёнка). О нас:Мы предлагаем SaaS решение для автоматизации логистики на предприятиях и на сегодня Атракс один из лидеров рынка. Среди заказчиков как крупные федеральные компании, так и небольшие производства.(Мы не занимаемся разработкой сторонних проектов на заказ.) Проект очень живой, активно развивается и планов огромное количество.Для обеспечения поддержки клиентов есть офис в Набережных Челнах (Татарстан), разработчиков там нет, а вот клиентский отдел и продажники сидят именно там. Команда разработки у нас небольшая. Все работают удаленно, все на виду.Так что если вы ищете уютный междусобойчик, без бюрократии, вам сюда. Legacy есть, но мы с ним боремся. Изначальный 2.7 питон, например, обновили до третьего. И чем больше у нас будет ресурсов в виде светлых голов, тем успешнее будет наша борьба несмотря на размеры проекта. Наши ожидания от разработчика:  мидл+. Отвлекать ребят на менторство для юниоров возможности нет. знание английского, хотя бы на уровне свободного чтения тех литературы рабочее отношения к документации, сначала документация - только потом гугл и стэковерфлоу использование git должно быть естественным опыт Python/Django от трех лет хорошее понимание реляционных субд (у нас PostrgeSQL). Индексы, транзакции, SQL в обход ORM в порядке вещей. Если Pl/pgSQL, совсем хорошо. желание и понимание необходимости писать тесты умение работать с Docker. Продвинутых навыков Devops-а не ожидаем, но будем очень рады знание javascript приветствуется, фреймворки тоже хорошо (у нас есть vue, хоть и не везде), но если вы ориентированы только на бэкенд, это не обязательно.  Сейчас нам нужно обеспечить активный рост, так что задач много и для разработчиков, ориентированных только на бэкенд, и для fullstack-специалистов. Очень нужны светлые головы и надежные руки.Зарплата от 90 до 140.График можно согласовать в зависимости от вашего часового пояса и привычек, главное, чтобы он был стабильным и было 2-3 часа пересечения с московским. Меня зовут Катерина, я руковожу разработкой, ставлю задачи. Живу в Казани.Если вам интересно наше предложение, жду резюме и немного общей инфы о себе.;;Знание английского, хотя бы на уровне свободного чтения тех литературы. Рабочее отношения к документации, сначала документация - только потом гугл и...;Меня зовут Катерина, я руковожу разработкой, ставлю задачи. Живу в Казани.;"Python;Django Framework;PostgreSQL;Git;Английский язык";0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1
2;61;34227314;Python программист (Junior);Тюмень;1;3;Строительный Двор;0.06666666666666667;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт работы от 1+ года в разработке Python, или других языках; практический опыт работы с операционными системами семейства *nix; опыт использования какой-либо реляционной СУБД (MySQL, Postgre SQL, SQL Server, Oracle); использование тестов в процессе разработки, покрытие своего кода тестами; работа в команде разработчиков.  Обязанности:  качественное и своевременное исполнение задач web-проекта и непосредственного руководителя; поддержка и доработка уже существующих сайтов; разработка концепции развития веб-сервера; оптимизация БД и запросов‚ сопровождение существующего кода.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; график работы 5/2; система наставничества; официальное трудоустройство; современный классный офис; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; график работы 5/2; система наставничества; официальное трудоустройство; современный классный офис; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";...СУБД (MySQL, Postgre SQL, SQL Server, Oracle). Использование тестов в процессе разработки, покрытие своего кода тестами. Работа в команде разработчиков.;Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб...;"Python;Django Framework;СУБД;PostgreSQL";1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0
3;98;29974997;Python программист (middle);Тюмень;2;3;Строительный Двор;0.3333333333333333;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт работы от 2+ года в разработке Python, или других языках; практический опыт работы с операционными системами семейства *nix; опыт использования какой-либо реляционной СУБД (MySQL, Postgre SQL, SQL Server, Oracle); использование тестов в процессе разработки, покрытие своего кода тестами; работа в команде разработчиков.  Обязанности:  качественное и своевременное исполнение задач web-проекта и непосредственного руководителя; поддержка и доработка уже существующих сайтов; разработка концепции развития веб-сервера; оптимизация БД и запросов‚ сопровождение существующего кода.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";...СУБД (MySQL, Postgre SQL, SQL Server, Oracle). Использование тестов в процессе разработки, покрытие своего кода тестами. Работа в команде разработчиков.;Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб...;"Python;MySQL;SQL;ORACLE;СУБД";1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1
4;71;33385705;Python разработчик (Middle);Тюмень;3;3;Строительный Двор;0.1;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт коммерческой разработки на языке Python от 2-х лет; практический опыт работы с операционными системами семейства *nix; опыт работы с реляционными СУБД (в приоритете PostgreSQL), умение писать сложные запросы и оптимизировать их, понимание что такое материализованные представления и с чем их едят; опыт проектирования высоконагруженных сервисов, понимание принципов их построения; уверенное знание парадигмы ООП и паттернов проектирования; опыт работы с Celery, Redis, Rabbit и умение их настроить; опыт работы с Django / Flask / aiohttp; умение применять асинхронные / многопоточные подходы в разработке; умение правильно настроить кэш; опыт в сфере DevOps (мы используем Kubernetes, GitLab CI).  Обязанности:  качественное и своевременное исполнение задач web-проекта; поддержка и доработка уже существующих сайтов; оптимизация БД и запросов‚ сопровождение существующего кода.  Бонусы:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";;Опыт коммерческой разработки на языке Python от 2-х лет. Практический опыт работы с операционными системами семейства *nix. ;Качественное и своевременное исполнение задач web-проекта. Поддержка и доработка уже существующих сайтов. Оптимизация БД и запросов‚ сопровождение существующего кода.;"PostgreSQL;Python;Django;Flask;DevOps;Kubernetes;GitLab CI;Celery;Redis;RabbitMQ;ООП";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1
5;56;33474960;Python developer (Middle) / Python разработчик;Казань;2;2;Raccoon Studio;0.06666666666666667;"Обязанности:  Программирование на языке Python; БД SQL; PostgreSQL.  Требования:  Уверенное знание Python, всех его особенностей и подводных камней; Опыт работы с фреймворками для создания REST API Знание и понимание концепции RESTful API Знание ООП Понимание и построение бизнес-логики проектов Умение закладывать архитектуру с расчётом на её будущее расширение или изменение Умение оптимизировать тяжёлые запросы и алгоритмы Опыт работы с базами данными(MySQL/PostgreSQL/MongoDB)  ... а также:  умение работать в команде; активная жизненная позиция; Пунктуальность; Ответственность; Опыт работы желателен, но не обязателен; Целеустремленность; Коммуникабельность; Обучаемость/  Условия:  Официальное трудоустройство; Карьерный рост; 5-дневная рабочая неделя; Гибкий рабочий график; Офис в центре города; Достойную конкурентную заработную плату; Сформированную команду и четкие задачи в работе. ";"  Официальное трудоустройство; Карьерный рост; 5-дневная рабочая неделя; Гибкий рабочий график; Офис в центре города; Достойную конкурентную заработную плату; Сформированную команду и четкие задачи в работе. ";Уверенное знание Python, всех его особенностей и подводных камней. Опыт работы с фреймворками для создания REST API. Знание и понимание...;Программирование на языке Python. БД SQL. Умение закладывать архитектуру с расчётом на её будущее расширение или изменение.;"Разработка ПО;Python;back end;Веб-программирование;Git;Oracle Pl/SQL;ООП";0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;1
6;46;28225940;Программист Python (прикладная математика);Ростов-на-Дону;1;1;ЗАЗЕКС;0.06666666666666667;"Программист Python (прикладная математика) Наша компания занимается предоставлением полного спектра услуг по разработке ПО для заказчиков со всего мира. Компания состоит из двух офисов – девелоперский центр в Ростове-на-Дону (он же головной офис) и офис продаж в Мельбурне, Австралия. Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна.   Мы приглашаем на работу Программиста Python в отдел математического прикладного программирования в головной офис в Ростове-на-Дону.   Требования:  знания и опыт разработки Python (2 или 3, знание отдельных версий и понимание различий приветствуется); опыт работы с различными научными и специализированными пакетами (numpy, scipy, matplotlib, pandas); работа на различных версиях среды разработки не должна представлять для вас проблем; знание базовых алгоритмов и структур данных, понимание принципов оценки эффективности алгоритмов; приветствуются базовые знания в одной или нескольких из следующих областей:- машинное зрение, обработка изображений;- обработка текстов на естественных языках;- машинное обучение;- обработка сигналов;- математическое моделирование. желание развиваться в области прикладной математики, машинного обучения и программирования; умение быстро искать информацию в интернете; умение разбираться в чужом коде; английский на уровне чтения профессиональной литературы (по математике и программированию), а также написания технической документации; желательно наличие примеров написанных программ; ответственность; обучаемость; умение работать в команде.    Будет плюсом, если вы:  знакомы с другими языками программирования или математическими пакетами (R, Matlab, C++, C#); имеете опыт работы с базами данных и знаете, что такое SQL; знакомы хотя бы на уровне пользователя с операционной системой linux; имеете опыт работы в команде и опыт использования программных сред для этого; имеете желание не останавливаться на достигнутом и хотите изучить другие языки программирования и технологии.    ​​​​Условия:  оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; подвозка к месту работы/домой для жителей ЗЖМ; свой повар + своя столовая; большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR, Sega Mega Drive 2‚ турник‚ брусья‚ электрогитара‚ басуха‚ пианино, свежий воздух); массажное кресло Yamaguchi Ya-6000; офис вблизи транспортной развязки Квадро; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; все вышеперечисленное - правда. ";"  оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; подвозка к месту работы/домой для жителей ЗЖМ; свой повар + своя столовая; большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR, Sega Mega Drive 2‚ турник‚ брусья‚ электрогитара‚ басуха‚ пианино, свежий воздух); массажное кресло Yamaguchi Ya-6000; офис вблизи транспортной развязки Квадро; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; все вышеперечисленное - правда. ";Знания и опыт разработки Python (2 или 3, знание отдельных версий и понимание различий приветствуется). Опыт работы с различными научными...;Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна. - ;"Python;MATLAB;C++;Математический анализ;Математическое моделирование;Математическое программирование;Математическая статистика";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
7;52;34106190;Python-разработчик;Екатеринбург;2;0;JetStyle;0.03333333333333333;"Нам в команду требуется еще один python-разработчик. Сейчас работать предстоит с двумя e-commerce проектами, в дальнейшем — разработка с нуля других сервисов.   Требования к кандидатам:  Python 3, опыт работы с Django, Flask или любым другим фреймворком; знание ООП (желательно представлять, что такое SOLID); умение работать с базами данных, составлять запросы из нескольких таблиц (также желательно представлять, что такое уровни изоляции транзакций, как ими пользоваться); умение работать с Git, знание Git Flow или аналогичных способов командной работы над проектом; умение работать с Nginx (и/или Apache); уверенная работа в командной строке linux.  Большим плюсом будет:  знание REST; опыт разработки API; умение выбирать наиболее предпочтительный алгоритм по его асимптотической сложности; знание основных структур данных, применяемых «под капотом» языков программирования и баз данных; знание паттернов проектирования и умение их применять.  От нас:  полная занятость и работа над крупными проектам; заработная плата по результатам собеседования, она всегда обсуждается и зависит исключительно от уровня компетенций; официальное трудоустройство; профессиональная команду и обучение внутри компании; офис в центре города, БЦ Высоцкий и 29 этаж; кофе и другие плюшки)    Заинтересовала вакансия? Присылайте свое резюме, будем знакомиться)";;Python 3, опыт работы с Django, Flask или любым другим фреймворком. Знание ООП (желательно представлять, что такое SOLID). ;Сейчас работать предстоит с двумя e-commerce проектами, в дальнейшем — разработка с нуля других сервисов.;"Python;PostgreSQL;Git;Django Framework;ООП";0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
8;39;33914607;Python разработчик;Казань;2;3;Mircod;0.0;Компания Mircod занимается разработкой комплексных IoT решений для различных сфер деятельности, включающих в себя электронные гаджеты, мобильные и Web приложения, а также облачные сервисы. Приглашаем присоединиться к нашей амбициозной команде опытного и такого же амбициозного разработчика.   Обязанности:  Разработка и поддержка собственной высоконагруженной модульной Web-платформы для поддержки бизнес-процессов клиентов, построенной на стеке технологий Python и Django Разработка Back-end и API для высоконагруженных сервисов и мобильных приложений Участие в принятии архитектурных решений  Требования:  Отличный опыт языка Python, желательно еще JavaScript Опыт работы со стеком технологий:  Django / Flask PostgreSQL или MongoDB Rest API JSON WebSocket Git Большим плюсом будет опыт разработки Front-end   Понимание принципов построения веб-приложений Широкий кругозор в области IT-технологий Умение работать в команде Качественный код  Условия:  Работа над интересными проектами Уютный офис в центре Казани Дружный и высококвалифицированный коллектив Перспективы карьерного роста и профессионального развития в молодой компании Тренажерный зал в здании офиса для сотрудников Бесплатные занятия английским Обилие различных вкусностей для поддержания тонуса ;  Работа над интересными проектами Уютный офис в центре Казани Дружный и высококвалифицированный коллектив Перспективы карьерного роста и профессионального развития в молодой компании Тренажерный зал в здании офиса для сотрудников Бесплатные занятия английским Обилие различных вкусностей для поддержания тонуса ;Отличный опыт языка Python, желательно еще JavaScript. Опыт работы со стеком технологий: Django / Flask. PostgreSQL или MongoDB. Rest API. JSON. ;Разработка и поддержка собственной высоконагруженной модульной Web-платформы для поддержки бизнес-процессов клиентов, построенной на стеке технологий Python и Django. ;"PostgreSQL;JavaScript;MongoDB;Git;back end;Python;Django Framework";0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1
9;55;34004579;Python разработчик;Омск;4;0;Ingate;0.0;Компания Ingate в поисках Python разработчика Холдинг Ingate входит в тройку российских лидеров в сфере интернет-маркетинга и информационных технологий. Уже более 18 лет наша компания предоставляет качественные услуги и использует новейшие методы в области поискового продвижения, рекламы в социальных сетях и интернет-маркетинга для компаний и брендов с мировым именем. В штате холдинга работает более 700 профессионалов. Компания имеет 3 офиса: в Москве, Санкт-Петербурге, и головной – в Туле. Обязанности:  Проектирование и реализация программных систем Доработка, отладка и оптимизация существующих программ Анализ и решение сложных технических проблем  Требования:  Знание Python и опыт разработки на нем от 2 лет Желательно знание базовых структур данных и операций над ними Желателен опыт работы с Django, Tornado, Flask, Falcon  Условия:  Рассматриваем вариант удаленного сотрудничества. Также возможна работа в любом из 3х офисов компании - Тула (в случае готовности к переезду, помогаем со съемом жилья - оплачиваем первые три месяца), Москва и Санкт-Петербург ЗП: 70 000 фикс оклад + премия за КPI (от 30 000) - на период исп. срока 3 месяца и основной период – принцип расчета оклада и бонуса не меняется. Стабильная, надёжная ИТ-компания (18 лет на рынке), лидеры рынка (в тройке в сфере интернет-маркетинга в России). Прогрессивные технологии, гибкое и разумное применение основного и дополнительного стека и методологии Agile. Интересные, сложные, востребованные на рынке проекты (высоконагруженные интернет-сервисы для продвижения в поиске и не только). Самодостаточные команды: программисты, разработчики, тим-лиды, тестировщики, проектировщики интерфейсов, менеджеры проектов – весь необходимый набор спецов. Система грейдов внутри отдела, индивидуальные планы развития сотрудников, наставничество, возможность вырасти до ведущего разработчика (120-130 000 руб) и далее до архитектора. Обучение за счет компании (наша собственная программа развития сотрудников + внешнее обучение).  Ждем тебя в нашей команде!;  Рассматриваем вариант удаленного сотрудничества. Также возможна работа в любом из 3х офисов компании - Тула (в случае готовности к переезду, помогаем со съемом жилья - оплачиваем первые три месяца), Москва и Санкт-Петербург ЗП: 70 000 фикс оклад + премия за КPI (от 30 000) - на период исп. срока 3 месяца и основной период – принцип расчета оклада и бонуса не меняется. Стабильная, надёжная ИТ-компания (18 лет на рынке), лидеры рынка (в тройке в сфере интернет-маркетинга в России). Прогрессивные технологии, гибкое и разумное применение основного и дополнительного стека и методологии Agile. Интересные, сложные, востребованные на рынке проекты (высоконагруженные интернет-сервисы для продвижения в поиске и не только). Самодостаточные команды: программисты, разработчики, тим-лиды, тестировщики, проектировщики интерфейсов, менеджеры проектов – весь необходимый набор спецов. Система грейдов внутри отдела, индивидуальные планы развития сотрудников, наставничество, возможность вырасти до ведущего разработчика (120-130 000 руб) и далее до архитектора. Обучение за счет компании (наша собственная программа развития сотрудников + внешнее обучение).  Ждем тебя в нашей команде!;Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. ;Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем.;"Python;PostgreSQL;Git;Django Framework;ООП";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
