;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
50;34085080;Senior asp.net developer (Ведущий asp.net разработчик/ C#);Москва;150000.0;300000.0;Аналитические решения;2019-10-18T08:40:35+0300;От 3 до 6 лет;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы и иногда работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов, бесплатные чай / кофе; Место в основном составе волейбольной команды OTC.RU; Комфортный и креативный офис в БЦ А класса (м. Нагатинская); Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома при необходимости; Отсутствие дресс-кода.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js     ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js"
59;33959291;JavaScript/JS разработчик;Москва;150000.0;300000.0;Zoon.ru;2019-10-17T09:19:13+0300;От 3 до 6 лет;Полный день;Полная занятость;"О нас Мы IT-компания, миссия которой — облегчить жизнь локальному бизнесу. У нас есть большой проект, внутри которого много сложных задач: мы улучшаем сайт zoon, его мобильную версию, личный кабинет для предпринимателей, CRM для сотрудников и многое другое. Мы не только используем существующие решения, но часто придумываем и внедряем новые. Компания ZOON — компания, которая помогает развиваться локальному бизнесу в России и СНГ. Мы решаем задачи в двух больших сферах: B2B и B2C. Предпринимателям даем все инструменты для продвижения, приводим клиентов, формируем подробную и понятную статистику. Пользователям помогаем выбирать лучшие заведения. Команда В команде frontend-разработки ZOON работают 5 разработчиков разного уровня. Задачи разработчиков описывает тимлид, который получает их напрямую от продуктовых команд: B2B, B2C и монетизации. Сейчас количество интересных и сложных задач увеличилось и нам не хватает опытного специалиста, который смог бы поддерживать существующие проекты в рамках продуктовых задач, развивать и улучшать frontend-часть сайта, а также делиться своей экспертизой с командой. Что предстоит делать:   Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов;   Разрабатывать компоненты на Vue;   Писать современный JavaScript код;   Проводить рефакторинг существующих проектов;   Участвовать в проектах с налаженными процессами разработки;   Для нас главное — желание быстро и качественно решать задачи, улучшать продукт и любить то, что делаешь.   От нашего кандидата ожидаем:   JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7;   Знать принцип работы REST-приложения;   Опыт написания Unit тестов;   Опыт работы с Git или другими системами контроля версий;   Владение навыками оптимизации загрузки страницы, в т.ч. решения проблем с reflow и repaint;   Способность работать в команде и высокие коммуникативные навыки;   Умение расставлять приоритеты и самостоятельно доводить задачи до финальной стадии;   Уверенное владение и хороший опыт работы хотя бы с двумя MV*-фреймворками (React.js, Vue.js, AngularJS, Ember.js, Backbone.js, Knockout.js и т.д.);   Базовые знания PHP, четкое понимание принципов ООП.   Что мы можем предложить:   официально оформляем с первого дня работы, выплачиваем полностью белую зарплату. Ее размер зависит от ваших навыков;   обращаемся друг к другу на «ты», ходим на работу в удобной одежде, по утрам едим полезные завтраки, на обед — свежие фрукты и овощи;   оплачиваем половину стоимости ДМС, частично компенсируем стоимость парковки в БЦ «Линкор» и ТРЦ «Авиапарк»;   компенсируем посещение профильных конференций и курсов, предлагаем корпоративные скидки на изучение английского языка в Skyeng;   собираем полезные книги в офисе и даем доступ к электронной библиотеке «Манн, Иванов и Фербер»;   компенсируем 15 тыс. рублей для тех, кто работает в Зуне больше трех месяцев и арендует жилье в 30 минутах ходьбы от офиса. Выплачивать эту сумму будем каждый месяц;   частично компенсируем покупку карты в одном из фитнес-клубов: «Зебра» на улице Красноармейская, «Come on Gym» в ТРЦ «Авиапарк» и «Палестра Sport»;   в офисе есть настольный футбол, дартс и PlayStation 4;   каждый из нас увлечен работой, но мы умеем хорошо отдыхать: отмечаем дни рождения коллег и другие праздники, два раза в год подводим итоги работы и веселимся на больших корпоративах.  ";;JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7. ;Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов. Разрабатывать компоненты на Vue. Писать современный JavaScript код. ;"JavaScript; AngularJS; Git; ООП; REST"
49;33895815;Front-end React/Angular Developer;Москва;200000.0;300000.0;Soshace;2019-10-18T09:54:41+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
20;33895806;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-10-18T09:54:19+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
44;33994354;Программист 1С;Москва;160000.0;260000.0;Alcon Group;2019-10-18T09:29:12+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности:  Внедрение и поддержка систем бухгалтерского и налогового учета, управленческого учета, зарплаты и управление персоналом (УСО 2.4, ЗУП 8.3). Осуществление программного сопровождения и доработки существующего функционала баз данных в конфигурациях на базе 1С: 1С ERP УСО 2.4, УКФ 8.2, ЗУП 8.3, в соответствии с потребностями компании. Подготовка технических заданий для специалистов компаний-разработчиков программных продуктов в соответствии с потребностями компании. Настройка планов обслуживания БД, резервного копирования. Консультация пользователей по вопросам 1С. Осуществление взаимодействия с бухгалтерией, отделом корпоративного финансирования, департаментом основного строительства, отделом персонала по вопросам работы с программой 1С.  Требования:  Высшее профессиональное образование. Опыт работы от 5 лет. 1С: Специалист Платформа 8, УКФ 8.2, 1С ERP УСО 2.4 1С: Зарплата и управление персоналом 8.3  Условия:  Оформление в полном соответствии с трудовым законодательством. Белая заработная плата. Полный рабочий день. Офис в 5 минутах от ст. м.Сокол. ;  Оформление в полном соответствии с трудовым законодательством. Белая заработная плата. Полный рабочий день. Офис в 5 минутах от ст. м.Сокол. ;Высшее профессиональное образование. Опыт работы от 5 лет. 1С: Специалист Платформа 8, УКФ 8.2, 1С ERP УСО...;Подготовка технических заданий для специалистов компаний-<highlighttext>разработчиков</highlighttext> программных продуктов в соответствии с потребностями компании. Настройка планов обслуживания БД, резервного копирования. ;
12;33750077;Старший Web-разработчик .Net Core + Angular;Санкт-Петербург;180000.0;250000.0;Alloy Software Inc.;2019-10-18T16:24:15+0300;Более 6 лет;Полный день;Полная занятость;"Компания Alloy Software – ведущий разработчик программных решений для технической поддержки и управления IT-активами. Мы ищем старшего разработчика в отдел веб-разработки. Предполагается, что это опытный специалист, который будет вести разработку нового облачного решения, а также поддерживать уже существующие продукты компании. Требования:  Опыт работы с C# (.Net Core) Знание JavaScript Опыт работы с Angular = 2 Опыт работы с облачными платформами (предпочтительно AWS) Отличное знание принципов ООП, шаблонов проектирования Кандидат должен иметь 3 – 6 лет опыта проектирования и разработки приложений уровня Enterprise. Технический английский – intermediate low (reading)  Будет плюсом:  Опыт работы с SQL (T-SQL, PostgreSQL) Опыт работы с WebForms/MVC Опыт работы с JQuery, extJS Опыт вёрстки страниц HTML5, CSS3; Опыт разработки стилей с использованием LESS или SASS Опыт работы с Docker Понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции DDD  Обязанности:  Участие в проекте по разработке ПО в области IT Service Management, на Senior позиции. Поддержка работы приложений, сопровождение разработанного ПО Участие в проектировании архитектуры новых распределенных приложений Участие в составлении технической (не пользовательской) документации на разрабатываемое ПО Анализ требований к продукту, участие в их обсуждении Помощь другим разработчикам, контроль за общим качеством кода продукта Поддержка принятых в компании процедур разработки, отчеты о результатах Самому писать много хорошего кода  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ;"Опыт работы с C# (.Net Core). Знание JavaScript. Опыт работы с Angular &gt;= 2. Опыт работы с облачными платформами (предпочтительно AWS). ";Анализ требований к продукту, участие в их обсуждении. Помощь другим <highlighttext>разработчикам</highlighttext>, контроль за общим качеством кода продукта. Поддержка принятых в...;
23;33809410;Старший программист (gamedev);Санкт-Петербург;180000.0;250000.0;JoyCraft Games;2019-10-18T14:10:08+0300;От 3 до 6 лет;Полный день;Полная занятость;Компания JoyCraft Games ищет опытных программистов для разработки видеоигр мирового уровня. JoyCraft Games - это команда профессионалов, которые любят играть и создают настоящие хиты. Выпущенные нами продукты успели оценить миллионы игроков во всем мире. Наш стратегический партнер компания Creative Mobile с аудиторией более 500 млн. человек. Мы ищем разработчика, для работы на амбициозном проекте.   Требования к соискателю:  Опыт работы с Unity3D не менее года Хорошее знание C# и принципов ООП Уверенное знание основных алгоритмов и структур данных Опыт работы с системами контроля версий Английский язык (умение читать техническую документацию) Законченное высшее образование  Будет большим плюсом:  Участие в разработке уже изданной игры Хорошая математическая подготовка (линейная алгебра, аналитическая геометрия, матанализ, дискретная математика) Письменный/разговорный английский язык Знание C++, Java, Objective-C Опыт интеграции/написания игровых сервисов (реклама, аналитика и т.д.) Разговорный английский язык для участия в конференциях  Условия:  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;Опыт работы с Unity3D не менее года. Хорошее знание C# и принципов ООП. Уверенное знание основных алгоритмов и...;Участие в разработке уже изданной игры.;
77;33776535;Senior Full-Stack Developer (C#, MS-SQL, Javascript);Санкт-Петербург;180000.0;250000.0;TradeTheNews.com;2019-10-17T00:41:30+0300;Более 6 лет;Удаленная работа;Полная занятость;"Remote Senior Full-Stack Developer (C#, MS-SQL, Javascript)   Required work experience: more than 8 years, fluent oral English is obligatoryFull time, remote work from homeTradeTheNews.com - financial news analysis company, invites 2-3 new employees. Majority of people in our team speak two languages: Russian and English. That is a good opportunity to improve your skills of working on the challenging projects.Note: You will work directly with the company founder and his engineering team. The company works 24 hours/6 days a week and provide services to clients based in more than 100 countries all over the world. We are able to adjust to your working schedule, if will find a right candidate. You will work using the most modern technologies making outstanding and significant things for our grateful clients; youre going to cooperate with energetic, smart and goal-seeking technical specialists. Opportunity to work during the whole project life cycle.Required skills:  Experience in web development, including ASP.NET MVC and Webapi; Multi-threading development deep understanding; In-depth knowledge of modern JavaScript, including React framework; Experience with ElectronJS, including C#; Experience with modern HTML and CSS.  Bonus skills:  Experience with web real-time pushing technologies like websocket, SignalR; Experience with Elastic Search.  Required experience:  Professional development experience with .Net and C# language 5+ years of JavaScript  web-development Experience with relational database design and development (SQL, MSSQL) EDUCATION: Degree of computer science / higher mathematics or other natural science preferred, Master or PHD degree is welcomed. Fluent oral and written English is obligatory  Responsibilities:  Work in the group on a global level. You should be responsible, passionate and active person, who wants to be a part of an elite team in creation new solutions to change and reinvent the way the world works.    APPLY: If your skills match the requirements for this challenging opportunity, please send us your resume today! Please do not apply if you dont have the required experience.";;"5+ years of JavaScript &amp; web-<highlighttext>development</highlighttext>. Experience with relational database design and <highlighttext>development</highlighttext> (SQL, MSSQL). EDUCATION: Degree of computer...";;"C#; CSS; HTML; SPA frameworks; .NET Framework; SQL; MS SQL; Webapi; Typescript; ReactJS; websocket; JavaScript; ASP.NET; SignalR; MVC"
99;32759783;IOS разработчик;Москва;190000.0;250000.0;Доктор на работе;2019-10-18T16:06:05+0300;От 3 до 6 лет;Полный день;Полная занятость;"Доктор на работе» – одна из самых успешных IT-компаний в медицине в России расширяет команду приглашает в команду второго iOS разработчика. Кроме этого у нас в команде: .Net программисты, HTML-верстальщики, тестировщики, DBD, разработчики мобильных приложений Основная задача: разрабатывать один из мобильных проектов с нуля, т.е. долой легаси и старые костыли в шкафу! Все разработки только внутри компании, на внешних заказчиков мы не работаем. Задачи, которые предстоит решать:   разработка нового мобильного приложения под платформу iOS;   проектирование архитектуры приложений и сервисов;   взаимодействие с дизайнерами и тестировщиками;   проведение code review.   Сотрудники, которых мы ждем:   обладают хорошими знаниями языка Swift (знание Objective-C будет плюсом);   понимают как происходит управление памятью в iOS;   имеют опыт работы с различными архитектурами (MVC, MVVM, VIPER);   имеют опыт работы с Alamofire, Codable, Realm, RxSwift;   понимают принципы проектирования SOLID и придерживаться их;   имеют опыт работы с REST API, HTTP, JSON, APNs;   имеют опубликованные проекты в App Store.   А еще мы используем в работе Jira, Confluence, Git, Slack. Что мы предлагаем:   белый оклад от 190 000 рублей (на руки);   квартальная премия в размере заработной платы;   все выплаты полностью белые;   посещение митапов и профильных конференций;   оплата профильного обучения в размере 50%;   мы работаем в 3 минутах ходьбы от метро Менделеевская/Новослободская;   гибкое начало рабочего дня, но просим приходить до 10-ти часов утра;   дресс-код для нас - это только то, в чем удобно работать;   Новый Macbook Pro 15 уже ждёт вас, приходите!     Как будет проходить процесс отбора: 1. Грузить кандидатов тестовыми заданиями - не наш метод. Мы просим указывать в резюме ссылки на проекты на github. В репозитории необязательно должен быть идеальнейший код. Хочется увидеть как вы писали в последнее время. 2. Стараемся проходить все этапы за одно собеседование (hr и техническое собеседование одновременно). 3. Можем беседовать удаленно (skype c возможностью видео), а можем и у нас в офисе.";;Обладают хорошими знаниями языка Swift (знание Objective-C будет плюсом). Понимают как происходит управление памятью в iOS. Имеют опыт работы...;Разработка нового мобильного приложения под платформу iOS. Проектирование архитектуры приложений и сервисов. Взаимодействие с дизайнерами и тестировщиками. Проведение code review.;"Swift; Objective-C; MVC; iOS; MVVM; Viper; SOLID; JSON API; HTTP"
53;33825431;Ведущий программист JS;Казань;160000.0;243000.0;Тензор;2019-09-30T09:57:18+0300;От 3 до 6 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе.Если вам интересно познакомиться с большими распределенными системами, с мобильной разработкой или поковырять API социальных сетей, научиться работать с большими объемами данных в миллионы записей, чтобы ваше творчество ежедневно использовало в работе миллион пользователей, то мы готовы все это предложить. Мы ждем от Вас:  Отличные знания javascript, опыт работы с фрэймворками; Опыт коммерческой разработки; Умение читать чужой код; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой; Готовность экспериментировать и изучать новое  Наши условия:  Заработная плата в зависимости от квалификации и уровня ответственности; Оформление по ТК РФ; ДМС после года работы в компании; Курсы английского языка; Премии от 5 до 20% по итогам работы за месяц; Приятные внеофисные плюшки: корпоративные мероприятия и праздники, спорт-клуб. ";;Отличные знания javascript, опыт работы с фрэймворками. Опыт коммерческой разработки. Умение читать чужой код. Желание и умение писать красивый, структурированный...;;"JavaScript; jQuery; CSS; HTML5; PostgreSQL"
